Complexity,Loss,Equation
1,5.539735507580445,"6.671601343947475"
3,2.009668380764235,"0.12148650023508548 * x0"
4,0.9259329809197494,"log(x0 * x0)"
5,0.30177289026902465,"square(log(x0) / -1.41861436673256)"
7,0.0387628005849398,"0.7861651685785322 + square(log(x0) / -1.5422638350687972)"
9,0.006619657981431645,"square(log(x0 - -6.9272633000027195) / 1.423475133362459) - 0.9122794366934839"
10,0.006307339776995523,"square(log(cube(2.008040016257584) + x0) / 1.4066371524327559) - 1.198568344788929"
11,0.003950133763117944,"square(log(x0 - -4.863380036185963) / 1.5729734763252865) - (x0 * -0.012100657559689029)"
13,0.0027388723264733187,"(square(log(x0 - -2.8812578822023753) / 1.6577795171427376) - (x0 * -0.01610412073413182)) + 0.5568930611626962"
14,0.002738769937427549,"(square(log(x0 - -2.8812578822023753) / 1.6577795171427376) - (x0 * sin(-0.01610412073413182))) + 0.5568930611626962"
15,0.0027188411290025943,"(square(log(x0 - -2.952656216832987) / 1.642024791131428) - ((x0 + -0.6441108207041677) * -0.014976167767083217)) + 0.5136485771001121"
16,0.002393498261238546,"(square(log(x0 - -2.041266040143859) / 1.6722600610683442) - ((x0 - sin(0.8914561232787145)) * -0.016109956784406628)) + 0.7215262430889035"
17,0.0021581887889594933,"(square(log(x0 - -2.952656216832987) / 1.642024791131428) - ((x0 - (1.6467744725781985 / x0)) * -0.014976167767083217)) + 0.5136485771001121"
18,0.001439637597549997,"(square(log(x0 - -2.952656216832987) / 1.642024791131428) - ((x0 - (exp(1.642024791131428) / x0)) * -0.014976167767083217)) + 0.5136485771001121"
20,0.001435470360737509,"(square(log(x0 - -2.952656216832987) / 1.642024791131428) - ((x0 - ((exp(1.642024791131428) / x0) - -0.041552958872716636)) * -0.014976167767083217)) + 0.5136485771001121"
21,0.0012617771299585836,"(square(log(x0 - (-1.2258464230069999 - (x0 * cube(1.0308192184183202)))) / 2.0388078862605044) - (sin(-0.02607961504716485) * x0)) + cos(cos(-0.02607961504716485))"
22,0.00023924349744607233,"(square((log(x0 - -1.4578818423593507) / 2.1146877645313253) - -0.4580195287557541) - ((x0 - (exp(cube(cos(-0.00954115670324202))) / x0)) * -0.027422329725102543)) + 0.3018480687158568"
36,0.00022863510083069854,"(square(log(x0 - ((-2.890447722138785 - (1.3254955033650577 - -0.2457937764002092)) / ((x0 + 0.5558549403853968) / x0))) / 1.6476589051108221) - ((x0 + cos(exp(1.317808471850427))) * (sin(-0.013819403061851424) * 1.1964819313630861))) + (cos(square(0.021590031162300977)) / square(square(1.2685913166701415)))"
