Complexity,Loss,Equation
1,1.0266177506872782,"0.0032725563860621578"
3,1.022320790702264,"0.16187469135836002 / x0"
4,1.0115163595286223,"1.8291694282740032 / exp(x0)"
5,1.0043644002600705,"exp(cube(x0 * -0.3957808393563892))"
6,1.003396465469386,"exp(cube(square(x0) * -0.13597607287345742))"
8,1.0014043127702479,"exp(cube(x0 - square(x0 / 1.3870878152824888)))"
9,1.0013757695247734,"exp(cube(x0 - ((x0 * 0.5130961932233247) * x0)))"
10,0.99930190580439,"((x0 + x0) / exp(x0)) * (3.0592851700001127 - x0)"
11,0.9986764051560796,"((-2.3000318852344805 * x0) + exp(1.816326305601774)) * (x0 / exp(x0))"
12,0.9975373606572505,"(x0 / exp(x0)) * (exp(1.389391399101679) - (square(x0) - x0))"
14,0.9964162513755733,"(x0 / exp(x0)) * (exp(1.389391399101679) - ((square(x0) - x0) * 0.7914274444177868))"
16,0.9964132581814111,"x0 * ((((x0 - square(x0)) + cube(1.6785086174518773)) / 0.9019566736551561) / exp(x0 + 0.33642223748418676))"
17,0.9963842000786457,"(x0 / exp(x0 - cube(-0.631696263628846))) * (exp(1.389391399101679) - ((square(x0) - x0) - 0.8220862395577957))"
18,0.996371000686531,"x0 * ((((0.1960647504712453 - square(x0 + -0.569955771395983)) + cube(1.6785086174518773)) / 0.9019566736551561) / exp(x0 + 0.33642223748418676))"
19,0.9924197440103971,"(((square(1.7721325822097962) - x0) * 1.78108056395927) / ((exp(x0) / 0.5799608985820376) + (square(square(x0)) * -0.33876126963194186))) * x0"
21,0.9899476119854604,"((((square(1.7721325822097962) - x0) * 1.264915546618396) * 1.78108056395927) / ((exp(x0) / 0.5799608985820376) + (square(square(x0)) * -0.33876126963194186))) * x0"
23,0.989738057012447,"((((square(1.7721325822097962) - x0) * (1.264915546618396 - -0.0867511407583811)) * 1.78108056395927) / ((exp(x0) / 0.5799608985820376) + (square(square(x0)) * -0.33876126963194186))) * x0"
24,0.9896871237238354,"(((((square(1.7721325822097962) - x0) + square(0.27256758334855086)) * 1.264915546618396) * 1.78108056395927) / ((exp(x0) / 0.5799608985820376) + (square(square(x0)) * -0.33876126963194186))) * x0"
26,0.9894594679118899,"((((((square(1.7721325822097962) - x0) + square(0.27256758334855086)) * 1.264915546618396) * 1.78108056395927) / 0.9145344416570165) / ((exp(x0) / 0.5799608985820376) + (square(square(x0)) * -0.33876126963194186))) * x0"
28,0.9852656083508,"(((1.8520055563668727 * (square(x0) * ((square(-1.6079087067425983) - x0) + cube(x0 * 0.24826412937956654)))) / x0) / (cube(cube(x0) * square(0.09312034322300891)) + 1.7166377064571807)) / cube(1.163306702317818)"
31,0.9850351869244803,"(((1.8520055563668727 * (square(0.17746348363718517) + (square(x0) * ((square(-1.6079087067425983) - x0) + cube(x0 * 0.24826412937956654))))) / x0) / (cube(cube(x0) * square(0.09312034322300891)) + 1.7166377064571807)) / cube(1.163306702317818)"
33,0.9838527561180967,"(((1.8520055563668727 * ((square(x0) * ((square(-1.6079087067425983) - x0) + cube(x0 * 0.24826412937956654))) + (0.49766591226088247 * x0))) / x0) / ((cube(cube(x0) * square(0.09312034322300891)) + 1.6895628575584023) + 1.0049747634084087)) / 1.163306702317818"
35,0.9832347368867835,"(((square(1.5773475474930634) * x0) * (cube(x0) * ((square(1.607627799427626) - x0) + cube(0.2472654859562638 * x0)))) / (x0 + exp((x0 * -0.146919218269862) / ((0.8603834102715869 * -1.3528536094896915) + (x0 * 0.09144113042187156))))) / exp(x0)"
36,0.9817536203924465,"(((cube(x0) * (exp(-0.05073988739573605) / 0.1850680258621672)) * ((square(1.620839839644347) - x0) + (square(1.0480032286918177) * cube(0.2429945874699723 * x0)))) / ((((-0.045319794567587106 * cube(x0)) + exp(1.0480032286918177)) * square(x0)) + exp(x0))) / x0"
37,0.9793960150867975,"(((cube(x0) * (exp(-0.166772972190847) / 0.1850680258621672)) * ((square(1.620839839644347) - x0) + (cube(0.2429945874699723 * x0) * 1.0480032286918177))) / (((exp(1.0480032286918177) + (cube(x0) * -0.045319794567587106)) * square(x0)) + (exp(x0) * 0.8944348290842862))) / x0"
38,0.97372294752084,"(((((square(1.607627799427626) - x0) + cube(x0 * 0.2472654859562638)) - -0.213962287311763) * cube(x0)) / (exp((-0.146919218269862 * x0) / ((0.8603834102715869 * -1.3528536094896915) + (0.09144113042187156 * x0))) + x0)) / ((exp(x0) / exp(cube(1.607627799427626))) + x0)"
39,0.9655149216359236,"((1.845051999861134 * (((square(1.607627799427626) - x0) + cube(x0 * 0.2472654859562638)) * cube(x0))) / (exp((-0.146919218269862 * x0) / ((0.8603834102715869 * -1.3528536094896915) + (0.09144113042187156 * x0))) + x0)) / ((exp(x0) / exp(cube(1.607627799427626))) + square(x0))"
41,0.9649650992389186,"((1.845051999861134 * (((square(1.607627799427626) - x0) + cube(x0 * 0.2472654859562638)) * cube(x0))) / (exp((-0.146919218269862 * x0) / ((0.8603834102715869 * -1.3528536094896915) + (0.09144113042187156 * x0))) + x0)) / ((exp(x0) / exp(cube(1.607627799427626))) + square(x0 * -0.9492042792532402))"
43,0.9648026806446585,"((1.845051999861134 * (((square(1.607627799427626) - x0) + cube(x0 * 0.2472654859562638)) * cube(x0))) / (exp((-0.146919218269862 * x0) / ((0.8603834102715869 * -1.3528536094896915) + (0.09144113042187156 * x0))) + x0)) / ((exp(x0) / (exp(cube(1.607627799427626)) - x0)) + square(x0 * -0.9492042792532402))"
49,0.9647776654323483,"((square(-1.5184133567376887) * ((cube(x0) * (cube(0.2472654859562638 * x0) + (square(-1.5184133567376887) - x0))) + square(x0))) / (x0 + (exp((x0 * -0.146919218269862) / ((-1.3528536094896915 * 0.8603834102715869) + (0.09144113042187156 * x0))) + -0.12092035191148993))) / (x0 + ((exp(x0) / (exp(cube(1.607627799427626)) - x0)) + square(x0)))"
52,0.9636388157414325,"((square(-1.8938669892833528) * ((cube(x0) * (cube(0.2472654859562638 * x0) + (square(1.607627799427626) - x0))) + exp(0.3062340732093437))) / (x0 + exp((x0 * -0.146919218269862) / ((0.8603834102715869 * -1.3528536094896915) + (x0 * 0.09144113042187156))))) / (((x0 + (exp(x0) / (((x0 / 0.6223271053047007) / 0.7335066765462875) + -0.15714194931954512))) + (x0 / 0.7435984356850097)) + x0)"
54,0.956639134018006,"(((1.845051999861134 * ((cube(x0) * ((square(-1.5184133567376887) - x0) + cube(x0 * 0.2472654859562638))) + square(x0))) / (x0 + exp((x0 * -0.146919218269862) / ((0.09144113042187156 * x0) + (0.8603834102715869 * -1.3528536094896915))))) - (square(cube(0.2842932364464814 * x0) - x0) - x0)) / ((exp(x0) / exp(cube(1.607627799427626))) + (square(x0) - -0.21231313073365815))"
56,0.9544141217864365,"(((1.845051999861134 * ((cube(x0) * ((square(-1.5184133567376887) - x0) + cube(x0 * 0.2472654859562638))) + square(x0))) / (x0 + exp((x0 * -0.146919218269862) / ((0.09144113042187156 * x0) + (0.8603834102715869 * -1.3528536094896915))))) - (square(cube(0.2842932364464814 * x0) - x0) - x0)) / ((exp(x0 - 0.4536287100973367) / exp(cube(1.607627799427626))) + (square(x0) - -0.21231313073365815))"
57,0.9543837349370072,"(((1.845051999861134 * ((cube(x0) * ((square(-1.5184133567376887) - x0) + cube(x0 * 0.2472654859562638))) + square(x0))) / (x0 + exp((x0 * -0.146919218269862) / ((0.09144113042187156 * x0) + (0.8603834102715869 * -1.3528536094896915))))) - (square(cube(0.2842932364464814 * x0) - x0) - x0)) / ((exp(x0) / exp(cube(1.607627799427626) + square(0.5739093038973777))) + (square(x0) - -0.21231313073365815))"
58,0.951716678743624,"(((1.843460459797087 * ((cube(x0) * (cube(0.2520006901590257 * x0) + (square(1.5807602997727683) - x0))) + x0)) / (x0 + exp(((-0.1519492360937145 * x0) + 0.31191036083138135) / ((0.09232176701598789 * x0) + (-1.3523298639303032 * 0.8595611112631513))))) - ((square(cube(0.7241856392176719 + (0.01650999147634906 * square(x0)))) * 1.5447528597648994) / 1.1560016359390928)) / (0.5271871668289008 + ((exp(x0) / exp(cube(1.607627799427626))) + square(x0)))"
59,0.9503838375720426,"(((1.843460459797087 * ((cube(x0) * (cube(0.2520006901590257 * x0) + (square(1.5807602997727683) - x0))) + x0)) / (x0 + exp((0.31191036083138135 + (-0.1519492360937145 * x0)) / ((0.09232176701598789 * (x0 - 0.13457355304766636)) + (-1.3523298639303032 * 0.8595611112631513))))) - (square(cube(0.7241856392176719 + (0.01650999147634906 * square(x0)))) * 1.607627799427626)) / (cube(0.7957701464906963) + ((exp(x0) / exp(cube(1.607627799427626))) + square(x0)))"
61,0.9493341168296099,"(((1.843460459797087 * ((cube(x0) * (cube(0.2520006901590257 * x0) + (square(1.5807602997727683) - x0))) + x0)) / (x0 + exp((0.31191036083138135 + (-0.1519492360937145 * x0)) / ((0.09232176701598789 * (x0 - 0.13457355304766636)) + (-1.3523298639303032 * 0.8595611112631513))))) - (square(cube(0.7241856392176719 + (0.01650999147634906 * square(x0)))) * 1.607627799427626)) / (cube(0.7957701464906963) + ((exp(x0) / exp(cube(1.607627799427626) + 0.46341433517950803)) + square(x0)))"
64,0.9493162723218063,"(((1.843460459797087 * ((cube(x0) * (cube(0.2520006901590257 * x0) + (square(1.5807602997727683) - x0))) + x0)) / (x0 + exp((0.31191036083138135 + (-0.1519492360937145 * x0)) / ((0.09232176701598789 * (x0 - 0.13457355304766636)) + (-1.3523298639303032 * 0.8595611112631513))))) - (square(cube(0.7241856392176719 + (0.01650999147634906 * square(x0)))) * 1.607627799427626)) / (cube(0.7957701464906963) + ((exp(x0) / exp((cube(1.607627799427626) - square(-0.05029960526828986)) + 0.46341433517950803)) + square(x0)))"
65,0.9489584177365109,"((((1.6895020525444795 + 0.15749236211836648) * ((cube(x0) * (cube(0.2520006901590257 * x0) + (square(1.5807602997727683) - x0))) + x0)) / (x0 + exp((0.31191036083138135 + (-0.1519492360937145 * x0)) / ((0.09232176701598789 * (x0 - 0.13457355304766636)) + (-1.3523298639303032 * 0.8595611112631513))))) - (square(cube(0.7241856392176719 + (0.01650999147634906 * square(x0)))) * 1.607627799427626)) / (cube(0.7957701464906963) + ((exp(x0) / (exp(cube(1.607627799427626) + 0.46341433517950803) * 0.7877063856554687)) + square(x0)))"
66,0.9487455280956265,"(((1.843460459797087 * (((cube(0.2520006901590257 * x0) + (square(1.5807602997727683) - x0)) * cube(x0)) + (x0 + square(-0.0538477667162168)))) / (x0 + exp(((0.31191036083138135 - 0.03929224914686255) + (-0.1519492360937145 * x0)) / ((0.09232176701598789 * (x0 - 0.13457355304766636)) + (-1.3523298639303032 * 0.8595611112631513))))) - (square(cube(0.7241856392176719 + (0.01650999147634906 * square(x0)))) * 1.5447528597648994)) / (cube(0.7957701464906963) + ((exp(x0) / exp(cube(1.607627799427626) + 0.46341433517950803)) + square(x0)))"
67,0.9486214611230956,"(((1.843460459797087 * ((cube(x0) * (cube(0.2520006901590257 * x0) + (square(1.5807602997727683) - x0))) + x0)) / (x0 + exp(((0.31191036083138135 - 0.03929224914686255) + (-0.1519492360937145 * x0)) / ((0.09232176701598789 * (x0 - 0.13457355304766636)) + (-1.3523298639303032 * 0.8595611112631513))))) - (square(cube(0.7241856392176719 + (0.01650999147634906 * square(x0)))) * 1.5447528597648994)) / (cube(0.7957701464906963) + ((exp(x0 + 0.10623871044483855) / exp(cube(1.607627799427626) + 0.46341433517950803)) + square(x0 + -0.0538477667162168)))"
68,0.9484449275000132,"(((1.843460459797087 * ((cube(x0) * (cube(0.2520006901590257 * x0) + (square(1.5807602997727683) - x0))) + (x0 + square(-0.0538477667162168)))) / (x0 + exp(((0.31191036083138135 - 0.03929224914686255) + (-0.1519492360937145 * x0)) / ((0.09232176701598789 * (x0 - 0.13457355304766636)) + (-1.3523298639303032 * 0.8595611112631513))))) - (square(cube(0.7241856392176719 + (0.01650999147634906 * square(x0)))) * 1.5447528597648994)) / (cube(0.7957701464906963) + ((exp(x0 + 0.10623871044483855) / exp(cube(1.607627799427626) + 0.46341433517950803)) + square(x0)))"
71,0.9484432989922885,"(((1.843460459797087 * ((cube(x0) * (cube(0.2520006901590257 * x0) + (square(1.5807602997727683) - x0))) + (x0 + square(-0.0538477667162168)))) / (x0 + exp(((0.31191036083138135 - 0.03929224914686255) + (-0.1519492360937145 * x0)) / ((0.09232176701598789 * (x0 - 0.13457355304766636)) + (-1.3523298639303032 * 0.8595611112631513))))) - (square(cube(0.7241856392176719 + (0.01650999147634906 * square(x0)))) * 1.5447528597648994)) / (cube(0.7957701464906963) + ((exp(x0 + 0.10623871044483855) / exp(cube(1.607627799427626) + 0.46341433517950803)) + square(x0 + square(-0.0538477667162168))))"
72,0.9478869265133875,"(((1.843460459797087 * ((cube(x0) * (cube(0.2520006901590257 * x0) + (square(-1.5566712319729155) - x0))) + x0)) / ((x0 - exp((-1.6173410570713493 - -0.6476662563272577) - x0)) + exp(((0.31191036083138135 - 0.03929224914686255) + (-0.1519492360937145 * x0)) / ((0.09232176701598789 * (x0 - 0.13457355304766636)) + (-1.3523298639303032 * 0.8595611112631513))))) - (square(cube(0.7241856392176719 + (0.01650999147634906 * square(x0)))) * 1.5447528597648994)) / (square(0.7957701464906963) + ((exp(x0 + 0.10623871044483855) / exp(cube(1.607627799427626) + 0.46341433517950803)) + square(x0)))"
73,0.9476431266518616,"(((1.843460459797087 * ((cube(x0) * (cube(0.2520006901590257 * x0) + (square(-1.5566712319729155) - x0))) + x0)) / ((x0 - exp((-1.6173410570713493 - -0.6476662563272577) - cube(x0))) + exp(((0.31191036083138135 - 0.03929224914686255) + (-0.1519492360937145 * x0)) / ((0.09232176701598789 * (x0 - 0.13457355304766636)) + (-1.3523298639303032 * 0.8595611112631513))))) - (square(cube(0.7241856392176719 + (0.01650999147634906 * square(x0)))) * 1.5447528597648994)) / (square(0.7957701464906963) + ((exp(x0 + 0.10623871044483855) / exp(cube(1.607627799427626) + 0.46341433517950803)) + square(x0)))"
82,0.9467689257601043,"(((((cube(x0) * (cube(0.2519197489789164 * x0) + (square(1.5803815735319529) - x0))) + x0) * 1.843334919403656) / (x0 + exp((0.3119164670439964 + (x0 * -0.15187615153454656)) / ((0.8597122000254975 * -1.3524254821322141) + (0.0913708995284321 * x0))))) - ((square(cube(0.7241256431904552 + (0.017285779867499677 * square(x0)))) + ((-0.1986359857439888 * 0.7241256431904552) * x0)) * 1.54475259419861)) / (((square(square(cube(x0))) + x0) * exp((square(x0) - cube(x0)) - square(x0))) + (((exp(x0) * square(-0.9772383349779937)) / (x0 + exp(cube(1.5803815735319529)))) + square(x0)))"
83,0.946244694686867,"(((((cube(x0) * (cube(0.2519197489789164 * x0) + (square(1.5803815735319529) - x0))) + x0) * 1.843334919403656) / (x0 + exp((0.3119164670439964 + (x0 * -0.15187615153454656)) / ((0.8597122000254975 * -1.3524254821322141) + (0.0913708995284321 * x0))))) - ((square(cube(0.7241256431904552 + (0.017285779867499677 * square(x0)))) + ((-0.1986359857439888 * 0.7241256431904552) * x0)) * 1.54475259419861)) / (((square(square(cube(x0))) + x0) * exp((square(x0) - cube(x0)) - square(x0))) + (((exp(x0) * square(cube(-0.9772383349779937))) / (x0 + exp(cube(1.5803815735319529)))) + square(x0)))"
84,0.9460163451646589,"(((((cube(x0) * (cube(0.2519197489789164 * x0) + (square(1.5803815735319529) - x0))) + x0) * 1.843334919403656) / (x0 + exp((0.3119164670439964 + (x0 * -0.15187615153454656)) / ((0.8597122000254975 * -1.3524254821322141) + (0.0913708995284321 * x0))))) - ((square(cube(0.7241256431904552 + (0.017285779867499677 * square(x0)))) + ((-0.1986359857439888 * 0.7241256431904552) * x0)) * 1.54475259419861)) / (((square(square(cube(x0))) + x0) * exp((square(x0) - cube(x0)) - square(x0))) + (((exp(x0) * square(cube(square(-0.9772383349779937)))) / (x0 + exp(cube(1.5803815735319529)))) + square(x0)))"
85,0.9448920142579327,"((((((cube(x0) / 0.8231536393318843) * (cube(0.2519197489789164 * x0) + (square(1.5803815735319529) - x0))) + x0) * 1.843334919403656) / (x0 + exp((0.3119164670439964 + (x0 * -0.15187615153454656)) / ((0.8597122000254975 * -1.3524254821322141) + (0.0913708995284321 * x0))))) - ((square(cube(0.7241256431904552 + (0.017285779867499677 * square(x0)))) + ((-0.1986359857439888 * 0.7241256431904552) * x0)) * 1.54475259419861)) / (((square(square(cube(x0))) + x0) * exp((square(x0) - cube(x0)) - square(x0))) + (((exp(x0) * square(cube(-0.9772383349779937))) / (x0 + exp(cube(1.5803815735319529)))) + square(x0)))"
95,0.943775271081536,"(((((cube(x0) * (cube(0.2519197489789164 * x0) + (square(1.5803815735319529) - x0))) + x0) * 1.843334919403656) / (x0 + exp((0.3119164670439964 + (x0 * -0.15187615153454656)) / ((0.8597122000254975 * -1.3524254821322141) + (0.0913708995284321 * x0))))) - ((square(cube(0.7241256431904552 + (0.017285779867499677 * square(x0)))) + ((-0.1986359857439888 * 0.7241256431904552) * x0)) * 1.54475259419861)) / (((square(square(cube(x0))) + x0) * exp(((square(x0) - cube(x0)) - square(x0 / (x0 / x0))) - -0.6657688629448946)) + ((((exp(x0) * square(cube(-0.9772383349779937))) / (((x0 - -0.49742035455876066) + exp(cube(1.5803815735319529))) - 0.07073386952661798)) + square(x0)) - x0))"
