complexity,loss,equation,score,sympy_format,lambda_format
1,1.469,x4,0.0,x4,PySRFunction(X=>x4)
3,0.998,x0 - x0,0.1932919499312067,-x0 + x0,PySRFunction(X=>-x0 + x0)
5,0.9976,0.02173,0.00020044097281859567,0.0217300000000000,PySRFunction(X=>0.0217300000000000)
6,0.8438,x0 / (x0 - exp(x0)),0.1674368946755884,x0/(x0 - exp(x0)),PySRFunction(X=>x0/(x0 - exp(x0)))
7,0.7593,x5 * -0.4832,0.10551854347105023,x5*(-0.4832),PySRFunction(X=>x5*(-0.4832))
8,0.7095,(x4 - x5) / exp(x1 / x1),0.06783645961909059,(x4 - x5)/exp(x1/x1),PySRFunction(X=>(x4 - x5)/exp(x1/x1))
9,0.618,(x0 + x5) * -0.44,0.1380720391424066,(x0 + x5)*(-0.44),PySRFunction(X=>(x0 + x5)*(-0.44))
11,0.53,((x5 + x0) - x4) * -0.4072,0.07680572545576161,(x0 - x4 + x5)*(-0.4072),PySRFunction(X=>(x0 - x4 + x5)*(-0.4072))
14,0.491,((x0 + x5) - (x4 / exp(x0))) * -0.3452,0.025477626250549012,(x0 - x4/exp(x0) + x5)*(-0.3452),PySRFunction(X=>(x0 - x4/exp(x0) + x5)*(-0.3452))
16,0.4478,-0.3271 * ((x5 + x0) - ((x4 - x0) / exp(x0))),0.0460487118149331,-0.3271*(x0 + x5 - (-x0 + x4)/exp(x0)),PySRFunction(X=>-0.3271*(x0 + x5 - (-x0 + x4)/exp(x0)))
18,0.4163,-0.2764 * ((x0 + (x5 + x5)) - ((x4 - x0) / exp(x0))),0.03647027498186233,-0.2764*(x0 + x5 + x5 - (-x0 + x4)/exp(x0)),PySRFunction(X=>-0.2764*(x0 + x5 + x5 - (-x0 + x4)/exp(x0)))
20,0.3928,-0.2651 * (((x5 - x2) + (x5 + x0)) - ((x4 - x0) / exp(x0))),0.029052788860309472,-0.2651*(x0 - x2 + x5 + x5 - (-x0 + x4)/exp(x0)),PySRFunction(X=>-0.2651*(x0 - x2 + x5 + x5 - (-x0 + x4)/exp(x0)))
22,0.3882,(-0.2474 * ((x5 - x4) + (x5 - -2.215))) - (x0 / exp(x0)),0.005889952872700467,-x0/exp(x0) - 0.2474*(-x4 + x5 + x5 - 1*(-2.215)),PySRFunction(X=>-x0/exp(x0) - 0.2474*(-x4 + x5 + x5 - 1*(-2.215)))
26,0.385,((x5 - (x4 / 1.638)) * -0.5044) - (0.539 + (x0 / exp(x0))),0.0020693341117813983,(-x4/1.638 + x5)*(-0.5044) - (x0/exp(x0) + 0.539),PySRFunction(X=>(-x4/1.638 + x5)*(-0.5044) - (x0/exp(x0) + 0.539))
30,0.3193,(-0.4084 * (x0 + (x5 - -1.614))) - (((-1.605 - x4) * (x0 * x0)) / exp(x0)),0.046778058641761995,-x0*x0*(-x4 - 1.605)/exp(x0) - 0.4084*(x0 + x5 - 1*(-1.614)),PySRFunction(X=>-x0*x0*(-x4 - 1.605)/exp(x0) - 0.4084*(x0 + x5 - 1*(-1.614)))
