gamma1,lambda1,delta,epsilon,NRow,NCol,FValue,Model_1_Y_pred,Model_1_Residuals,Model_2_Y_pred,Model_2_Residuals,Model_3_Y_pred,Model_3_Residuals,Model_4_Y_pred,Model_4_Residuals,Model_5_Y_pred,Model_5_Residuals,Model_6_Y_pred,Model_6_Residuals,Model_7_Y_pred,Model_7_Residuals,Model_8_Y_pred,Model_8_Residuals,Model_9_Y_pred,Model_9_Residuals,Model_10_Y_pred,Model_10_Residuals,Model_11_Y_pred,Model_11_Residuals,Model_12_Y_pred,Model_12_Residuals,Model_13_Y_pred,Model_13_Residuals,Model_14_Y_pred,Model_14_Residuals,Model_15_Y_pred,Model_15_Residuals
-0.597541810525913,-0.6215163339667974,-0.9383888117306464,-0.7825426357098743,0.47445137494634665,-0.945810375934829,1.0055211424317099,1.115234918190586e-09,1.5035761703122942e-09,-2.280420390331024e-10,2.8468531275359824e-09,-1.6651959474938285e-10,2.785330683252263e-09,1.2460078660640217e-09,1.3728032224388584e-09,1.0658703018219098e-09,1.5529407866809703e-09,1.2512290335179268e-09,1.3675820549849533e-09,1.694569627637059e-09,9.242414608658211e-10,2.0982300440122237e-09,5.205810444906564e-10,2.123174834653297e-09,4.95636253849583e-10,3.0057393374739736e-09,3.869282489710935e-10,3.24465173306033e-09,6.2584064455745e-10,2.398364227902109e-09,2.20446860600771e-10,2.952819066466951e-09,3.3400797796407097e-10,3.085298743304925e-09,4.66487654802045e-10,3.5111933674796597e-09,8.923822789767796e-10
-0.47960889392480016,-0.5132402557789225,-0.7771429615831764,-1.0758591212050717,-0.593555395035317,-0.8056695947391768,0.20090269068394762,-1.908528864636482e-09,2.249286852941277e-09,-2.280420390331024e-10,5.688000273378973e-10,-1.6651959474938285e-10,5.072775830541778e-10,1.007927912884117e-09,6.671699245793221e-10,8.741512312133942e-10,5.333932429085992e-10,-7.114875779880737e-12,3.4787286408467564e-10,1.3730775491616895e-09,1.0323195608568945e-09,5.694271262923817e-10,2.2866913798758676e-10,9.098433355748491e-11,2.4977365474731003e-10,7.917752390578783e-10,4.510172507530834e-10,1.2641815682912291e-09,9.234235799864342e-10,6.198853609771805e-10,2.791273726723856e-10,1.126950262911771e-09,7.861922746069759e-10,1.0725728513547242e-09,7.318148630499292e-10,4.559655426587819e-10,1.1520755435398696e-10
-0.5661629872016013,1.2156519759488136,-0.4338282449285714,0.9865203979518316,0.3279519151052824,-0.6929247979752919,0.5544338876405032,7.004624904102413e-10,6.412206413513587e-10,-2.280420390331024e-10,1.5697251707947023e-09,-1.6651959474938285e-10,1.5082027265109828e-09,1.1856503780706746e-09,1.5603275369092536e-10,7.199111344542602e-10,6.217719973073398e-10,8.352502656171659e-10,5.064328661444341e-10,1.3404508081467043e-09,1.2323236148957027e-12,1.601613840291721e-09,2.5993070853012095e-10,1.5671059159808274e-09,2.2542278421922746e-10,2.3965662418188336e-09,1.0548831100572336e-09,2.5320040189639303e-09,1.1903208872023303e-09,2.0935529135492926e-09,7.518697817876927e-10,2.244454883429385e-09,9.027717516677848e-10,2.3449523249601106e-09,1.0032691931985107e-09,2.4515892472161013e-09,1.1099061154545013e-09
-0.5251310959986846,-0.4840016160991132,-0.38451675618233644,1.2202112906224962,-1.13217149800158,-0.6266290990298848,-0.1258062082705967,-3.4334703825865997e-09,2.8492430955611455e-09,-2.280420390331024e-10,3.5618524799235167e-10,-1.6651959474938285e-10,4.177076922760712e-10,1.1034559060139097e-09,1.6876831930393638e-09,6.292155519213597e-10,1.2134428389468137e-09,-7.545888155571479e-10,1.7036152853169383e-10,1.2067488062413797e-09,1.7909760932668337e-09,-2.0545875099224783e-10,3.787685360332062e-10,-9.731447889888694e-10,3.889175019634153e-10,-1.1186480084257147e-10,4.723624861828826e-10,3.604962784583449e-10,9.44723565483799e-10,4.783351800792688e-11,6.320608050333809e-10,8.189287995849655e-10,1.4031560866104195e-09,6.67370481949807e-10,1.251597768975261e-09,-1.383872497720287e-10,4.4584003725342536e-10
-0.42976631665112813,-1.1523180385219105,0.20185465015831086,-1.0056853104836578,-0.7443489513892788,-0.7060281155448312,0.13096523141872748,-2.33545883100236e-09,2.478208377476073e-09,-2.280420390331024e-10,3.7079158550681537e-10,-1.6651959474938285e-10,3.0926914122309583e-10,8.981452546197073e-10,7.553957081459944e-10,7.378370789572601e-10,5.950875324835471e-10,-2.6795503669391916e-10,4.1070458316763214e-10,1.1868596570513572e-09,1.0441101105776443e-09,2.2324504928972483e-10,8.049550281601185e-11,-2.3605056987032376e-10,3.7880011634403674e-10,3.7606009493032803e-10,2.3331054845661505e-10,8.349272327290113e-10,6.921776862552984e-10,9.429734822877749e-10,8.00223935814062e-10,5.582077692221101e-10,4.1545822274839714e-10,4.75277280177303e-10,3.3252773370359e-10,-8.928824927346958e-11,2.3203779574718256e-10
-0.5954591493116088,-0.6985667752945577,1.6055746099079733,1.5326029016313554,0.22245060161003996,2.2305602899363737,1.101548987609457,4.0176489807842896e-10,2.4889222951015614e-09,-2.280420390331024e-10,3.1187292322130925e-09,-1.6651959474938285e-10,3.057206787929373e-09,1.2420687469183116e-09,1.6486184462616786e-09,-3.279551685792019e-09,6.170238878972009e-09,-2.3195850736938557e-09,5.210272266873846e-09,-2.2649488168438103e-09,5.155636010023801e-09,-1.8566492904333787e-09,4.747336483613369e-09,-1.4317370807308383e-09,4.322424273910829e-09,-3.6836768319233984e-10,3.25905487637233e-09,-2.092141566812839e-09,4.98282875999283e-09,-8.108570043155618e-10,3.701544197495552e-09,-1.690527320828572e-09,4.581214514008562e-09,-1.687571514696715e-09,4.578258707876705e-09,-6.573064165280329e-10,3.547993609708023e-09
-0.6011621553486546,-0.7318838267696521,0.6719861928378246,0.00521486526353173,1.3968188518253952,0.588130856287038,2.3981914747290465,3.726661595843887e-09,2.835107749647123e-09,-2.280420390331024e-10,6.789811384524113e-09,-1.6651959474938285e-10,6.728288940240393e-09,1.2528327616037574e-09,5.308936583887252e-09,-1.0326322532557683e-09,7.594401598746779e-09,6.142454884434099e-10,5.9475238570476e-09,-2.118084613523095e-10,6.773577806843319e-09,1.397336719342487e-09,5.164432626148523e-09,2.2750769051511992e-09,4.28669244033981e-09,3.1594410391912003e-09,3.4023283062998097e-09,2.1741447523492558e-09,4.387624593141754e-09,2.5803005103155713e-09,3.9814688351754386e-09,1.4798568395102463e-09,5.081912505980764e-09,1.7287310644023233e-09,4.833038281088687e-09,3.5238352541981954e-09,3.0379340912928145e-09
-0.43007323549015775,1.794171467512105,-1.179468977076916,1.1590666932749107,-1.2146663344741957,1.83584851206703,-1.6326589144004553,-3.6670315413800215e-09,1.183429600070019e-09,-2.280420390331024e-10,4.622419102416938e-09,-1.6651959474938285e-10,4.683941546700657e-09,8.98837664044891e-10,5.749298805494931e-09,-2.7395677170592026e-09,2.110893424390838e-09,-3.4053002916588277e-09,1.4451608497912129e-09,-1.979268992397008e-09,2.8711921490530326e-09,-3.2490795085019095e-09,1.601381632948131e-09,-3.427031470469388e-09,1.4234296709806527e-09,-2.6469821741806927e-09,2.203478967269348e-09,-3.708692736479369e-09,1.1417684049706716e-09,-4.4516525646716934e-09,3.9880857677834707e-10,-3.330198914599744e-09,1.5202622268502965e-09,-3.5628256780980036e-09,1.2876354633520369e-09,-3.4054718185402356e-09,1.444989322909805e-09
-0.5299307950635697,-0.5822823862224253,0.6577530170938877,0.9317350149792198,-1.284432140082833,1.4676793699899369,-0.9374259155943226,-3.864553993679432e-09,9.82451500791452e-10,-2.280420390331024e-10,2.654060453854878e-09,-1.6651959474938285e-10,2.7155828981385975e-09,1.1132622761817735e-09,3.995364769069754e-09,-2.2358953017669664e-09,6.462071911210139e-10,-3.094498833183566e-09,2.123963402955856e-10,-1.3962305875531081e-09,1.4858719053348721e-09,-2.7899351091408752e-09,9.216738374710503e-11,-3.277101842774608e-09,3.9499934988662764e-10,-2.2835105895409392e-09,5.985919033470411e-10,-3.1134480635778497e-09,2.313455706898694e-10,-2.501803626596387e-09,3.8029886629159313e-10,-2.186434844503685e-09,6.956676483842954e-10,-2.421012190775546e-09,4.610903021124342e-10,-2.7455643104688726e-09,1.3653818241910768e-10
0.3548401586714575,1.9685658540498827,1.3752027932020514,-0.015419328072650002,-0.8064035501194904,3.218560686107253,-2.695654215503859,-2.511149148210276e-09,5.3488871973810346e-09,-2.280420390331024e-10,7.631994306558209e-09,-1.6651959474938285e-10,7.693516750841928e-09,-1.1659743813722946e-09,6.694061964219016e-09,-4.631181925745349e-09,3.2288544198459615e-09,-4.420236301117968e-09,3.439800044473343e-09,-4.6795614097450036e-09,3.180474935846307e-09,-5.277402089694335e-09,2.5826342558969755e-09,-4.273164490878266e-09,3.586871854713045e-09,-4.2915179084310035e-09,3.5685184371603072e-09,-6.1803688548404855e-09,1.6796674907508253e-09,-4.904853342478449e-09,2.955183003112862e-09,-7.557744325094299e-09,3.022920204970116e-10,-7.757979744170188e-09,1.0205660142112246e-10,-6.0264361135580045e-09,1.8336002320333063e-09
