Model,MSE_Train,NMSE_Train,RMSE_Train,MSE_Test,NMSE_Test,RMSE_Test,MSE_Validation,NMSE_Validation,RMSE_Validation
Model_1,1.1775604000609113e-17,1.469046293655983,3.431559995193019e-09,1.5656864616980663e-17,1.36527500228893,3.956875613028626e-09,1.461254682062604e-17,1.2416773338377392,3.822636108842436e-09
Model_2,8.015815465762777e-18,1.0,2.831221550102142e-09,1.1467920082570468e-17,1.0,3.386431762574062e-09,1.1768392981340827e-17,1.0,3.4305091431653153e-09
Model_3,8.018872865311962e-18,1.0003814209,2.831761442161391e-09,1.1472294186969493e-17,1.0003814209000002,3.3870775289280718e-09,1.1772881692383323e-17,1.0003814209,3.4311633147350073e-09
Model_4,6.7689798377673595e-18,0.8444530524285504,2.6017263187674757e-09,9.376984067163327e-18,0.8176708592009589,3.062186158149652e-09,1.012319492400125e-17,0.860201978303402,3.181696862367823e-09
Model_5,6.113806104995256e-18,0.7627179207291634,2.4726111916343128e-09,7.349722730229959e-18,0.6408941357553096,2.711037205615216e-09,9.435089907443072e-18,0.8017313767820905,3.071659145713123e-09
Model_6,5.686873692100304e-18,0.7094566630669243,2.3847166901123294e-09,7.061872206355134e-18,0.6157936361178632,2.657418334842133e-09,7.89190524424816e-18,0.6706017768748066,2.8092535030232073e-09
Model_7,4.967282929246203e-18,0.6196852897203667,2.228740211250787e-09,5.9089070088978054e-18,0.5152553354359755,2.430824347602641e-09,7.868459919916875e-18,0.6686095486777657,2.805077524760568e-09
Model_8,4.3108729019449785e-18,0.5377959261110261,2.076264169595232e-09,5.1669067611099765e-18,0.45055308407344985,2.273083095953594e-09,6.3794560528320614e-18,0.5420838735540952,2.52575851039486e-09
Model_9,4.266172831562218e-18,0.5322194416505637,2.0654715760722097e-09,5.1464981286582946e-18,0.4487734560062208,2.2685894579359867e-09,6.399809759900526e-18,0.5438133966164823,2.529784528354248e-09
Model_10,3.933584409890649e-18,0.4907279149191758,1.983326601921794e-09,4.584176465737847e-18,0.3997391360186677,2.141069000695178e-09,6.056805968665803e-18,0.5146672088762729,2.4610578962441748e-09
Model_11,3.607372828270413e-18,0.4500319204799881,1.899308513188527e-09,4.144506392871778e-18,0.3614000065426695,2.0358060793876656e-09,5.851642714634784e-18,0.49723379597475675,2.4190168901094478e-09
Model_12,3.270020006427487e-18,0.4079460187668274,1.8083196637838918e-09,3.8024212806963026e-18,0.3315702632489929,1.949979815458689e-09,5.327283584109454e-18,0.452677234058723,2.3080908959808005e-09
Model_13,3.238104804420244e-18,0.4039644897329369,1.7994734797768608e-09,3.624443461850831e-18,0.31605063828090724,1.9037971167776335e-09,5.52759585884775e-18,0.46969844290651536,2.35108397528624e-09
Model_14,3.117587656640567e-18,0.38892956929415795,1.7656691809737651e-09,3.639587568405135e-18,0.31737120089777804,1.9077703133252535e-09,5.430862794793183e-18,0.461478708554685,2.3304211625354725e-09
Model_15,3.109020047646701e-18,0.38786073119147707,1.76324134696493e-09,3.2599458365122842e-18,0.28426652898173893,1.8055320092737997e-09,5.2494371508661765e-18,0.4460623603570455,2.2911650204352755e-09
Model_16,2.9898673629692496e-18,0.37299603212419224,1.729123293166005e-09,3.597760459823354e-18,0.3137238866262605,1.8967763336311832e-09,5.090728283196979e-18,0.43257633317212435,2.2562642316885182e-09
Model_17,2.880797485933409e-18,0.3593891972985028,1.697291220130891e-09,3.0404833219716467e-18,0.26512944806728544,1.7436981739887344e-09,4.946250609177555e-18,0.4202995784573134,2.224016773582779e-09
Model_18,2.5445563778568943e-18,0.3174419856251964,1.5951665674332867e-09,2.4957311927718432e-18,0.21762718738901776,1.5797883379655148e-09,4.376221094036188e-18,0.37186225009436974,2.091941943275718e-09
Model_19,2.5401181384842697e-18,0.31688830030252635,1.5937748079588502e-09,2.507499697617923e-18,0.21865339831142958,1.5835086667328104e-09,4.329542692766241e-18,0.3678958290763126,2.080755317851246e-09
Model_20,2.4239935194346034e-18,0.3024013626296646,1.5569179552675869e-09,2.6864441345226228e-18,0.23425731215249904,1.6390375634873726e-09,4.237669956514181e-18,0.36008909315257787,2.0585601658718117e-09
Model_21,1.977780842991782e-18,0.24673482709766675,1.4063359637696042e-09,2.227635491855856e-18,0.1942493037810344,1.4925265464492937e-09,3.880162497555466e-18,0.3297104799021915,1.9698128077448035e-09
Model_22,1.7746268543575577e-18,0.22139068220037747,1.33215121302259e-09,8.899289649447296e-18,0.7760160155783516,2.9831677206364538e-09,6.3304741359341314e-18,0.537921715052455,2.516043349374993e-09
Model_23,1.7680048665813256e-18,0.22056456690312345,1.32966344109377e-09,2.917192063644509e-18,0.2543784786291114,1.7079789412181022e-09,4.089204925961474e-18,0.3474735193195063,2.0221782626567505e-09
Model_24,1.7344718972225622e-18,0.21638121593877183,1.3169935069022028e-09,2.6100695432517465e-18,0.2275974653170686,1.6155709650930678e-09,4.161407704137797e-18,0.35360883263635445,2.0399528681167603e-09
Model_25,1.0543373405169821e-18,0.1315321373128258,1.0268093009497831e-09,4.871874798170949e-18,0.4248263645973147,2.207232384270163e-09,4.7202089527013985e-18,0.401092057359526,2.1726041868461448e-09
Model_26,1.0429593560654564e-18,0.13011269539826031,1.0212538156919936e-09,5.344495050944987e-18,0.46603874220119684,2.3118163964607974e-09,4.931253857586272e-18,0.4190252539497056,2.220642667694709e-09
Model_27,9.595786099205807e-19,0.11971066624713873,9.795808337858498e-10,4.1905762542254944e-18,0.3654172878824423,2.0470897035121577e-09,4.342372556626743e-18,0.3689860258330697,2.0838360196106467e-09
