complexity,loss,equation,score,sympy_format,lambda_format
1,1.469,x4,0.0,x4,PySRFunction(X=>x4)
3,0.998,x0 - x0,0.1932919499312067,-x0 + x0,PySRFunction(X=>-x0 + x0)
5,0.9976,0.02734,0.00020044097281859567,0.0273400000000000,PySRFunction(X=>0.0273400000000000)
6,0.8438,x0 / (x0 - exp(x0)),0.1674368946755884,x0/(x0 - exp(x0)),PySRFunction(X=>x0/(x0 - exp(x0)))
7,0.7593,x5 * -0.4832,0.10551854347105023,x5*(-0.4832),PySRFunction(X=>x5*(-0.4832))
8,0.7095,(x4 - x5) / exp(x0 / x0),0.06783645961909059,(x4 - x5)/exp(x0/x0),PySRFunction(X=>(x4 - x5)/exp(x0/x0))
9,0.6187,-0.4326 * (x0 + x5),0.13693999406315424,-0.4326*(x0 + x5),PySRFunction(X=>-0.4326*(x0 + x5))
10,0.536,(x4 - (x0 + x5)) / exp(x0 / x0),0.1434863414661411,(x4 - (x0 + x5))/exp(x0/x0),PySRFunction(X=>(x4 - (x0 + x5))/exp(x0/x0))
11,0.53,(x5 - (x4 - x0)) * -0.4072,0.011257154524634447,(x5 - (-x0 + x4))*(-0.4072),PySRFunction(X=>(x5 - (-x0 + x4))*(-0.4072))
12,0.5176,((x4 - x0) - x5) / (x0 + exp(x0 / x0)),0.023674263359476908,(-x0 + x4 - x5)/(x0 + exp(x0/x0)),PySRFunction(X=>(-x0 + x4 - x5)/(x0 + exp(x0/x0)))
13,0.5117,((x4 - x0) - x5) / (x0 + 2.484),0.011464227375644481,(-x0 + x4 - x5)/(x0 + 2.484),PySRFunction(X=>(-x0 + x4 - x5)/(x0 + 2.484))
14,0.4868,(((x4 - x0) - x5) - x0) / (x0 + exp(x0 / x0)),0.04988515469767402,(-x0 - x0 + x4 - x5)/(x0 + exp(x0/x0)),PySRFunction(X=>(-x0 - x0 + x4 - x5)/(x0 + exp(x0/x0)))
15,0.4568,(((x4 - x0) / exp(x0)) - (x0 + x5)) / exp(x0 / x0),0.06360770277157171,((-x0 + x4)/exp(x0) - (x0 + x5))/exp(x0/x0),PySRFunction(X=>((-x0 + x4)/exp(x0) - (x0 + x5))/exp(x0/x0))
