Complexity,Loss,Equation
1,1.469,"x4"
3,0.998,"x0 - x0"
5,0.9976,"0.01958"
6,0.8438,"x0 / (x0 - exp(x0))"
7,0.7593,"x5 * -0.4832"
9,0.6187,"(x5 + x0) * -0.4392"
11,0.53,"(x5 - (x4 - x0)) * -0.4084"
13,0.529,"(-0.4138 * (x0 - (x4 + x5))) - x5"
14,0.489,"((x5 + x0) - (x4 / exp(x0))) * -0.3616"
16,0.4478,"((x5 + x0) - ((x4 - x0) / exp(x0))) * -0.327"
18,0.4163,"((x0 + (x5 + x5)) - ((x4 - x0) / exp(x0))) * -0.269"
20,0.3928,"(((x0 - x4) / exp(x0)) + ((x5 + x0) + (x5 - x2))) * -0.2598"
23,0.386,"(((x0 - x4) / (x0 + 0.9287)) + ((x5 + x5) + x0)) * -0.2235"
25,0.3293,"(((x5 + x4) + (x0 / x0)) + ((x0 - x4) / (0.917 + x0))) * -0.4272"
26,0.329,"log(0.6626) * (((x0 - x4) / (x0 + 0.917)) + ((x5 + x4) + (x0 / x0)))"
27,0.3152,"(((x0 - x4) / (x0 + 0.9683)) + ((x5 + x4) + 0.678)) * -0.472"
29,0.3018,"(((x0 - x4) / (x0 + 0.92)) + ((0.718 ^ x2) + (x5 + x4))) * -0.4119"
31,0.2446,"(((-0.5005 - x0) - (x4 * -0.0916)) / (x0 + 0.724)) + (x5 * -0.4968)"
33,0.2444,"(((-0.5015 - x0) - (x4 * -0.08856)) / (x0 + 0.723)) + ((x5 + x5) * -0.2566)"
35,0.2166,"((x5 + (x5 - x2)) * -0.2391) + (((-0.4983 - x0) - (x4 * -0.09247)) / (x0 + 0.7285))"
37,0.2147,"(((x5 - x2) + (x5 + x5)) * -0.166) + (((-0.4968 - x0) - (x4 * -0.0998)) / (x0 + 0.7437))"
38,0.2125,"(((-0.5015 - x0) - (-0.09283 * x4)) / (exp(-0.3215) + x0)) + (((x5 + x5) + (x5 - x2)) * -0.1687)"
41,0.1925,"((x5 + (x5 - x2)) * -0.2361) + (((-0.5117 - x0) - (x4 * -0.0834)) / ((x0 * 1.484) + 0.997))"
43,0.1254,"((x5 + 1.111) * -0.481) + (((-1.518 - x4) / (0.722 ^ x2)) / ((5.492 / x0) + 7.934))"
45,0.11597,"(((1.29 ^ x3) + x5) * -0.481) + (((-1.549 - x4) / (0.722 ^ x2)) / ((5.492 / x0) + 7.934))"
51,0.11255,"(((-1.549 - x4) / (0.7227 ^ x2)) / ((5.492 / x0) + 7.957)) + (((x5 + 1.128) + (x3 * 0.242)) * -0.488)"
69,0.1125,"(((x5 + 1.144) + (0.2284 * x3)) * ((1.343 * 1.343) / -3.734)) + (((-1.533 - x4) / (0.722 ^ x2)) / ((5.492 / x0) + (1.294 / 0.1626)))"
