Complexity,Loss,Equation
1,1.469,"x4"
3,0.998,"x2 - x2"
5,0.9976,"0.01514"
6,0.8438,"x0 / (x0 - exp(x0))"
7,0.7593,"x5 * -0.4832"
9,0.6187,"-0.4375 * (x0 + x5)"
11,0.53,"((x0 + x5) - x4) * -0.4065"
13,0.5293,"(((x0 - x5) - x4) * -0.4065) - x5"
14,0.489,"((x5 + x0) - (x4 / exp(x0))) * -0.3643"
16,0.4478,"-0.328 * ((x5 + x0) - ((x4 - x0) / exp(x0)))"
18,0.4163,"((x5 + (x5 + x0)) + ((x0 - x4) / exp(x0))) * -0.2708"
20,0.3928,"(((x0 - x2) + (x5 + x5)) + ((x0 - x4) / exp(x0))) * -0.26"
26,0.392,"(-0.27 / (0.855 ^ x2)) * (((x0 - x4) / exp(x0)) + ((x5 + x0) + x5))"
28,0.3225,"(x5 * -0.4907) - ((x4 + exp(x0)) * ((0.195 ^ x0) * (x0 + 0.3108)))"
30,0.3093,"(x5 * -0.4941) - (((x4 - x0) + exp(x0)) * ((x0 + 0.3616) * (0.214 ^ x0)))"
34,0.2993,"(x5 * -0.491) - (((x4 - -0.3623) + exp(x0)) * ((0.1802 ^ x0) * (x0 + 0.354)))"
35,0.2438,"(((x5 * -5.434) + -7.387) - ((-1.475 - x4) / (x0 + 0.689))) * 0.0781"
41,0.2418,"(((x4 + 4.504) ^ (x0 * -3.527)) / 18.36) - (0.94 / (1.961 / (x5 - -1.3955)))"
43,0.2103,"(((x4 + 4.504) ^ (x0 * -3.527)) / (17.36 - x2)) - (0.8657 / (1.68 / (x5 - -1.38)))"
44,0.1907,"(((x4 + 4.504) ^ (x0 * -3.527)) / ((x2 * -4.965) + 18.61)) - ((exp(x5) ^ 0.3428) / 1.452)"
46,0.1532,"(((x4 + 5.285) ^ (-3.83 * x0)) / ((x2 * -10.01) + (38.97 - x4))) - (exp(-0.4236) - (x5 * -0.4983))"
49,0.1527,"(((x4 + 4.504) ^ (x0 * -3.527)) / ((x2 * -4.965) + 18.94)) - (1.336 / (2.695 / (x5 - -1.419)))"
50,0.1469,"(((x4 + 4.504) ^ (x0 * -3.527)) / ((x2 * -4.965) + (19.02 - x5))) - ((x5 / x5) / (exp(0.699) / (x5 - -1.385)))"
51,0.145,"(((x4 + 4.523) ^ (x0 * -3.553)) / ((x2 * -4.965) + (19.02 - x5))) - (1.053 / (1.977 / (x5 - -1.345)))"
52,0.1427,"(((x4 + 4.504) ^ (x0 * -3.527)) / ((x2 * -4.965) + 18.75)) - ((exp(x3) ^ 0.1238) / (1.962 / (x5 - -1.3955)))"
53,0.1338,"(((x4 + 4.504) ^ (x0 * -3.555)) / ((x2 * -4.965) + (19.02 - x5))) - ((1.127 ^ x3) / (1.897 / (x5 - -1.376)))"
59,0.1332,"(((x4 + 4.188) ^ (x0 * -3.75)) / ((20.45 - x5) + (x2 * -5.465))) - ((1.032 ^ (x3 * 4.188)) / (1.932 / (x5 - -1.337)))"
61,0.1323,"(((x4 + 4.504) ^ (x0 * -3.533)) / ((x2 * -4.965) + (19.19 - x5))) - (((1.041 ^ x0) + (x3 * 0.129)) / (1.872 / (x5 - -1.327)))"
