Model,MSE_Train,NMSE_Train,RMSE_Train,MSE_Test,NMSE_Test,RMSE_Test,MSE_Validation,NMSE_Validation,RMSE_Validation
Model_1,9.421333957018787e-12,1.470455474488818,3.069419156293058e-06,1.0340405912541939e-11,1.5725326470823677,3.2156501539411806e-06,9.655886164094073e-12,1.3037598716027343,3.1073921806064444e-06
Model_2,6.407085505458078e-12,1.0,2.5312221367272526e-06,6.575638306605102e-12,1.0,2.5643007441805848e-06,7.406184508673308e-12,1.0,2.721430599643009e-06
Model_3,6.409844156211021e-12,1.0004305624999998,2.5317670027494675e-06,6.57846952987349e-12,1.0004305625,2.5648527306403947e-06,7.409373333990824e-12,1.0004305625,2.7220164095741275e-06
Model_4,4.800928367310138e-12,0.7493154825576022,2.1911020896594795e-06,4.8647323445023046e-12,0.7398114247883395,2.2056138248801183e-06,5.759469083155588e-12,0.7776567106059445,2.399889389775201e-06
Model_5,4.652372803183187e-12,0.7261293452724981,2.1569359756801283e-06,4.6555175467752264e-12,0.7079947724768938,2.1576648365247153e-06,5.75719484938331e-12,0.7773496383517204,2.3994155224519387e-06
Model_6,4.541252083326567e-12,0.708785933863058,2.131021370922067e-06,4.507897766507584e-12,0.6855452742860701,2.123181048923427e-06,5.471387558734086e-12,0.7387592831810494,2.3390997325326012e-06
Model_7,3.5764318006592054e-12,0.5581994804989739,1.8911456317955012e-06,3.4094200762575418e-12,0.5184926416699114,1.8464615014284869e-06,4.445371060060037e-12,0.6002241849165529,2.108404861514988e-06
Model_8,3.3350683326996218e-12,0.5205281449511698,1.8262169456829662e-06,3.256681995698907e-12,0.4952647703307575,1.8046279383016619e-06,4.613729045362904e-12,0.6229562658018866,2.1479592746052947e-06
Model_9,2.878016962867153e-12,0.4491928444556301,1.6964719163213852e-06,3.5177518333308367e-12,0.5349673551535404,1.87556706980338e-06,4.400333457267844e-12,0.594143104605976,2.0976971795919078e-06
Model_10,2.5177343234333374e-12,0.3929609369640105,1.5867370051250893e-06,2.447653517207572e-12,0.3722305581724213,1.5644978482591697e-06,3.2409266512689957e-12,0.4375973414480262,1.8002573847283604e-06
