complexity,loss,equation,score,sympy_format,lambda_format
1,1.464,x1,0.0,x1,PySRFunction(X=>x1)
3,0.994,x4 - x4,0.1935952439323414,-x4 + x4,PySRFunction(X=>-x4 + x4)
5,0.9893,-0.02075,0.0023697921636985863,-0.0207500000000000,PySRFunction(X=>-0.0207500000000000)
6,0.7427,x0 / (x0 - exp(x0)),0.286705427653926,x0/(x0 - exp(x0)),PySRFunction(X=>x0/(x0 - exp(x0)))
8,0.7217,((x0 / exp(x0)) - x0) / x0,0.014341327298511645,(-x0 + x0/exp(x0))/x0,PySRFunction(X=>(-x0 + x0/exp(x0))/x0)
9,0.7007,x0 / (-1.524 - x0),0.029529704701739386,x0/(-x0 - 1.524),PySRFunction(X=>x0/(-x0 - 1.524))
10,0.552,-0.5435 - (x0 / exp(x0)),0.23853178909939288,-x0/exp(x0) - 0.5435,PySRFunction(X=>-x0/exp(x0) - 0.5435)
12,0.514,-1.024 - (x0 / exp(x0 + x0)),0.035662390410965146,-x0/exp(x0 + x0) - 1.024,PySRFunction(X=>-x0/exp(x0 + x0) - 1.024)
15,0.4421,(-0.505 - x0) / (x0 + 0.6953),0.050229054874322554,(-x0 - 0.505)/(x0 + 0.6953),PySRFunction(X=>(-x0 - 0.505)/(x0 + 0.6953))
19,0.3862,((x0 - -1.467) ^ (-4.797 - x1)) - (x2 / x2),0.033795182709445856,(x0 - 1*(-1.467))**(-x1 - 4.797) - x2/x2,PySRFunction(X=>(x0 - 1*(-1.467))**(-x1 - 4.797) - x2/x2)
21,0.339,((x0 - -1.461) ^ ((-4.72 - x1) - x2)) - (x4 / x4),0.06517763130698186,(x0 - 1*(-1.461))**(-x1 - x2 - 4.72) - x4/x4,PySRFunction(X=>(x0 - 1*(-1.461))**(-x1 - x2 - 4.72) - x4/x4)
23,0.319,((x0 - -1.478) ^ ((-5.2 - x1) - (x1 + x2))) - (x2 / x2),0.030404502297802873,(x0 - 1*(-1.478))**(-x1 - (x1 + x2) - 5.2) - x2/x2,PySRFunction(X=>(x0 - 1*(-1.478))**(-x1 - (x1 + x2) - 5.2) - x2/x2)
24,0.3179,((x0 - -1.483) ^ ((-5.332 - x2) - (x1 + x1))) - exp(x1 - x1),0.0034542348680875576,(x0 - 1*(-1.483))**(-x2 - (x1 + x1) - 5.332) - exp(-x1 + x1),PySRFunction(X=>(x0 - 1*(-1.483))**(-x2 - (x1 + x1) - 5.332) - exp(-x1 + x1))
26,0.3062,((x0 - -1.492) ^ ((-6.242 - x1) - x2)) - (exp(x1) ^ -0.2031),0.018749192346586785,(x0 - 1*(-1.492))**(-x1 - x2 - 6.242) - 1/exp(x1)**0.2031,PySRFunction(X=>(x0 - 1*(-1.492))**(-x1 - x2 - 6.242) - 1/exp(x1)**0.2031)
27,0.3057,((x0 - -1.468) ^ ((-4.875 - x1) - x2)) - log(exp(0.7383 ^ x1)),0.0016342543267945755,(x0 + 1.468)**(-x1 - x2 - 4.875) - log(exp(0.7383**x1)),PySRFunction(X=>(x0 + 1.468)**(-x1 - x2 - 4.875) - log(exp(0.7383**x1)))
