Complexity,Loss,Equation
1,1.464,"x1"
3,0.994,"x5 - x5"
5,0.9893,"-0.0238"
6,0.7427,"x0 / (x0 - exp(x0))"
9,0.7007,"x0 / (-1.519 - x0)"
10,0.553,"-0.4995 - (x0 / exp(x0))"
12,0.5312,"((-0.816 - x0) - x0) / exp(x0)"
16,0.5137,"-1.054 - (x0 * exp(x0 * -1.986))"
18,0.4788,"(x0 / ((-0.4163 - x0) - exp(x0))) + -0.8696"
19,0.4429,"(0.1965 / (x0 + 0.6997)) + -0.9854"
22,0.3503,"(x0 + ((0.8965 ^ x1) + x0)) / ((x0 * -0.5913) - exp(x0))"
28,0.339,"((-1.979 - x1) / (exp(2.176) + (6.047 / x0))) + -0.662"
29,0.337,"-0.9756 - ((2.42 - (x0 - x1)) * (-0.0863 / (x0 + 0.7373)))"
30,0.312,"((x0 + (0.8965 ^ x1)) + x0) / (((x0 * 5.05) / (-8.54 + x2)) - exp(x0))"
