Complexity,Loss,Equation
1,1.464,"x1"
3,0.994,"x3 - x3"
5,0.9893,"-0.00824"
6,0.7427,"x0 / (x0 - exp(x0))"
9,0.701,"x0 / (-1.532 - x0)"
10,0.5522,"-0.55 - (x0 / exp(x0))"
15,0.5366,"(-0.4153 - x0) / (x0 + 0.921)"
16,0.4807,"(exp(-0.6753) + x0) / (-0.6675 - x0)"
20,0.469,"((exp(x0) ^ -4.746) * 0.0956) - 0.8467"
21,0.4424,"((x0 / (-0.6987 - x0)) + -2.525) * 0.2788"
23,0.429,"(((x1 * 0.1886) - x0) / (x0 + 1.02)) + -0.613"
24,0.4092,"((x0 + 0.527) / (-0.696 - x0)) + exp(-2.48 + x1)"
29,0.356,"((-3.877 - x2) - x1) / ((0.8916 / (0.4895 + x0)) + 4.605)"
