Complexity,Loss,Equation
1,1.464,"x1"
3,0.994,"x0 - x0"
5,0.9893,"-0.02623"
6,0.7427,"x0 / (x0 - exp(x0))"
8,0.7217,"((x4 / exp(x0)) - x4) / x4"
9,0.7007,"x0 / (-1.524 - x0)"
10,0.552,"-0.547 - (x0 / exp(x0))"
12,0.514,"-1.024 - (x0 / exp(x0 + x0))"
14,0.5005,"(-0.4407 - x0) / (exp(x0) - (x0 * x0))"
15,0.4434,"(-0.5054 - x0) / (0.6904 + x0)"
19,0.3872,"((x0 + 1.458) ^ (-4.492 - x1)) - (x5 / x5)"
20,0.3865,"((x0 + exp(0.3743)) ^ (-4.227 - x1)) - (x5 / x5)"
21,0.3416,"((x0 + 1.478) ^ ((-5.24 - x2) - x1)) - (x5 / x5)"
22,0.3396,"((x0 + exp(0.37)) ^ ((-3.84 - x1) - x2)) - (x5 / x5)"
23,0.319,"((1.478 + x0) ^ ((-5.24 - x1) - (x2 + x1))) - (x5 / x5)"
31,0.3042,"(((x0 * 0.4294) / (-0.7617 - x0)) / (0.78 ^ (x2 + x1))) + -0.7314"
33,0.2896,"((x1 - (x3 - x2)) * 0.1802) + (((x0 + 1.491) ^ (-5.49 - x1)) + -0.96)"
35,0.2646,"(((x1 - x4) - (x3 - x2)) * 0.1802) + (((x0 + 1.491) ^ (-5.49 - x1)) + -0.96)"
43,0.2583,"(((x2 - x4) * 0.1794) - 0.828) - ((1.482 - (x1 * -0.516)) * (0.06757 / (-0.6533 - x0)))"
47,0.232,"(((x2 - x4) * 0.1794) - ((x3 * 0.1887) + 0.828)) - ((0.06757 / (-0.6533 - x0)) * (1.482 - (x0 * x1)))"
51,0.2247,"(((x2 - x4) * 0.1794) - ((x3 * 0.1887) + 0.828)) - ((1.482 - (x1 * -0.516)) * (0.06757 / (-0.6533 - x0)))"
