gamma1,lambda1,delta,epsilon,NRow,NCol,FValue
0.001,0.05,1.76387264781528,1.88653231240704,0.000170820675605816,0,7.0186333113718e-10
0.001,0.05,1.76387264781528,1.88653231240704,0.000170820675605816,0,7.0186333113718e-10
0.001,0.05,1.76387264781528,1.88653231240704,0.000170820675605816,0,7.0186333113718e-10
0.001,0.05,1.76387264781528,1.88653231240704,0,0.000170820675605816,-7.01259613609042e-10
0.001,0.05,1.76387264781528,1.88653231240704,0,0.000170820675605816,-7.01293410539687e-10
0.001,0.05,1.76387264781528,1.88653231240704,0.000170820675605816,0,7.0186333113718e-10
0.001,0.05,1.76387264781528,1.88653231240704,0.000170820675605816,0,7.0186333113718e-10
0.001,0.05,1.76387264781528,1.88653231240704,0.000170820675605816,0,7.0186333113718e-10
0.001,0.05,1.76387264781528,1.88653231240704,0.000170820675605816,0,7.0186333113718e-10
0.001,0.05,1.76387264781528,1.88653231240704,0,0.000170820675605816,-7.01293410539687e-10
0.001,0.05,1.76387264781528,1.88653231240704,0.000170820675605816,0,7.0186333113718e-10
0.001,0.05,1.76387264781528,1.88653231240704,0.000170820675605816,0,7.0186333113718e-10
0.001,0.05,1.76387264781528,1.88653231240704,0.000170820675605816,0,7.0186333113718e-10
0.001,0.05,1.76387264781528,1.88653231240704,0,0.000170820675605816,-7.01293410539687e-10
0.001,0.05,1.76387264781528,1.88653231240704,0,0.000170820675605816,-7.01293410539687e-10
0.001,0.05,1.76387264781528,1.88653231240704,0.000170820675605816,0,7.0186333113718e-10
0.001,0.05,1.76387264781528,1.88653231240704,0.000170820675605816,0,7.0186333113718e-10
0.001,0.05,1.76387264781528,1.88653231240704,0.000170820675605816,0,7.0186333113718e-10
0.001,0.05,1.76387264781528,1.88653231240704,0.000170820675605816,0,7.0186333113718e-10
0.001,0.05,1.76387264781528,1.88653231240704,0,0.000170820675605816,-7.01293410539687e-10
0.001,0.05,1.76387264781528,1.88653231240704,0.000170820675605816,0,7.0186333113718e-10
0.001,0.05,1.76387264781528,1.88653231240704,0.000170820675605816,0,7.0186333113718e-10
0.001,0.05,1.76387264781528,1.88653231240704,0,0.000170820675605816,-7.01293410539687e-10
0.001,0.05,1.76387264781528,1.88653231240704,0,0.000170820675605816,-7.01293410539687e-10
0.001,0.05,1.76387264781528,1.88653231240704,0,0.000170820675605816,-7.01293410539687e-10
0.001,0.05,1.76387264781528,1.88653231240704,0,0.000170820675605816,-7.01293410539687e-10
0.001,0.05,1.76387264781528,1.88653231240704,0,0.000170820675605816,-7.01293410539687e-10
0.001,0.05,1.76387264781528,1.88653231240704,0.000170820675605816,0,7.0186333113718e-10
0.001,0.05,1.76387264781528,1.88653231240704,0,0.000170820675605816,-7.01293410539687e-10
0.001,0.05,1.76387264781528,1.88653231240704,0,0.000170820675605816,-7.01293410539687e-10
0.001,0.05,1.76387264781528,1.88653231240704,2.21380773266467e-05,2.80045421559736e-06,7.94215392999057e-11
0.001,0.05,1.76387264781528,1.88653231240704,9.00239188921882e-05,5.23068329909712e-07,3.6855921328483e-10
0.001,0.05,1.76387264781528,1.88653231240704,2.21380773266467e-05,4.68127791579576e-07,8.89991093912974e-11
0.001,0.05,1.76387264781528,1.88653231240704,1.6815364229042e-05,1.27315599938153e-06,6.38319539986173e-11
0.001,0.05,1.76387264781528,1.88653231240704,1.02875554202358e-05,6.29501834040701e-06,1.63989633458262e-11
0.001,0.05,1.76387264781528,1.88653231240704,4.03793652968041e-06,2.08970449375704e-05,-6.92303678251665e-11
0.001,0.05,1.76387264781528,1.88653231240704,0,4.68127791579576e-07,-1.92249722539632e-12
0.001,0.05,1.76387264781528,1.88653231240704,1.5907442913293e-05,6.29501834040701e-06,3.94806959030986e-11
0.001,0.05,1.76387264781528,1.88653231240704,1.4240061429803e-05,2.1761124489946e-05,-3.08764808405241e-11
0.001,0.05,1.76387264781528,1.88653231240704,3.01242911735929e-06,9.00239188921882e-05,-3.57290157581093e-10
0.001,0.05,1.76387264781528,1.88653231240704,9.00239188921882e-05,2.80045421559736e-06,3.58282355632223e-10
0.001,0.05,1.76387264781528,1.88653231240704,1.6815364229042e-05,1.5907442913293e-05,3.73683050620326e-12
0.001,0.05,1.76387264781528,1.88653231240704,4.03793652968041e-06,4.68127791579576e-07,1.46607613346424e-11
0.001,0.05,1.76387264781528,1.88653231240704,1.5907442913293e-05,3.01242911735929e-06,5.29454770005596e-11
0.001,0.05,1.76387264781528,1.88653231240704,1.27315599938153e-06,3.01242911735929e-06,-7.1421672055158e-12
0.001,0.05,1.76387264781528,1.88653231240704,9.96986636205064e-06,2.80045421559736e-06,2.94449144816327e-11
0.001,0.05,1.76387264781528,1.88653231240704,1.33234887171099e-05,3.71240897456595e-06,3.94734901317926e-11
0.001,0.05,1.76387264781528,1.88653231240704,2.80045421559736e-06,0,1.14947714229779e-11
0.001,0.05,1.76387264781528,1.88653231240704,4.03793652968041e-06,3.37275680176614e-05,-1.21916807677973e-10
0.001,0.05,1.76387264781528,1.88653231240704,0,2.36753021001392e-06,-9.7228832739893e-12
0.001,0.05,1.76387264781528,1.88653231240704,2.74313021813375e-06,9.00239188921882e-05,-3.58372252805922e-10
0.001,0.05,1.76387264781528,1.88653231240704,4.51214307415615e-07,1.33234887171099e-05,-5.28583180601079e-11
0.001,0.05,1.76387264781528,1.88653231240704,0,4.51214307415615e-07,-1.86142499515428e-12
0.001,0.05,1.76387264781528,1.88653231240704,0,1.27315599938153e-06,-5.23355241253059e-12
0.001,0.05,1.76387264781528,1.88653231240704,6.29501834040701e-06,0,2.58388596962193e-11
0.001,0.05,1.76387264781528,1.88653231240704,0,4.68127791579576e-07,-1.92249722539632e-12
0.001,0.05,1.76387264781528,1.88653231240704,2.21380773266467e-05,2.1761124489946e-05,1.56393689282066e-12
0.001,0.05,1.76387264781528,1.88653231240704,9.00239188921882e-05,4.51214307415615e-07,3.69477609882413e-10
0.001,0.05,1.76387264781528,1.88653231240704,1.27315599938153e-06,0,1.29246970711411e-26
0.001,0.05,1.76387264781528,1.88653231240704,1.02875554202358e-05,0,5.52748316395118e-11
0.001,0.05,1.76387264781528,1.88653231240704,2.31545780049898e-05,8.3949153963993e-06,6.0590808892278e-11
0.001,0.05,1.76387264781528,1.88653231240704,2.74532389447042e-05,1.24576430865814e-05,6.15841719819844e-11
0.001,0.05,1.76387264781528,1.88653231240704,4.35378524859893e-06,1.09592610394781e-05,-2.7125278728555e-11
0.001,0.05,1.76387264781528,1.88653231240704,9.54977723121874e-07,1.12512827000187e-05,-4.22805149734552e-11
0.001,0.05,1.76387264781528,1.88653231240704,3.25082377839299e-06,4.68970505841183e-06,-5.91805667061171e-12
0.001,0.05,1.76387264781528,1.88653231240704,1.56414415756659e-05,9.05880901012154e-06,2.70388241896978e-11
0.001,0.05,1.76387264781528,1.88653231240704,5.45869730121237e-06,7.93341243048165e-06,-1.01616115479315e-11
0.001,0.05,1.76387264781528,1.88653231240704,5.41958598564093e-05,7.61783011090904e-06,1.91319552181631e-10
0.001,0.05,1.76387264781528,1.88653231240704,1.24576430865814e-05,4.68970505841183e-06,3.19387103958093e-11
0.001,0.05,1.76387264781528,1.88653231240704,1.24576430865814e-05,2.74532389447042e-05,-6.15704307352973e-11
0.001,0.05,1.76387264781528,1.88653231240704,3.25082377839299e-06,9.05880901012154e-06,-2.3850852711987e-11
