x1,x2,y
1.0,1.0513,0.9223300400306492
1.1026,1.1538,0.759107421870504
1.2051,1.2564,0.708918872910567
1.3077,1.359,0.5918045388594629
1.4103,1.4615,-0.006982595690979032
1.5128,1.5641,0.15522070213033748
1.6154,1.6667,-0.048492803759071945
1.7179,1.7692,-0.23795395594512309
1.8205,1.8718,-0.8054462289458587
1.9231,1.9744,-0.6533282052339553
2.0256,2.0769,-0.4684832509128203
2.1282,2.1795,-1.0666085546663264
2.2308,2.2821,-1.0225086787105622
2.3333,2.3846,-1.0113111581366268
2.4359,2.4872,-0.8968343526899343
2.5385,2.5897,-0.8192520031893097
2.641,2.6923,-0.7233118341940791
2.7436,2.7949,-0.7972758238570785
2.8462,2.8974,-0.7052676884912226
2.9487,3.0,-0.34997027896384264
