x1,x2,x3,x4,x5,y
1.4411,2.9928,2.3511,1.2733,2.9168,0.7891
2.6028,2.2708,2.611,1.7273,1.2187,1.7917
2.5047,2.5385,1.7902,1.7999,1.746,0.2578
1.0153,2.6342,1.962,2.346,2.8111,0.6143
2.2579,2.0459,1.8317,2.6926,2.724,-0.4457
1.8639,1.9993,2.4722,2.8252,1.3533,1.2527
2.8118,2.8273,1.1155,2.3615,2.1981,-1.0889
2.4071,1.4491,2.8787,2.9272,2.5259,-0.0184
1.6741,2.1248,2.9834,2.633,1.1894,2.1744
1.7602,2.4787,2.7661,1.1105,1.1009,2.228
2.0363,1.063,1.5562,2.7496,1.8859,0.6919
2.9837,1.3137,2.2888,1.8995,2.8515,-1.7406
1.2551,1.3914,1.3433,1.422,1.2776,0.9425
1.0685,1.1646,1.0493,1.9066,1.083,1.6607
1.4533,1.9197,2.6701,2.131,2.1222,0.951
2.0547,2.7058,2.4342,2.4043,2.6399,1.2501
2.5757,1.227,2.0015,1.2083,2.0272,-0.6499
2.8782,2.6931,1.1857,2.2018,1.0448,-0.3329
2.4858,2.3323,2.7271,2.0156,2.5946,0.8358
1.5686,1.131,1.6894,1.5799,2.2174,0.0641
2.664,1.8839,2.1548,1.3939,2.471,-0.9191
1.1234,2.7573,2.5631,1.832,1.563,1.6172
1.8,2.8691,2.8097,2.8765,1.5044,0.7854
1.3883,2.0826,2.9444,1.6237,1.4739,2.0686
2.1397,1.4881,1.0985,1.5401,2.0542,0.3141
1.92,2.3998,1.3859,2.1638,1.781,-0.2165
1.6102,1.0081,1.4987,1.0331,2.2959,0.4895
2.3157,1.7745,1.6032,2.7516,1.8266,-0.3173
2.7462,2.5614,1.2884,2.995,1.6903,-0.6197
2.1929,2.9306,1.9434,1.9709,1.9525,1.3017
1.5197,2.4333,2.146,1.1679,1.9407,1.1538
2.7601,1.5528,2.3138,1.3182,2.7907,-1.4369
2.9117,1.6951,1.4339,2.2682,2.3114,-1.047
1.2227,1.8123,1.2249,2.5537,1.4328,0.4119
2.3753,2.1859,1.7084,1.6631,2.9504,-1.1135
1.1959,1.6277,1.5209,1.0527,2.3593,-0.472
2.2276,1.5285,2.0739,2.0546,2.4236,-0.8743
1.3444,1.7491,2.5425,2.4539,1.3018,0.881
1.7399,2.2437,1.8614,2.5393,1.6069,0.4546
1.9859,1.2603,2.2148,1.4874,2.6795,-0.9162
