Complexity,Loss,Equation
1,611.16455,"x3"
2,284.50867,"exp(x3)"
4,38.10376,"x0 * exp(x3)"
6,3.4450452,"exp((x0 ^ x1) / x4)"
7,2.2757082,"(x4 * exp(x3)) + exp(x0)"
8,1.2639589,"x4 * (exp(x3) + (x1 ^ x0))"
9,0.0050306795,"(x4 * ((x0 * x3) * x1)) * x2"
13,0.0050306306,"((x1 * x3) * ((x0 * x2) * x4)) + (x4 - x4)"
15,0.0022470872,"((x1 * (x3 * x0)) * (x2 * x4)) + exp(x3 / cos(x1))"
16,0.000533198,"((x1 * (x3 * x0)) * (x2 * x4)) + ((x1 - x0) / exp(x3))"
17,0.00018396463,"(((x2 * x3) * x1) * (x4 * x0)) - (cos(x3 * x4) * cos(x2))"
19,6.396766e-5,"((x4 * x2) * ((x0 * x3) * x1)) - (cos(x3 ^ x4) / (exp(x0) + x1))"
20,4.4895565e-5,"((x2 * x4) * (x1 * (x0 * x3))) - (cos(x3 ^ x4) / (exp(x4) + exp(x2)))"
21,3.8963117e-5,"((x2 * x4) * (x1 * (x0 * x3))) - (cos(x3 ^ x4) / (exp(x4) + (x0 + x3)))"
22,1.8405939e-5,"(((x3 * x0) * x1) * (x4 * x2)) + ((sin(x3) ^ x0) * ((x1 - x0) / (x3 + x3)))"
23,1.0368331e-5,"(((x1 - x0) * sin(x3)) / ((x0 * x3) / sin(x3))) + ((x2 * x4) * ((x0 * x3) * x1))"
