Model,MSE_Train,NMSE_Train
Model_1,3.235526129666596,3.5020258580977637
Model_2,0.6275294571141612,0.6792170106066483
Model_3,0.1537760849856807,0.16644211927053285
Model_4,0.11815523536185582,0.12788729650886316
Model_5,0.013957534584292858,0.015107171158751915
Model_6,0.00416085882955893,0.004503575192734197
Model_7,0.0030059528199769237,0.0032535433440822876
Model_8,0.00038300534077272884,0.0004145522407862166
Model_9,0.0001679082531133193,0.00018173830796769388
Model_10,6.54884002861589e-05,7.088246610180149e-05
Model_11,3.528249121436195e-05,3.8188594874223734e-05
Model_12,9.316174316983152e-06,1.0083517192915749e-05
Model_13,3.1167480343680965e-06,3.3734643987119267e-06
Model_14,2.1875689056904396e-06,2.367751817503624e-06
Model_15,1.8695743205868785e-06,2.023565056173869e-06
