Model,MSE_Train,NMSE_Train
Model_1,30093.75419525143,3.801045440019797
Model_2,26834.123919360547,3.3893320088560452
Model_3,98.27627001043837,0.012412960030233611
Model_4,98.2762700104387,0.012412960030233653
Model_5,80.91488358083133,0.010220099070031697
Model_6,52.386811659293045,0.006616809929488696
Model_7,29.869396541204054,0.0037727075453085784
Model_8,1.9529149613811743,0.00024666641657741936
Model_9,1.9514381650679042,0.00024647988717813025
Model_10,1.6082012561723338,0.0002031267355926141
Model_11,1.1938375559524497,0.0001507897874334826
Model_12,0.09394477783649782,1.1865863165235755e-05
Model_13,0.005684697109539094,7.180158343127837e-07
