x1,x2,x3,x4,x5,y
2.7948,2.398,1.4942,1.8041,2.29,85.47231987320772
2.717,1.4892,2.3191,1.2512,2.6824,158.7556291898669
2.2634,2.9109,1.9409,2.0325,2.583,150.07643577467647
1.62,2.8838,2.8979,1.8188,2.2076,97.66889609676936
2.189,2.4887,2.2858,1.4923,1.4864,32.497784335637775
2.4068,2.4274,2.8233,2.467,2.6248,192.48525985166944
2.0655,1.8051,2.1202,1.9118,2.8721,223.62800227378688
1.9152,1.4559,2.3899,2.4863,2.9828,292.03548352866846
2.3144,2.8046,1.6107,1.3145,2.3697,92.08400159114683
1.9761,2.6802,1.6489,2.6885,1.6957,79.90645664885115
2.7613,2.3227,2.33,2.8853,2.7496,247.27459081614543
2.8439,1.3807,2.8855,1.5104,2.9286,249.42427662607074
2.0078,1.7667,1.9453,1.0388,1.661,26.285846645460484
1.9513,2.2738,2.3803,2.2863,2.5616,158.2234831138849
1.6842,2.9392,1.0081,1.4614,1.1884,18.266715489670847
1.2347,1.3745,2.6789,2.0716,2.8541,230.173339465098
2.6145,1.9932,1.0634,1.0145,1.6509,21.105062076627977
2.4663,2.6694,2.7369,2.1976,2.8614,245.28233980242914
1.5496,1.79,2.5844,2.0328,2.9716,270.82891317731975
1.8977,2.493,1.2496,2.5119,1.0419,51.067114607155425
2.6061,2.3505,2.3035,2.9166,2.6258,217.54254761360372
2.3423,2.2808,1.0888,1.7967,2.225,73.80495317660865
2.8224,1.9253,1.0184,2.5554,2.4438,137.38492631295696
2.7114,1.469,1.068,1.1902,2.9913,247.56645572749838
1.1578,1.6525,1.9588,2.5614,2.6238,178.77248222921233
2.4213,2.1786,1.5595,1.1689,2.6227,136.89000941268372
2.7968,2.8254,2.5936,1.301,2.9899,269.9803286741538
2.0848,1.0379,1.8585,2.5697,1.784,71.23014416210344
2.0444,2.1128,1.509,2.1343,2.7443,186.3852501983332
2.8907,2.6173,1.2164,2.4419,2.1199,89.88470991748162
2.6918,2.4563,1.4469,2.6409,1.3368,64.67018749800145
1.7224,2.4698,1.9119,2.3398,2.8134,221.06842003486048
1.5295,2.4154,2.3852,1.1289,1.9609,51.5807034436384
2.6159,2.8275,1.7096,1.8437,2.5958,145.00056470945637
2.6369,1.6552,2.3608,1.5753,1.3319,28.8391706327549
1.4024,1.4768,2.1292,2.1967,1.1837,38.81403196656645
1.4824,1.131,2.8824,1.2416,2.8307,210.86592458917505
2.9363,2.4139,2.2503,2.6469,2.2377,125.324291170936
2.0623,1.3114,1.7932,2.9814,1.6501,100.77066304628569
1.9422,2.6389,2.672,1.5765,2.1828,83.77265245682757
