complexity,loss,score,equation,sympy_format,lambda_format
1,68.724335,0.0,x3,x3,PySRFunction(X=>x3)
2,9.281734,2.0020549749671326,exp(x3),exp(x3),PySRFunction(X=>exp(x3))
4,6.2366185,0.19880512717304666,exp(x1) + x0,x0 + exp(x1),PySRFunction(X=>x0 + exp(x1))
5,3.1506283,0.6828362351799228,exp(x2 - cos(x4)),exp(x2 - cos(x4)),PySRFunction(X=>exp(x2 - cos(x4)))
6,1.9529977,0.4782364190469604,exp(exp(sin(x4 / x4))),exp(exp(sin(x4/x4))),PySRFunction(X=>exp(exp(sin(x4/x4))))
7,0.42535248,1.5242025633031828,(x4 + (x3 * x3)) + x0,x0 + x3*x3 + x4,PySRFunction(X=>x0 + x3*x3 + x4)
9,0.00057951367,3.299242108538432,x1 + (x4 + ((x2 + x3) + x0)),x0 + x1 + x2 + x3 + x4,PySRFunction(X=>x0 + x1 + x2 + x3 + x4)
13,0.0005795024,4.8618825450401685e-06,(((x2 + x1) + (x2 + x4)) + x3) - (x2 - x0),x1 + x2 + x2 + x3 + x4 - (-x0 + x2),PySRFunction(X=>x1 + x2 + x2 + x3 + x4 - (-x0 + x2))
14,0.00019294462,1.0997665995488415,(((x2 + x4) + (x0 + x3)) + x2) + sin(x1 - x2),x0 + x2 + x2 + x3 + x4 + sin(x1 - x2),PySRFunction(X=>x0 + x2 + x2 + x3 + x4 + sin(x1 - x2))
15,0.00019082942,0.011023264723878599,(((x2 + x4) + (x3 + x0)) + x1) + (x3 / exp(exp(x1))),x0 + x1 + x2 + x3 + x3/exp(exp(x1)) + x4,PySRFunction(X=>x0 + x1 + x2 + x3 + x3/exp(exp(x1)) + x4)
16,0.00015308904,0.220360227096562,(x1 + ((x3 + x0) + (x4 + x2))) + (x1 / exp(x3 + x0)),x0 + x1 + x1/exp(x0 + x3) + x2 + x3 + x4,PySRFunction(X=>x0 + x1 + x1/exp(x0 + x3) + x2 + x3 + x4)
17,4.4388005e-05,1.2380504376218748,((sin(x3) / exp(x1)) ^ x4) + (x1 + ((x2 + x4) + (x3 + x0))),x0 + x1 + x2 + x3 + x4 + (sin(x3)/exp(x1))**x4,PySRFunction(X=>x0 + x1 + x2 + x3 + x4 + (sin(x3)/exp(x1))**x4)
20,4.205663e-05,0.01798407728326299,(((x2 / x2) / x2) / (exp(x1) ^ x4)) + (((x3 + x0) + (x4 + x2)) + x1),x0 + x1 + x2 + x3 + x4 + x2/(x2*x2*(exp(x1)**x4)),PySRFunction(X=>x0 + x1 + x2 + x3 + x4 + x2/(x2*x2*(exp(x1)**x4)))
23,2.060895e-05,0.2377638653232197,(cos(sin(x4)) + ((1.3189816 ^ x2) * (x3 + x4))) + (0.9763279 * x0),1.3189816**x2*(x3 + x4) + 0.9763279*x0 + cos(sin(x4)),PySRFunction(X=>1.3189816**x2*(x3 + x4) + 0.9763279*x0 + cos(sin(x4)))
25,2.0600091e-05,0.00021497710020648288,(x0 + (x0 * -0.023636542)) + (((1.3189819 ^ x2) * (x3 + x4)) + cos(sin(x4))),1.3189819**x2*(x3 + x4) + x0*(-0.023636542) + x0 + cos(sin(x4)),PySRFunction(X=>1.3189819**x2*(x3 + x4) + x0*(-0.023636542) + x0 + cos(sin(x4)))
