complexity,loss,score,equation,sympy_format,lambda_format
1,4.9666123,0.0,x2,x2,PySRFunction(X=>x2)
2,0.3943066,2.5333644776293442,cos(x0),cos(x0),PySRFunction(X=>cos(x0))
4,0.19035488,0.3641193298915369,cos(x0 ^ x1),cos(x0**x1),PySRFunction(X=>cos(x0**x1))
5,0.048045818,1.376735022195023,cos(exp(x3 + x3)),cos(exp(x3 + x3)),PySRFunction(X=>cos(exp(x3 + x3)))
6,0.038890883,0.21139524431389414,cos(log(x1) * exp(x3)),cos(exp(x3)*log(x1)),PySRFunction(X=>cos(exp(x3)*log(x1)))
7,0.017379189,0.8054863970578072,cos(x0 - sin(x4)) * x3,x3*cos(x0 - sin(x4)),PySRFunction(X=>x3*cos(x0 - sin(x4)))
8,0.0026228407,1.8910154888634625,cos(x0) + sin(x3 - cos(x0)),sin(x3 - cos(x0)) + cos(x0),PySRFunction(X=>sin(x3 - cos(x0)) + cos(x0))
11,0.0022661136,0.04873055777103046,cos(exp(x3 + x3)) + (sin(x4) / exp(x1)),cos(exp(x3 + x3)) + sin(x4)/exp(x1),PySRFunction(X=>cos(exp(x3 + x3)) + sin(x4)/exp(x1))
12,0.0007898675,1.0539563628479922,(x4 / (exp(x1) ^ x3)) + cos(exp(x3 + x3)),x4/(exp(x1)**x3) + cos(exp(x3 + x3)),PySRFunction(X=>x4/(exp(x1)**x3) + cos(exp(x3 + x3)))
14,0.00023921113,0.5972593293904668,sin((x3 + x0) - sin(x0)) + (x0 / exp(x0 ^ x3)),x0/exp(x0**x3) + sin(x0 + x3 - sin(x0)),PySRFunction(X=>x0/exp(x0**x3) + sin(x0 + x3 - sin(x0)))
15,0.00019817415,0.18820036151868622,((sin(x4) / x4) ^ x1) - cos(x3 / -0.3823073),(sin(x4)/x4)**x1 - cos(x3/(-0.3823073)),PySRFunction(X=>(sin(x4)/x4)**x1 - cos(x3/(-0.3823073)))
16,0.0001270083,0.4448937509218346,((x1 ^ x2) / exp(x0 * x0)) + sin((x0 + x3) - sin(x0)),x1**x2/exp(x0*x0) + sin(x0 + x3 - sin(x0)),PySRFunction(X=>x1**x2/exp(x0*x0) + sin(x0 + x3 - sin(x0)))
17,3.5315377e-05,1.2799339604994766,((sin(x3) / x1) / (x4 * x1)) - cos(x3 / -0.3823073),-cos(x3/(-0.3823073)) + sin(x3)/(x1*((x1*x4))),PySRFunction(X=>-cos(x3/(-0.3823073)) + sin(x3)/(x1*((x1*x4))))
19,3.0207339e-05,0.0781167850257004,((x3 / 1.081282) + (sin(x1) ^ x4)) * sin((x3 / x0) + x0),(x3/1.081282 + sin(x1)**x4)*sin(x0 + x3/x0),PySRFunction(X=>(x3/1.081282 + sin(x1)**x4)*sin(x0 + x3/x0))
23,1.152525e-05,0.24088615687037676,(sin(x0 + x4) / (x2 + exp(x4))) + (sin(x3 * x3) / (-0.18653443 + sin(x2))),sin(x3*x3)/(sin(x2) - 0.18653443) + sin(x0 + x4)/(x2 + exp(x4)),PySRFunction(X=>sin(x3*x3)/(sin(x2) - 0.18653443) + sin(x0 + x4)/(x2 + exp(x4)))
24,9.826869e-06,0.1594199119496993,(sin(x4 + x1) / (x3 + exp(x4))) + (sin(x3 * x3) / (sin(x2) + sin(-0.19300124))),sin(x3*x3)/(sin(x2) + sin(-0.19300124)) + sin(x1 + x4)/(x3 + exp(x4)),PySRFunction(X=>sin(x3*x3)/(sin(x2) + sin(-0.19300124)) + sin(x1 + x4)/(x3 + exp(x4)))
