Model,MSE_Train,NMSE_Train
Model_1,74.50132588504427,41.001286790545805
Model_2,10.208995456058837,5.618449679447589
Model_3,7.956634610055228,4.378878545568896
Model_4,0.4060006303775062,0.2234396245368328
Model_5,0.40600063037750683,0.22343962453683314
Model_6,0.26583349528397815,0.14629961613689363
Model_7,0.0009336170607876753,0.0005138096591860295
Model_8,0.0009336170607876172,0.0005138096591859975
Model_9,0.0005783888105004077,0.0003183122610778992
Model_10,0.00041300099176944924,0.00022729222476453075
Model_11,0.00026492861087394745,0.00014580161929231115
Model_12,0.00010474345393137525,5.764483172687749e-05
Model_13,4.106236794516919e-05,2.259838874567966e-05
Model_14,4.00276154076403e-05,2.202891987993181e-05
Model_15,3.314094136834487e-05,1.823888669644398e-05
