Complexity,Loss,Equation
1,190.6008,"x0"
2,44.97999,"exp(x3)"
4,21.698345,"exp(x3) + x0"
5,12.300991,"exp(x3) + exp(x4)"
6,3.132629,"exp(x3) + (x0 ^ x1)"
8,2.0783367,"exp(x3) + ((x1 * x0) * x4)"
10,0.13030235,"((x1 * (x0 ^ x4)) + exp(x3)) - x2"
13,0.07126398,"(((x0 ^ x4) * x1) + exp(x3)) - exp(sin(sin(x0)))"
14,0.027559713,"((x1 ^ x0) + exp(x3)) + ((x0 + x3) * sin(exp(x0)))"
15,0.007846709,"((exp(x3) - sin(x4)) + ((x1 * x0) * (x4 ^ x4))) - x4"
16,0.0077584074,"((exp(x3) - x4) + ((x0 * x1) * (x4 ^ x4))) - cos(cos(x4))"
17,0.0027473941,"((exp(x3) - x4) + ((x4 ^ x4) * (x0 * x1))) - sin(x0 / x4)"
19,0.0023224973,"((exp(x2) ^ x4) - cos(x1)) + (((x1 * x4) * (x3 ^ x4)) + (x1 / x2))"
20,0.0022697938,"((exp(x3) - x4) + ((x4 ^ x4) * (x1 * x0))) - ((x2 * x4) / (x2 ^ x0))"
21,0.0020613107,"(sin(exp(x3)) * ((x4 ^ x3) - log(x1))) + ((exp(x3) + (x0 ^ x1)) - sin(log(x0)))"
