Complexity,Loss,Equation
1,4.605767,"x0"
2,0.5221536,"sin(x4)"
3,0.34877637,"x4 - x0"
4,0.10093558,"cos(x4 * x4)"
5,0.09573182,"sin(cos(x4 * x4))"
7,0.026946913,"cos(sin(x2) * exp(exp(x0)))"
9,0.0047007604,"(sin(x4) / x4) + cos(x4 * x3)"
10,0.00189682,"sin(cos(x3 * x3)) + (sin(x4) / x4)"
11,0.0017940806,"sin(cos(x3 * x3)) + sin(sin(x4) / x4)"
12,0.0004898733,"((sin(x4) / x4) + cos(x4 * x3)) * log(x4)"
13,0.00025003846,"cos(x4 * x2) - (sin(x4) / (x4 - (x0 * x0)))"
14,0.00021180403,"((sin(x4) / x4) + cos(x4 * x3)) * cos(exp(cos(x4)))"
16,0.00016743004,"log(x0) * (cos(x4 * x4) - (sin(x4) * -0.44667068))"
17,5.518814e-5,"cos((x1 * x1) - log(0.8964137)) + (exp(cos(x0)) ^ x0)"
19,2.7326687e-5,"sin(log(x4) * 1.2755795) * (cos(x4 * x3) + (sin(x4) / x4))"
24,2.827219e-6,"(0.16931643 + cos(2.1116257 ^ x0)) * cos(sin(1.5309503 ^ x1))"
25,2.3774835e-6,"cos(sin(1.5308053 ^ x1)) * (sin(0.16947074) + cos(2.1116054 ^ x0))"
