Complexity,Loss,Equation
1,844.9406456627669,"2.784305461926483"
3,0.005912768554645445,"-0.49449444942104454 + 32.34656096881894"
5,0.000893853223782949,"31.59435230436076 - (x1 * -0.13654509198157339)"
6,0.000559104424061303,"32.1100124695907 - (0.309903517452641 * sin(x1))"
7,9.479008110469566e-5,"32.283150688118596 + (-0.2705413266457257 / cos(sin(x1)))"
8,2.818838292260447e-5,"31.896355847382818 + (0.1103906679765487 * cos(x1 / -0.47047195416031723))"
10,6.047068823282902e-6,"(cos(x1 * 2.2695040113109313) * (x1 * 0.05059278067307613)) + 31.861178022871737"
11,6.013529199023578e-6,"(sin(x1 * 0.050714380253834006) * cos(x1 * 2.2690349064642565)) + 31.861287872282137"
12,4.89895406171722e-7,"(cos(x1 * 2.3137930285892083) * (0.07072325078718143 * (x1 - 0.5886219348472579))) + 31.849569643626698"
13,4.89895160683748e-7,"31.84956760236204 + (cos(x1 * 2.3138004529542635) * (sin(0.07078609585589099) * (x1 - 0.5886992764615568)))"
16,4.093620627952724e-7,"((x4 * -0.0005310741691085376) + 31.850153313091177) + (cos(2.315862870725711 * x1) * (0.07174203413364037 * (x1 - 0.6090974978408196)))"
17,2.3227589117711502e-7,"((-0.043529085195830514 + (0.07196774202860756 * x1)) * cos(x1 * 2.315241869547724)) + ((-0.0007268377406578899 / sin(x3)) + 31.849966326527067)"
18,6.771748428542229e-8,"(cos(2.313297963158426 * x1) * (0.07180446403204208 * (x1 - 0.5910913428126783))) + (31.850825191021137 - ((x1 ^ x3) * 0.0002777063293657266))"
19,6.771748428525283e-8,"(cos(2.313297963158426 * x1) * (0.07180446403204208 * (x1 - 0.5910913428126783))) + (31.850825191021137 - ((x1 ^ x3) * sin(0.0002777063293657266)))"
20,3.603706981394116e-8,"(31.849481241585103 + ((-3.440043461270563e-5 / x1) / (-2.783047876956767 + x1))) + (((x1 - 0.6036126256274715) * 0.07182481944339632) * cos(x1 * 2.313408223804875))"
