Complexity,Loss,Equation
1,0.37121090970900206,"0.0063796635242434315"
2,0.371210909709002,"sin(0.0063797068020569215)"
3,0.36467921270973164,"x1 * 0.04225185123219431"
4,0.12890286212634328,"sin(x0 / -0.1403710212445455)"
5,0.11285643588780347,"sin(sin(x0 / -0.14022368069199803))"
6,0.09824611900705504,"0.7488141088447521 * sin(x0 / -0.1402485075014723)"
7,0.09805974199282362,"sin(cos((x1 + 0.23104736667995918) / -0.024308082790817316))"
8,0.0765094075773775,"(x1 * 0.3670150965818467) * sin(x0 / -0.14102032547155624)"
9,0.05645256001375865,"sin(x0 / -0.14168768375608523) * cos(x4 - x2)"
10,0.04504873690814518,"sin(x0 + cos(x4)) * sin(x0 / -0.1410889697364027)"
11,0.036900699520888355,"sin((1.5227294394389415 * x0) / x4) * sin(x0 / -0.14059493032501974)"
13,0.029951740456569786,"sin(x0 / -0.14048863933705805) * cos((x4 - x0) / (x1 / x3))"
14,0.02995174045656978,"sin(x0 / sin(-0.14095493148502294)) * cos((x4 - x0) / (x1 / x3))"
15,0.025878962343239068,"cos((x0 - x4) / (x4 / x2)) * (sin(x0 / -0.1408620450470265) - -0.08836993688323924)"
17,0.02423220156242853,"((0.04815132678003519 * x0) + sin(x0 / -0.14088499852642317)) * cos((x4 - x0) / (x4 / x2))"
18,0.023050178782088995,"(sin(x0 / -0.14086796897984832) - (0.1965305179045956 * cos(x0))) * cos((x4 - x0) / (x4 / x2))"
19,0.019785403966074793,"cos((x0 - x4) / (x1 / x3)) * (sin(x0 / -0.14037433068682645) - (0.04856250567772205 / (x0 - x1)))"
20,0.014525120750727833,"(cos(x0 - x4) * sin(x0 / -0.1418178459737909)) - ((x0 + -2.9558068707279963) * ((2.026147841002362 - x4) * cos(x0)))"
21,0.014191210869772606,"(cos(x4 - x0) * sin(x0 / -0.14181255383483732)) - ((cos(x0) * (x0 + -3.0103587694034415)) * sin(2.002330664702509 - x4))"
22,0.013773294751381655,"(cos(x4 - x0) * sin(x0 / -0.14181784598498226)) - (sin(2.0261478398950348 - x4) * ((1.6182884646465507 - x0) * (-2.9558068711544725 + x0)))"
23,0.013286170464930405,"(cos(x0 - x4) * sin(x0 / -0.1417092306764601)) - (((1.6787575207040555 - x0) / x2) * ((x0 + -3.369154635997197) * (1.8822982541176236 - x4)))"
24,0.010949477036585548,"(cos(x0 - x4) * sin(x0 / -0.14165375756825924)) - (((1.8878329338020803 - x4) / (x2 / x3)) * ((-2.9923518262639286 + x0) * cos(x0)))"
25,0.010158351569788627,"(cos(x0 - x4) * sin(x0 / -0.14165601975825343)) - (((1.618282209239778 - x0) / (x2 / x3)) * ((-2.945950929428981 + x0) * (1.8802278013877747 - x4)))"
