Complexity,Loss,Equation
1,0.32752751855945317,"0.32495940766330356"
2,0.32751255767707943,"sin(0.32688176738107916)"
3,0.28411023322642687,"x0 ^ -2.255700873542882"
4,0.10339793367246931,"sin(x4 ^ 10.799458168237916)"
5,0.09929578556661398,"sin(sin(x4 ^ 10.799458168237916))"
6,0.04155202853617255,"cos(x2 / 0.19581326132784452) - -0.31556471235702993"
7,0.023142512901821472,"sin(cos(x1 / -0.19391547599591985)) - -0.31680689612021734"
8,0.01646132197475587,"(cos(x0 / 0.19176885196220342) - -0.4070218249821736) * 0.773440413647175"
9,0.000820682644202993,"cos(x1 * x1) - (-0.9794277381555719 - cos(x4))"
10,0.0005613476462027847,"cos(x0 * x3) - (-0.8832169428622243 - sin(cos(x0)))"
11,0.00026276452449922787,"cos((0.9602537545683599 * x4) * x3) - (-0.949987634048003 - cos(x2))"
12,9.096578616065056e-5,"sin(cos(x2) - -0.5356730422468096) - (-0.427309474637734 - cos(x1 * x1))"
15,9.09657783128302e-5,"sin(cos(x2) - (-0.5333364747871642 - 0.0023448824058293727)) - (sin(-0.4415094038157983) - cos(x1 * x1))"
16,9.04538144316057e-5,"sin(cos(x2) - -0.5190503080172935) - ((-0.45183845528254224 * (x1 / x3)) - cos(x2 * x0))"
17,8.523358018160179e-5,"(cos(x1 * x1) - (-1.2168063577061043 - cos(x4))) + (cos(sin(x4)) * (-0.6673684060989183 / x1))"
18,7.090274326566641e-5,"(cos(x0 * x2) + (sin(x3) * 0.6924494954339024)) - ((1.2677869288468004 - x3) - (cos(x4) * 1.8245538144320368))"
19,6.430162536977468e-5,"((-1.3388183400668847 / (x1 + x0)) * cos(sin(x4))) + (cos(x1 * x1) - (-1.2143431275622327 - cos(x4)))"
20,6.254114374292048e-5,"((sin(-0.6391117855439636) / (-0.11722563796239946 + x3)) * cos(sin(x4))) + (cos(x1 * x1) - (-1.197261282702271 - cos(x4)))"
22,5.509772442188182e-5,"(cos(x2 * x0) - ((2.4632130674812864 * -0.3959327771690257) - cos(x2))) + ((-3.976493532247921 * (0.052079483142076256 ^ x1)) / sin(x0 - -0.2511869612233303))"
