x1,x2,x3,x4,x5,y
3.0,3.0202,3.0404,3.0606,3.0808,259.7513
3.101,3.1212,3.1414,3.1616,3.1818,305.8626
3.202,3.2222,3.2424,3.2626,3.2828,358.3015
3.303,3.3232,3.3434,3.3636,3.3838,417.698
3.404,3.4242,3.4444,3.4646,3.4848,484.7225
3.5051,3.5253,3.5455,3.5657,3.5859,560.1663
3.6061,3.6263,3.6465,3.6667,3.6869,644.6358
3.7071,3.7273,3.7475,3.7677,3.7879,739.0011
3.8081,3.8283,3.8485,3.8687,3.8889,844.1072
3.9091,3.9293,3.9495,3.9697,3.9899,960.846
4.0101,4.0303,4.0505,4.0707,4.0909,1090.1573
4.1111,4.1313,4.1515,4.1717,4.1919,1233.0304
4.2121,4.2323,4.2525,4.2727,4.2929,1390.5052
4.3131,4.3333,4.3535,4.3737,4.3939,1563.6732
4.4141,4.4343,4.4545,4.4747,4.4949,1753.6792
4.5152,4.5354,4.5556,4.5758,4.596,1961.9378
4.6162,4.6364,4.6566,4.6768,4.697,2189.2926
4.7172,4.7374,4.7576,4.7778,4.798,2437.2523
4.8182,4.8384,4.8586,4.8788,4.899,2707.1866
4.9192,4.9394,4.9596,4.9798,5.0,3000.5249
