Complexity,Loss,Equation
1,17.650491329497886,"x2"
2,0.7128411001830977,"cos(x3)"
3,0.5992751005854798,"x3 - x4"
4,0.3721255821072116,"cos(x2 * x1)"
5,0.3341676069239293,"sin(x0) - cos(x4)"
6,0.3300516436195751,"sin(x0) - sin(cos(x4))"
7,0.24743612201542323,"cos(cos(x1 * x2) + x3)"
8,0.17621420542629093,"sin(cos(x1 * x2) + sin(x0))"
9,0.14788386256650454,"cos(x2 * x1) + cos(x0 + x4)"
10,0.09329184749333533,"cos(x2 * x1) + sin(cos(x4) + x0)"
11,0.05756164537472824,"sin(cos(x4) + x0) + sin(cos(x2 * x1))"
14,0.04944021510880126,"(sin(x0) + (sin(x1) * cos(x4))) + sin(cos(x1 * x2))"
15,0.044370124356999,"(sin(sin(x0)) + (sin(x1) * cos(x4))) + sin(cos(x1 * x2))"
17,0.03736201001766049,"sin(cos(x4) + x0) + (cos(x2 * x1) / ((x3 / x0) - cos(x3)))"
21,0.030361729402445334,"(cos(x1 * x2) / ((x3 / x0) - cos(x3))) + (((x0 / x4) * sin(x0)) - cos(x4))"
22,0.02688729419040904,"(cos(x1 * x2) / ((x3 / x0) - cos(x3))) + ((sin(x0) * (x0 / x4)) - sin(cos(x4)))"
27,0.02462689859399337,"(cos(x1 * x2) * (x2 * 0.16686009888231587)) + ((cos(x4) + sin(x0)) - (cos(x4) * (x3 / 2.2338364199142955)))"
28,0.02301636246158401,"(((x2 / x4) * sin(x0)) - ((x3 / 4.681872046149801) * cos(x4))) + (cos(x1 * x2) / ((x4 / x1) - cos(x4)))"
