Complexity,Loss,Equation
1,15.630556856621679,"x2"
2,0.8350347491239224,"sin(x0)"
3,0.5299072162808249,"x3 - x4"
4,0.25495177050011414,"cos(x4 + x0)"
8,0.22539604872953536,"cos(x0 + x4) / cos(cos(x4))"
9,0.02662650582092694,"cos(x1 * x2) + cos(x0 + x4)"
10,0.003997397397339106,"(cos(x2 * x1) - cos(x4)) + sin(x0)"
14,0.003997397397339104,"(cos(x2 * x1) - cos(x4)) + ((sin(x0) / x1) * x1)"
15,0.002966539137784166,"sin(x0) + (cos(x2 * x1) - (cos(x4) / 1.0592113338737092))"
16,0.0028742749283445714,"(cos(x2 * x1) - cos(x4)) + (sin(x0) - (x1 / (x0 ^ x4)))"
17,0.0009356695943441216,"sin(x0) + (cos(x2 * x1) - (cos(x4) / (4.754817598442696 / x3)))"
18,1.0202059170773767e-9,"((sin(x0) - 3.6016793474206792e-6) + (cos(x4) * sin(x3))) + cos(x2 * x1)"
20,9.659043230699027e-10,"((sin(x0) + (-3.827658783385807e-5 / x0)) + (cos(x4) * sin(x3))) + cos(x1 * x2)"
22,8.00910993692249e-10,"(sin(x0) + (cos(x4) * sin(x3))) + (cos(x2 * x1) - (0.0009467899273412593 / (x0 ^ x0)))"
27,8.001951119818584e-10,"((sin(x0) + 3.6016793474206792e-6) + (cos(x4) * sin(x3))) + (cos(x1 * x2) - (0.0009467899273412593 / (x0 ^ x0)))"
29,7.839910661264893e-10,"((sin(x0) + (2.4272381891213762e-5 / x0)) + (cos(x4) * sin(x3))) + (cos(x1 * x2) - (0.0012887608034384157 / (x0 ^ x0)))"
30,7.839910658804656e-10,"((sin(x0) + (2.427283417622529e-5 / x0)) + (cos(x4) * sin(x3))) + (cos(x1 * x2) - (sin(0.0012887770520990725) / (x0 ^ x0)))"
