Complexity,Loss,Equation
1,1.3659156556075634e6,"x4"
3,906511.902474947,"x0 ^ x1"
5,889560.905810922,"(x0 ^ x0) + x3"
6,4366.205814824521,"x4 + 1102.648502796926"
8,2859.1671106506037,"(x4 * x4) + 1102.648502796926"
10,71.62863089193611,"1139.433666620951 + (x3 * (x3 + x3))"
13,6.18283732315832e-5,"((x3 - x3) + 42.66968691320664) + 1130.1261091454357"
15,1.816928223426209e-6,"1172.765286899929 + ((x3 * (x3 + x3)) * 0.0009144847736799606)"
19,1.809240627835045e-6,"1172.7654725651466 + ((x2 * (x1 + x2)) * (x3 + (0.0009201729068579415 - x3)))"
24,8.61196966093176e-9,"1172.7949972159488 + (((x3 + x3) * x4) * ((-0.0017656712797175507 - x3) + (1.000427931575351 * x3)))"
