Complexity,Loss,Equation
1,1.3204759846025313,"x0"
3,0.4502373318158005,"x0 + x1"
5,0.11205262574258468,"x1 + (x0 + x4)"
7,0.08530928434152746,"x1 + (x0 + (x4 * x4))"
9,0.048662932318991145,"x4 + (x0 + (x1 * (x3 + x2)))"
11,0.023835981863382788,"(x0 + (x1 * (x2 + x1))) + (x4 * x4)"
13,0.01915533360318157,"((x4 * x4) + x0) + ((x2 + (x4 ^ x4)) * x1)"
15,0.014264955182692465,"((x2 + x1) * x1) + (x0 + ((x4 * x4) * (x2 + x3)))"
17,0.013137329419957216,"(((x4 * x4) ^ x4) * x1) + (x0 + ((x4 * x4) + (x2 * x1)))"
19,0.007645678451835973,"(((x0 * x0) + x1) + ((x2 - x4) * x2)) + ((x4 * x4) * (x4 + x4))"
21,0.006037923531957917,"(((x2 - x4) * (x2 ^ x3)) + (x0 + (x1 * x1))) + ((x4 * x4) * (x4 + x4))"
23,0.005568924575056511,"(((x1 * x1) + x0) + ((x2 - x4) * x2)) + (((x4 ^ x1) * (x4 + x4)) * (x4 * x4))"
24,0.005078669451805289,"((x2 * (x2 * x2)) + ((x1 * x1) + x0)) + ((x4 + (-0.3358634582406108 + x3)) * (x4 * x4))"
26,0.004254114773529482,"(((x2 * x2) * (x2 ^ x2)) + ((x1 * x1) + x0)) + ((x4 * x4) * ((x3 + -0.38127399459755185) + x4))"
28,0.0032771013867421554,"((x2 * (x2 * x2)) + ((x1 * x1) + x0)) + (((-0.2584615729330945 + x3) + (x4 * x4)) * (x4 * (x4 ^ x4)))"
30,0.003055829864435941,"(((x2 * x2) * (x2 ^ x2)) + (x0 + (x1 * x1))) + ((x4 * (x4 ^ x4)) * ((-0.3061123207433295 + x3) + (x4 * x4)))"
