Complexity,Loss,Equation
1,0.8994793818038949,"x1"
2,0.5256293371752672,"cos(x2)"
3,0.23489687951817564,"x1 + x0"
4,0.1484636925762671,"x1 + cos(x2)"
5,0.10496828154759753,"(x1 + x3) + x0"
6,0.09315370365083218,"(x1 + sin(x3)) + x0"
7,0.05284763893402116,"x1 + (x0 + (x3 * x4))"
9,0.04204514830627491,"((x4 + x0) * (x2 + x3)) + x1"
10,0.029098199936431566,"((x4 + x0) * (x3 + sin(x1))) + x2"
11,0.025464358684628787,"x2 + ((sin(x4) + x0) * (x3 + sin(x1)))"
12,0.025237404456687363,"((sin(x4) + x0) * (x3 + sin(x1))) + sin(x2)"
13,0.01799944770207031,"(((x1 ^ x4) * x2) + x0) + ((x3 + x1) * x4)"
14,0.01739230495853098,"(x0 + ((x1 + x3) * x4)) + ((sin(x1) ^ x4) * x2)"
16,0.015903363028698436,"sin(x2 + x1) + (((x4 * x3) * (x4 + x1)) + (x0 * x0))"
17,0.014568524066163937,"sin(sin(x2) + x1) + (((x4 * x3) * (x4 + x1)) + (x0 * x0))"
18,0.01042242545383432,"sin((x1 * x1) + x2) + (((x3 * x4) * (x4 + x3)) + (x0 * x0))"
19,0.007878635314515147,"((x3 + x4) * ((x3 * x3) * x4)) + (x0 + ((x2 * x2) + (x1 * x1)))"
20,0.006745241699057263,"((sin(x1) + x2) * (x3 ^ x3)) + ((x0 * x0) + ((x4 + x1) * (x3 * x4)))"
21,0.006231482868824097,"(((x1 * x1) + (x2 * x2)) * cos(x3)) + (((x3 + x4) * (x3 * x4)) + sin(x0))"
22,0.006079385115605327,"(((x4 + x3) * (x3 * x4)) + (x0 * x0)) + (sin(sin(x2)) + ((x1 * x1) * cos(x0)))"
23,0.004903318506805137,"(((x4 * x3) * (x3 + x1)) + (x0 * (x0 ^ x3))) + ((x3 ^ x3) * (x1 + (x2 * x2)))"
24,0.004668370886744003,"(((x4 + x3) * (x4 * x3)) + (x0 * (x1 ^ x1))) + (cos(x3 ^ x4) * (x1 + (x2 * x2)))"
26,0.004327895554589379,"(((x4 * x3) * (x3 + x1)) + (x0 * (x0 ^ x0))) + (((x4 ^ x1) ^ x3) * (sin(x1) + (x2 * x2)))"
27,0.0038190031455436224,"((x3 ^ x3) * (sin(x1) + (x2 * x2))) + (((x1 + x4) * (x3 * x4)) + ((x0 * x0) + 0.11968468626895931))"
28,0.003416533745313524,"(((x2 * x2) + sin(x1)) * (sin(x3) ^ x3)) + (((x4 * x3) * (x1 + x4)) + (0.1399452657504865 + (x0 * x0)))"
