Complexity,Loss,Equation
1,1.2969968354322055,"x0"
2,1.006597079174772,"cos(x2)"
3,0.4314300032183577,"x0 + x1"
4,0.4178064200614804,"cos(x2) + x1"
5,0.09639913777435878,"(x0 + x1) + x4"
7,0.07148082281738004,"((x4 * x4) + x0) + x1"
9,0.041121970974124206,"(x4 + x0) + (x1 * (x2 + x3))"
11,0.018960436672208116,"(x0 + (x1 * (x2 + x1))) + (x4 * x4)"
13,0.012525500784429225,"(x0 + (x4 * x4)) + ((x2 + (x4 ^ x4)) * x1)"
14,0.010321246604408025,"(x0 + (x4 * x4)) + ((sin(x2) + (x4 ^ x4)) * x1)"
15,0.007944712160033708,"((x4 ^ x4) * ((x2 * x1) + x1)) + (x0 + (x4 * x4))"
19,0.007730432357579693,"((x4 ^ x4) * (x1 + (x1 * x2))) + (x0 + ((x4 * x4) * (x4 ^ x1)))"
20,0.0076623072808548725,"((sin(x4) ^ x4) * (x1 + (x2 * x1))) + (((x4 * x4) * (x2 + x3)) + x0)"
21,0.006389163514305917,"(((x4 ^ x4) + sin(x2)) * x1) + (((x4 + 0.14436739372051488) * (x4 * x4)) + x0)"
22,0.005618401427616708,"(x0 + ((x4 + x4) * (-0.35474538604668876 + x4))) + ((x2 + x1) * ((x1 * x4) ^ x4))"
23,0.004309273223391689,"((x2 + sin(x1)) * ((x1 * x4) ^ x4)) + (x0 + ((x4 + x4) * (-0.3306492676124437 + x4)))"
24,0.004204168219836984,"(x0 + ((x4 + -0.31711598258295154) * (x4 + x4))) + ((sin(x1) + sin(x2)) * ((x4 * x1) ^ x4))"
25,0.003502366841769168,"(((-0.28196885715289993 + x4) * (x4 + x4)) + x0) + ((x1 ^ x4) * (-0.32643137958153445 + (x1 + x2)))"
26,0.003136356474120921,"(((-0.2757716530685484 + x1) + sin(x2)) * (x1 ^ x4)) + (x0 + ((x4 + x4) * (-0.28825688209862976 + x4)))"
29,0.002707141597937801,"(((x4 * x1) ^ x4) * (x1 + x2)) + ((x0 * (0.746757721274638 ^ x1)) + ((x4 + x4) * (x4 + -0.2986789111870214)))"
