Complexity,Loss,Equation
1,1.539485350851326,"x4"
2,0.274582850264916,"exp(x0)"
5,0.16889221574102214,"x3 + (x1 + x2)"
6,0.14823286185078022,"exp(square(x0)) + cube(x3)"
7,0.11611255292634186,"exp(x0 * x2) + cube(x3)"
8,0.10172289711819069,"exp(x0 * x2) + cube(square(x3))"
9,0.05692300772079518,"((x1 + cube(x4)) + x3) + cube(x2)"
10,0.04257034992259746,"(cube(x4) + (x3 + x2)) + (x1 * x0)"
13,0.010572010817623758,"cube(x1) + ((cube(x4) + cube(x2)) + (x0 + cube(x3)))"
14,0.0019982995660816063,"(cube(square(x4)) + (cube(x2) + x0)) + (square(x1) + cube(x3))"
15,0.0014174843751622106,"(cube(square(x4)) + (cube(x2) + x0)) + (square(x1) + square(square(x3)))"
17,1.3866695599588098e-31,"((cube(x2) + x0) + (square(x4) * cube(x4))) + (square(square(x3)) + square(x1))"
18,1.355854680848614e-31,"((x0 + cube(x2)) + (cube(x4) * square(x4))) + (square(x1) + (x3 * cube(x3)))"
