x1,y,Model_1_Y_pred,Model_2_Y_pred,Model_3_Y_pred,Model_4_Y_pred,Model_5_Y_pred,Model_6_Y_pred,Model_7_Y_pred,Model_8_Y_pred,Model_9_Y_pred,Model_10_Y_pred,Model_11_Y_pred,Model_12_Y_pred,Model_1_Residuals,Model_2_Residuals,Model_3_Residuals,Model_4_Residuals,Model_5_Residuals,Model_6_Residuals,Model_7_Residuals,Model_8_Residuals,Model_9_Residuals,Model_10_Residuals,Model_11_Residuals,Model_12_Residuals
70.1735,24599479.7397,70.1735,4924.320102250001,345556.77669524046,1004280.1196889415,24248928.469423458,24594485.2461187,24594485.246118702,24594489.497089446,24599097.357861575,24599409.566220947,24599474.028250664,24599475.107340597,24599409.5662,24594555.419597752,24253922.96300476,23595199.620011058,350551.27027654275,4994.493581302464,4994.493581298739,4990.242610555142,382.3818384259939,70.17347905412316,5.711449336260557,4.632359404116869
74.7283,31607582.3926,74.7283,5584.318820890001,417306.6521431143,1616088.8105558364,31184616.69334629,31601923.345489405,31601923.345489405,31601927.659348276,31607493.095644895,31607507.664310295,31607575.983497813,31607577.062587745,31607507.6643,31601998.07377911,31190275.740456887,29991493.58204416,422965.6992537081,5659.047110594809,5659.047110594809,5654.733251724392,89.29695510491729,74.72828970476985,6.409102186560631,5.330012254416943
24.4788,374346.2734,24.4788,599.21164944,14667.982124311871,1127.958867308455,359054.60082460544,373722.5829489173,373722.5829489173,373725.7807563541,373918.35503953224,374321.7945983573,374345.15035718825,374346.2294471217,374321.7946,373747.06175056,359678.29127568816,373218.31453269155,15291.672575394565,623.6904510827153,623.6904510827153,620.4926436459064,427.91836046776734,24.47880164271919,1.1230428117560223,0.04395287833176553
61.1476,14212770.5817,61.1476,3739.0289857599996,228632.64880965813,364349.57564719924,13980337.756353451,14208970.40516311,14208970.40516311,14208974.518453723,14212021.942263506,14212709.434148869,14212766.124061648,14212767.20315158,14212709.4341,14209031.552714242,13984137.932890343,13848421.006052801,232432.82534654997,3800.1765368916094,3800.1765368916094,3796.0632462780923,748.639436494559,61.14755113236606,4.45763835310936,3.3785484209656715
56.4478,10335958.0912,56.4478,3186.35412484,179862.68036814337,205730.88249899924,10152852.608884884,10332715.289253026,10332715.289253026,10332719.322569344,10335115.898461632,10335901.643377867,10335954.21861746,10335955.297707392,10335901.6434,10332771.73707516,10156095.410831856,10130227.208701,183105.48231511563,3242.801946973428,3242.801946973428,3238.7686306554824,842.1927383672446,56.44782213307917,3.8725825399160385,2.7934926077723503
79.0167,39482700.8458,79.0167,6243.63887889,493351.7402015875,2481223.885249722,38983026.44998678,39476378.19018837,39476378.19018837,39476382.55984759,39482962.906529665,39482621.82906726,39482693.740004696,39482694.81909463,39482621.8291,39476457.20692111,38989349.10559841,37001476.96055028,499674.39581321925,6322.655611626804,6322.655611626804,6318.285952404141,262.06072966754436,79.01673273742199,7.105795301496983,6.026705369353294
67.5393,21120516.1362,67.5393,4561.5570444899995,308084.3696949234,754803.6666307133,20807802.67013634,21115887.039831266,21115887.039831262,21115891.252540916,21119999.011105143,21120448.596875753,21120510.808296163,21120511.887386095,21120448.5969,21115954.57915551,20812431.766505077,20365712.46956929,312713.46606365964,4629.0963687337935,4629.096368737519,4624.883659083396,517.1250948570669,67.53932424634695,5.327903836965561,4.248813904821873
66.3375,19662238.8591,66.3375,4400.663906250001,291929.04188085947,660806.9923079093,19365842.815771516,19657771.857652374,19657771.857652374,19657776.052407723,19661668.205381457,19662172.521558624,19662233.701344814,19662234.780434746,19662172.5216,19657838.19519375,19370309.81721914,19001431.86679209,296396.04332848266,4467.001447625458,4467.001447625458,4462.80669227615,570.6537185423076,66.33754137530923,5.157755184918642,4.078665252774954
66.4153,19754285.847,66.4153,4410.992074090001,292957.3618983096,666556.1943724751,19456851.0776848,19749808.439583115,19749808.43958311,19749812.635510568,19753718.512196634,19754219.431657203,19754280.678319305,19754281.757409237,19754219.4317,19749874.85492591,19461328.48510169,19087729.652627524,297434.76931519806,4477.407416883856,4477.407416887581,4473.21148943156,567.334803365171,66.4153427965939,5.168680693954229,4.089590761810541
96.3682,87149549.2009,96.3682,9286.82997124,894955.0880344507,11995692.40951927,86245210.91472155,87140166.002756,87140166.002756,87140170.57093227,87152110.8788205,87149452.83272724,87149538.8822351,87149539.96132503,87149452.8327,87140262.37092876,86254594.11286555,75153856.79138073,904338.2861784548,9383.198144003749,9383.198144003749,9378.629967734218,2561.6779204905033,96.36817276477814,10.318664908409119,9.23957496881485
