complexity,loss,score,equation,sympy_format,lambda_format
1,9.216307e+22,0.0,x0,x0,PySRFunction(X=>x0)
5,9.184915e+22,0.0008529876563065819,exp(x0 / log(x0)),exp(x0/log(x0)),PySRFunction(X=>exp(x0/log(x0)))
6,6.9899483e+22,0.2730893044674676,x0 * (x0 ^ log(x0)),x0*x0**log(x0),PySRFunction(X=>x0*x0**log(x0))
7,6.4801322e+22,0.07573224854731685,exp(x0 / log(x0)) * x0,x0*exp(x0/log(x0)),PySRFunction(X=>x0*exp(x0/log(x0)))
8,4.9622467e+22,0.266882309501228,exp(0.2838847) ^ x0,exp(0.2838847)**x0,PySRFunction(X=>exp(0.2838847)**x0)
9,1.0106177e+17,13.104222338789441,exp(log(x0) / 0.16660115),x0**6.00235952753027,PySRFunction(X=>x0**6.00235952753027)
13,1247277000000000.0,1.0986922847272056,((x0 * x0) * (x0 * x0)) * ((x0 * x0) + x0),x0*x0*x0*x0*(x0*x0 + x0),PySRFunction(X=>x0*x0*x0*x0*(x0*x0 + x0))
15,1220137000000000.0,0.010999813813483066,(((x0 * x0) * (x0 * x0)) + x0) * ((x0 * x0) + x0),(x0*x0 + x0)*(x0*x0*x0*x0 + x0),PySRFunction(X=>(x0*x0 + x0)*(x0*x0*x0*x0 + x0))
16,921885200000000.0,0.2802977226308945,(((x0 * x0) + x0) * ((x0 * x0) - sin(x0))) * (x0 * x0),x0*x0*(x0*x0 + x0)*(x0*x0 - sin(x0)),PySRFunction(X=>x0*x0*(x0*x0 + x0)*(x0*x0 - sin(x0)))
17,2466798000.0,12.831255029488005,((x0 * x0) + ((x0 * x0) * (x0 * x0))) * ((x0 * x0) + x0),(x0*x0 + x0)*(x0*x0 + x0*x0*x0*x0),PySRFunction(X=>(x0*x0 + x0)*(x0*x0 + x0*x0*x0*x0))
21,2277813800.0,0.019926207512661744,(x0 + ((x0 * x0) * (x0 * x0))) * ((x0 * x0) + (x0 + 1.0001793)),(x0 + x0*x0*x0*x0)*(x0*x0 + x0 + 1.0001793),PySRFunction(X=>(x0 + x0*x0*x0*x0)*(x0*x0 + x0 + 1.0001793))
