Model,MSE_Train,NMSE_Train
Model_1,9.216307770073922e+22,1.3435943039696785
Model_2,9.184915777938481e+22,1.3390178398502406
Model_3,6.989949199400507e+22,1.0190258576050795
Model_4,6.48013279500573e+22,0.9447025565496038
Model_5,4.962277703210387e+22,0.7234228959235092
Model_6,1.0103673813697202e+17,1.4729584692615224e-06
Model_7,1247676423917104.8,1.818918137494918e-08
Model_8,1220222209863815.2,1.778894164183458e-08
Model_9,921784355183601.4,1.3438181970599664e-08
Model_10,21192598.181427352,3.0895511427409255e-16
Model_11,39228301.34431694,5.718876100445978e-16
