x1,x2,y
68.0523,34.3244,-0.9408
25.6062,55.786,1.4019
12.5308,44.7774,0.5928
32.4018,7.7423,0.5835
30.6572,75.2944,0.2827
20.7874,75.7286,-0.0544
81.5093,45.1683,-1.1298
57.6245,85.0792,1.1185
56.6783,8.5677,-0.783
36.7497,95.2591,0.1681
41.518,58.2928,-1.5406
53.1818,79.1263,0.4443
94.6066,22.0223,1.2744
13.3904,34.2516,-0.2436
28.2792,16.0879,0.9307
42.9889,23.9397,0.1355
39.4122,84.9988,0.2274
98.4372,8.4158,0.1239
1.6872,17.2235,1.9665
74.4964,15.052,-0.4247
31.6087,87.398,-0.74
29.4357,48.7216,-1.8663
48.6294,12.6227,-0.2216
73.5157,99.8125,-1.4701
79.7187,2.4245,-1.3182
24.7927,28.0284,-0.1417
62.848,78.0279,-0.0372
37.0535,51.4032,-0.8097
27.9472,4.1205,-0.6339
1.8007,45.5967,0.3486
79.8725,26.6369,-1.4296
74.502,44.9418,-0.5059
95.7793,15.5044,1.9977
19.7623,71.9534,0.7383
96.445,77.5222,0.9845
9.7759,50.6006,-0.3667
58.6572,9.3083,-0.1099
46.3944,49.0126,1.5501
60.6946,76.2561,-0.7487
47.5086,73.0397,-0.0105
11.4267,55.7563,-1.8959
79.3686,40.846,-0.9456
25.4085,8.6061,-0.6996
93.5948,12.5753,0.2641
10.1684,11.239,-0.0706
7.2952,22.6817,0.1578
83.6774,72.3336,-0.0741
15.6457,55.0363,0.5408
26.7934,3.3859,0.1038
40.5167,97.2448,0.6681
39.5952,20.0312,0.1801
9.1456,76.4323,-0.7189
65.8205,46.244,0.9462
65.0789,79.5458,1.1385
7.2183,56.0815,0.4149
66.2722,76.9206,-1.211
50.4951,33.2826,1.1768
39.2014,64.8243,0.0452
28.6341,74.3569,-0.6038
73.5613,19.5459,-1.908
25.6341,13.6652,-0.5019
72.7908,90.6813,-1.5089
10.0272,92.3661,-1.4435
39.3592,38.9508,1.2186
91.1872,73.3543,0.5594
30.4382,78.9034,-1.6064
78.9674,23.2646,0.3609
88.4161,19.9712,0.5694
15.5418,70.5096,1.1648
4.0594,59.7481,0.0397
52.2087,47.2361,1.5896
83.0895,16.3545,0.566
21.7604,25.151,-0.6682
78.7852,87.3376,-0.1736
17.0565,4.6064,-0.2777
39.3692,1.8915,0.5726
71.5914,30.0615,-0.267
45.7797,65.0445,1.781
10.6789,43.9455,-0.1843
63.802,97.8416,0.3058
19.7929,50.8117,0.2781
9.9177,25.5959,0.5186
18.4646,65.2915,-0.215
31.4531,51.2109,0.661
21.5208,82.6389,-0.1397
26.2737,3.1258,0.57
10.6507,46.9044,-0.1529
24.8998,61.5551,0.0355
38.7357,12.3202,1.6972
54.3703,24.2457,-1.1884
7.0899,44.7234,1.5699
80.7248,66.7833,-1.6859
92.1171,64.561,-0.1507
10.6661,38.3808,-0.6306
48.7622,48.7607,-0.4499
71.4062,84.5241,1.0867
85.7936,58.8795,-1.8241
4.9975,62.1215,-0.0258
97.412,58.8999,0.7481
45.3975,78.9889,1.0312
75.8061,43.7307,1.1518
92.602,18.9298,-0.8027
20.6391,39.1367,-0.0119
28.9639,58.0883,-0.4571
28.553,10.5708,-1.252
16.4285,5.2895,-0.3685
89.5808,17.5166,0.1341
46.6549,66.8846,0.3738
27.4242,93.6009,1.45
90.5494,43.6825,-0.4086
33.4127,15.5996,-0.0814
79.6194,76.5516,-1.7624
83.5877,83.3747,1.7878
52.6472,78.888,0.8664
68.8732,24.665,-1.1337
83.867,87.2357,1.7213
72.6201,99.9208,-0.1717
38.05,84.2347,1.3243
24.7417,14.0607,-0.1658
40.4422,87.2628,-0.0237
18.8963,11.9597,-0.949
77.691,1.5791,1.3541
44.4658,1.2014,1.4568
67.2055,88.4304,-1.4327
37.0724,96.6021,0.4044
24.5446,11.5004,-0.2476
17.5454,44.0759,-0.0398
76.9983,23.0582,0.3169
20.9141,64.0337,0.3696
51.5026,51.6819,1.5619
30.6796,71.9699,0.0594
50.5501,11.3448,0.3814
53.7242,95.0651,0.5235
1.7044,99.2359,1.8951
50.8194,48.2068,-0.2466
70.5201,72.1916,1.2579
42.6289,84.0728,-1.3173
4.234,13.8267,-0.4442
40.5516,4.4548,1.1242
1.8868,82.2229,0.8486
43.1349,85.8776,-1.7469
44.5749,54.865,1.0575
7.8464,86.9917,1.5148
38.3439,77.4111,-0.393
40.8823,65.6821,-0.7096
46.0504,19.5058,0.5421
41.4496,86.4727,-0.0601
53.8254,24.4866,0.0293
16.3794,19.1399,0.3206
50.009,12.3897,0.1663
27.3612,55.1553,1.6566
3.9248,51.952,-1.0785
5.481,66.677,-1.1706
39.6639,46.3651,1.6897
35.1079,29.6823,0.4612
71.8927,31.9426,0.9909
39.6598,20.8117,0.5237
88.2946,32.668,-0.4854
34.2376,30.6723,-0.6787
28.3596,61.4227,0.2148
23.6406,87.9546,-0.0097
96.9971,18.7115,-0.6037
21.84,99.5653,-0.8483
29.894,94.8095,-1.6766
30.1526,83.5422,-1.9217
4.3532,89.8097,-1.9034
21.7318,58.7949,1.1423
68.2388,57.2146,-0.7974
81.8242,40.2311,-0.4397
25.2513,62.8793,1.112
39.656,26.5074,0.047
7.8703,72.3049,1.3786
56.3654,67.2502,-1.1469
84.6719,72.1616,-0.8438
57.0255,91.3608,0.863
84.9389,68.1755,-1.1118
27.6115,98.3757,1.6101
32.8617,88.7507,0.3374
51.0891,86.2765,-0.199
19.8414,22.4027,0.1381
93.2944,12.0951,0.1632
89.5001,25.0599,0.6849
29.2443,54.1256,0.1741
69.852,99.8557,0.4205
76.1929,49.2453,0.5052
46.9081,58.0703,-0.7286
87.3457,37.4802,-1.0361
84.1087,25.3926,-0.0321
1.3941,90.3798,1.3436
73.7788,51.0564,-1.692
96.9898,92.1741,1.3204
89.5788,69.5352,0.7682
76.5076,5.2141,1.7809
7.7942,26.5597,1.9898
35.7967,17.9345,-0.0121
52.6929,75.0159,-0.0573
31.5735,23.3849,0.3717
96.1909,49.4587,1.8391
32.159,3.9589,0.7116
78.8627,15.718,0.5872
44.3173,83.0003,0.7753
86.1821,77.3815,-0.9567
44.2788,51.6087,-0.2829
48.0649,52.7989,-1.7131
3.1782,45.3548,0.5963
7.0627,20.957,0.1161
73.7627,57.763,-0.8063
68.3214,57.2203,-0.1293
11.6719,24.5712,-0.2503
64.6674,37.7025,1.9609
83.6845,22.9774,1.0805
16.0462,78.5927,0.0953
4.1282,94.0468,-1.7723
75.0304,49.6377,0.4191
46.0954,65.1875,1.7752
8.7616,76.3473,-0.3352
99.3704,38.6284,-0.814
49.1865,39.0765,-0.7233
49.6539,43.5169,0.0388
64.1385,14.9495,0.5444
8.8845,83.9539,-0.4812
21.2735,18.3217,1.1067
43.8736,40.3716,0.473
56.8497,47.2469,1.2824
52.4786,91.8329,1.7487
94.8393,12.463,-0.4258
72.4015,15.9983,-1.1399
68.761,22.4389,0.4042
49.0195,33.0383,-1.9326
6.69,71.5131,0.0161
27.767,66.0518,1.2251
63.5804,12.9152,0.387
19.6297,52.6653,1.0859
88.6731,20.1183,1.1471
17.117,34.5456,-1.3826
79.374,34.6482,-0.3427
5.8015,44.228,0.4262
78.5758,98.3057,0.4184
19.7733,79.1617,1.5828
72.9006,11.4453,-1.415
24.0931,16.7213,-0.8624
48.5743,73.5194,0.0072
68.9233,6.8749,-0.3305
37.9664,8.5842,-0.7262
70.4605,95.1644,1.7873
27.6319,17.741,1.1504
54.3545,68.847,-0.1274
67.9921,98.6361,-0.4825
88.9478,36.4798,-0.1197
20.5966,69.9046,-0.0111
32.4027,20.9257,-0.0991
85.567,73.3816,-0.5086
82.1563,24.7215,1.4509
2.2819,31.9207,1.6276
33.3008,48.0481,1.3867
20.606,46.4772,0.0232
41.9655,14.4755,-0.0907
66.5686,28.7022,0.098
56.9017,35.1817,0.3103
51.3149,39.1462,0.2444
64.7,69.4432,0.9428
56.793,4.3224,0.0763
49.1634,5.3355,-1.0842
1.7686,88.9207,1.458
47.0107,36.712,0.0853
25.7449,18.0811,0.7738
64.367,19.5051,0.6884
29.6445,49.6507,-0.1618
4.8978,45.7598,0.0133
