Complexity,Loss,Equation
1,2491.475,"x0"
2,58.176746,"log(x0)"
4,14.651372,"log(x0 * x0)"
6,0.03143551,"log(x0 * (x0 * x0))"
8,0.014479595,"log(x0 * ((x0 * x0) + x0))"
10,0.012267136,"log(x0 * ((x0 * x0) + (x0 + x0)))"
11,0.012267127,"log(x0) + log((x0 * x0) + (x0 + x0))"
12,0.0119562065,"log((x0 * x0) * (1.7185987 + x0))"
14,0.011384982,"log(0.50663817 + x0) / 0.33390054"
18,0.011231377,"log(((x0 * x0) + (x0 + x0)) * (x0 / (1.0005907 ^ x0)))"
19,0.011201716,"(2.5996618 * log(x0 + x0)) - (cos(0.25423157) ^ x0)"
20,0.011120098,"log((x0 - -1.9272994) * (x0 * x0)) * (0.9999545 ^ x0)"
21,0.011075532,"log(((x0 * x0) - -2.0226605) * ((x0 * 0.93290067) + log(x0)))"
22,0.010949435,"log(cos(x0) + (x0 * x0)) + (log(x0 - -2.072659) * 0.9921246)"
