Complexity,Loss,Equation
1,2279.8733,"x0"
2,58.146782,"log(x0)"
4,14.377849,"x0 / log(x0)"
6,0.0390152,"log((x0 * x0) * x0)"
8,0.016789626,"log(((x0 * x0) + x0) * x0)"
10,0.013359094,"log(x0 * ((x0 * x0) + (x0 + x0)))"
12,0.012360713,"log((x0 * (x0 * x0)) + ((x0 * x0) + x0))"
13,0.01181037,"log(((x0 * x0) + sin(x0)) * (x0 + (x0 / x0)))"
14,0.011415605,"log(((x0 * x0) + (x0 / x0)) * (x0 + (x0 / x0)))"
16,0.01133439,"log(((x0 + 1.2482569) * (x0 * x0)) - log(log(x0)))"
17,0.011274368,"log(x0 * (x0 * x0)) - (-1.5256292 / (x0 + log(x0)))"
18,0.011221269,"log((sin(x0) / cos(x0)) + ((x0 + 1.3357008) * (x0 * x0)))"
23,0.011148745,"log(((x0 * x0) * (x0 + 1.185403)) + (sin(x0) + (1.1115724 ^ x0)))"
27,0.011143054,"log(((1.1114426 ^ x0) + sin(1.4943788)) + ((x0 * x0) * (x0 + 1.1021638)))"
