x1,y,Model_1_Y_pred,Model_2_Y_pred,Model_3_Y_pred,Model_4_Y_pred,Model_5_Y_pred,Model_6_Y_pred,Model_7_Y_pred,Model_1_Residuals,Model_2_Residuals,Model_3_Residuals,Model_4_Residuals,Model_5_Residuals,Model_6_Residuals,Model_7_Residuals
64.7207,1153396678.8181684,64.7207,4188.76900849,5499951.086711333,22935242.014445566,1135575539.4458573,1153121325.2523437,1153396614.08372,1153396614.0974684,1153392490.04916,1147896727.731457,1130461436.8037229,17821139.372311115,275353.5658247471,64.73444843292236
88.5045,5492394578.275664,88.5045,7833.046520249999,374841317.8786723,1680433643.89381,5430336779.053502,5491693396.841903,5492394489.754175,5492394489.771164,5492386745.229144,5117553260.396992,3811960934.381854,62057799.22216225,701181.4337615967,88.52148914337158
39.5495,99272104.81029136,39.5495,1564.1629502500002,46830.857404047114,172222.96256975544,96762033.51380326,99208639.24873805,99272065.27428922,99272065.26079136,99270540.64734112,99225273.95288731,99099881.8477216,2510071.2964881063,63465.56155331433,39.53600214421749
58.0811,672537744.3144811,58.0811,3373.4141772099997,1622061.0229740723,6588552.847959803,660958458.0104946,672338381.221496,672537686.2418411,672537686.2333812,672534370.900304,670915683.2915071,665949191.4665214,11579286.30398655,199363.0929851532,58.07264006137848
15.0721,833073.130999235,15.0721,227.16819841000003,258.740906543335,701.9240658517552,777801.6041782709,829406.9945471161,833058.0645487814,833058.058899235,832845.962800825,832814.3900926916,832371.2069333832,55271.52682096406,3666.136452118866,15.06645045359619
57.2883,628025787.4728856,57.2883,3281.94931689,1399899.430372222,5666927.8645959925,617063239.6193424,627834430.9379772,628025730.1843448,628025730.1845856,628022505.5235687,626625888.0425134,622358859.6082896,10962547.853543162,191356.5349084139,57.288540840148926
53.6216,451725452.7155452,53.6216,2875.27598656,705145.4732800511,2807855.407856537,443301134.919604,451568346.9184926,451725399.09332013,451725399.0939452,451722577.4395586,451020307.2422651,448917597.30768865,8424317.795941174,157105.79705256224,53.62222504615784
48.6667,278725243.22913074,48.6667,2368.44768889,275636.2032113988,1070845.276248864,272998017.12855643,278607561.5835648,278725194.5643946,278725194.56243074,278722874.78144187,278449607.0259193,277654397.9528819,5727226.100574315,117681.64556592703,48.66473615169525
3.6757,920.3519644762424,3.6757,13.51077049,16.838608246284448,21.919550361195032,670.9656568264099,853.5065760598649,916.6788856399579,916.6762644762424,906.8411939862424,903.5133562299579,898.4324141150474,249.38630764983247,66.84538841637755,3.6730788362845033
86.4234,4877656746.995728,86.4234,7469.00406756,261165851.59275547,1164606036.4360433,4821217673.079297,4877003694.840525,4877656660.5707245,4877656660.572328,4877649277.99166,4616490895.402972,3713050710.5596843,56439073.91643047,653052.1552028656,86.42500305175781
70.964,1825382539.29448,70.964,5035.889295999999,17017013.370049372,72529449.92683773,1799659884.595227,1825020065.5967941,1825382468.3340914,1825382468.33048,1825377503.405184,1808365525.9244306,1752853089.3676424,25722654.699253082,362473.69768595695,70.96038866043091
4.0721,1482.8391033827952,4.0721,16.581998409999997,18.17465498436362,25.520102403965655,1119.6754936754821,1394.6381649447244,1478.7437190800854,1478.767003382795,1466.257104972795,1464.6644483984317,1457.3190009788295,363.16360970731307,88.2009384380708,4.095384302709817
50.1532,323772598.6158041,50.1532,2515.34347024,365950.8321855917,1432727.6334254846,317316927.8288166,323643880.60209566,323772548.46969754,323772548.4626041,323770083.27233386,323406647.7836185,322339870.9823786,6455670.7869874835,128718.01370841265,50.14610654115677
