Model,MSE_Train,NMSE_Train
Model_1,3496.5233293863434,3686.105979311722
Model_2,0.4873766965041792,0.5138024219837102
Model_3,0.4873766965041792,0.5138024219837102
Model_4,0.2516246521374292,0.26526782389545595
Model_5,0.00011547575969463913,0.00012173689353037365
Model_6,0.00011547575969463913,0.00012173689353037365
Model_7,0.00010815067848915052,0.00011401464400223042
Model_8,0.00010815067567293043,0.00011401464103331394
Model_9,0.00010682672439866084,0.00011261890468361283
Model_10,0.00010682672559828713,0.00011261890594828323
Model_11,0.00010635652564759736,0.00011212321160094599
Model_12,0.00010634979005205367,0.00011211611079918695
Model_13,0.00010574245367770455,0.00011147584444599929
Model_14,0.00010496988641211122,0.00011066138832806345
Model_15,0.00010533852175711309,0.00011105001120324257
Model_16,0.0001047194225099845,0.00011039734419042771
