x1,y,Model_1_Y_pred,Model_2_Y_pred,Model_3_Y_pred,Model_4_Y_pred,Model_5_Y_pred,Model_6_Y_pred,Model_7_Y_pred,Model_8_Y_pred,Model_1_Residuals,Model_2_Residuals,Model_3_Residuals,Model_4_Residuals,Model_5_Residuals,Model_6_Residuals,Model_7_Residuals,Model_8_Residuals
10.0562,114196.38755029305,10.0562,101.12715844000002,78.003076646801,10.646270989973562,10.527740466301234,103409.26459024618,113068.4645778247,114186.54666696904,114186.33135029304,114095.26039185305,114118.38447364625,114185.74127930307,114185.85980982674,10787.122960046865,1127.9229724683391,9.840883324010065
96.145,8301837956.033446,96.145,9243.861024999998,1396703888.772656,6619080145.395964,5947163394.756109,8305410189.414662,8300939865.167039,8301837860.046313,8301837859.888446,8301828712.172421,6905134067.26079,1682757810.6374826,2354674561.277337,3572233.381216049,898090.8664073944,95.98713302612305
56.0171,561598623.7160548,56.0171,3137.91549241,1104629.5356583276,527115.1411309536,495245.17767032573,556892466.6836898,561419652.7210828,561598567.5625051,561598567.6989548,561595485.8005624,560493994.1803964,561071508.5749239,561103378.5383844,4706157.0323649645,178970.99497199059,56.153549671173096
62.7841,991336993.9122218,62.7841,3941.8432128100003,3860602.2546838885,2588960.3237717436,2414171.9383999766,985223322.6123955,991085504.7033671,991336931.6250373,991336931.1281217,991333052.069009,987476391.6575379,988748033.5884501,988922821.9738218,6113671.299826264,251489.2088546753,62.28718447685242
82.9339,3971265334.8068023,82.9339,6878.031769209999,142041990.58733535,296033375.2042134,269923503.9074549,3964924870.2240114,3970687951.614703,3971265251.6454163,3971265251.8729024,3971258456.775033,3829223344.219467,3675231959.6025887,3701341830.8993473,6340464.582790852,577383.1920990944,83.161386013031
54.4814,488975147.2910965,54.4814,2968.2229459600003,828724.4353527782,367316.4266847771,345698.62516222906,484597029.5393436,488810411.39655346,488975092.5611074,488975092.8096965,488972179.0681505,488146422.8557437,488607830.8644117,488629448.66593426,4378117.751752913,164735.89454305172,54.72998911142349
5.6677,7099.946677207051,5.6677,32.12282329,26.234983375544854,3.7925485004119053,3.7686925791731616,5872.601019689862,6880.2381124391,7094.4234612898335,7094.278977207051,7067.823853917051,7073.711693831506,7096.154128706639,7096.177984627878,1227.3456575171886,219.70856476795052,5.523215917217385
6.7532,16486.094734738355,6.7532,45.60571023999999,34.318217110354844,4.895649226101636,4.858978798617204,14109.958062459644,16125.731868915793,16479.322061548562,16479.341534738356,16440.489024498354,16451.776517628,16481.199085512253,16481.23575593974,2376.1366722787116,360.3628658225625,6.77267318979284
49.5762,305643997.70319545,49.5762,2457.79960644,327883.26247793523,115876.48109001887,109653.9671951656,302278973.1860789,305519642.07613194,305643948.2405872,305643948.12699544,305641539.903589,305316114.4407175,305528121.22210544,305534343.7360003,3365024.5171165466,124355.6270635128,49.4626082777977
69.9639,1700678606.5227797,69.9639,4894.9473032099995,14216652.14032002,14012352.060068263,12962306.48089989,1693434810.401194,1700331171.8068485,1700678536.3577788,1700678536.5588796,1700673711.5754764,1686461954.3824596,1686666254.4627113,1687716300.04188,7243796.1215856075,347434.71593117714,70.16500091552734
48.0732,262207112.11592084,48.0732,2311.03255824,246046.38979424868,81371.12526628439,77130.49150199785,259134386.0594498,262093654.5697406,262207064.3326776,262207064.04272085,262204801.0833626,261961065.72612658,262125740.99065456,262129981.62441885,3072726.05647105,113457.54618024826,47.783243238925934
38.6133,88121132.79097347,38.6133,1490.9869368900002,38893.088392098885,8793.915373660187,8423.878303219262,86589970.79733358,88062031.47988586,88121094.39271295,88121094.17767347,88119641.80403657,88082239.70258138,88112338.87559982,88112708.91267025,1531161.9936398864,59101.31108760834,38.3982605189085
20.046,3406923.4410438472,20.046,401.842116,801.4251251676246,111.58673206476702,109.12392327987497,3260189.479588589,3398446.7559833084,3406903.9251566445,3406903.395043847,3406521.598927847,3406122.0159186795,3406811.8543117824,3406814.3171205674,146733.96145525808,8476.685060538817,19.515887202695012
17.4628,1722579.8630908343,17.4628,304.94938384000005,448.4147051310209,60.778475876602194,59.608231852715676,1635048.988260446,1716931.962517917,1722562.182001878,1722562.4002908343,1722274.9137069944,1722131.4483857034,1722519.0846149577,1722520.2548589816,87530.87483038823,5647.900572917424,17.681088956305757
32.3618,36626466.15136582,32.3618,1047.28609924,11019.794192789443,2021.2427869015444,1949.7143741959355,35790146.12042667,36591494.92805474,36626434.27744036,36626433.78956582,36625418.86526658,36615446.357173026,36624444.90857892,36624516.43699162,836320.0309391469,34971.22331107408,31.87392545491457
93.4475,7202959150.591492,93.4475,8732.43525625,879571340.7696134,3509616257.574007,3162832203.205124,7203383519.017989,7202134300.345522,7202959057.024386,7202959057.143991,7202950418.156236,6323387809.821878,3693342893.0174847,4040126947.386368,424368.4264974594,824850.2459697723,93.56710529327393
78.7066,3059207987.9008164,78.7066,6194.728883559999,67544127.05288446,109531791.07550356,100342331.56000088,3051940825.8896194,3058714148.277967,3059207909.0551972,3059207909.1942163,3059201793.1719327,2991663860.847932,2949676196.825313,2958865656.3408155,7267162.01119709,493839.6228494644,78.84561920166016
94.5645,7642891292.394009,94.5645,8942.44466025,1065474559.2176206,4564112829.736468,4108022391.669224,7644534732.276643,7642036617.820376,7642891198.073111,7642891197.829509,7642882349.949348,6577416733.176388,3078778462.6575403,3534868900.724785,1643439.882634163,854674.5736322403,94.32089805603027
47.7986,254834483.68486077,47.7986,2284.70616196,233433.60992963816,76281.83199178867,72328.53446602735,251813979.957523,254722945.793957,254834436.25607198,254834435.88626078,254832198.97869882,254601050.07493111,254758201.85286897,254762155.15039474,3020503.7273377776,111537.89090377092,47.42878878116608
96.936,8648264474.261198,96.936,9396.588096000001,1598917844.129729,7972506513.104708,7156895096.734494,8652896830.281216,8647344113.354979,8648264377.606749,8648264377.325197,8648255077.673101,7049346630.131469,675757961.1564903,1491369377.5267038,4632356.020017624,920360.9062194824,96.65444946289062
35.8948,61295487.96559339,35.8948,1288.4366670399997,22580.03717354014,4639.7995232323865,4458.0348565347285,60098702.566753596,61247915.400475115,61295452.01361822,61295452.07079339,61294199.52892635,61272907.92841985,61290848.166070156,61291029.930736855,1196785.398839794,47572.56511827558,35.95197516679764
91.4952,6482825333.155805,91.4952,8371.371623039999,628561849.4818089,2217382404.75642,2002631701.1566312,6481384630.079594,6482050930.379454,6482825242.0720005,6482825241.6606045,6482816961.784182,5854263483.673996,4265442928.3993845,4480193631.999173,1440703.0762109756,774402.776350975,91.0838041305542
3.8499,1140.653641283817,3.8499,14.82173001,17.390237022862685,2.473151396328104,2.4625735457659226,848.4827868089471,1065.443882005224,1137.3277903807227,1136.803741283817,1125.831911273817,1123.2634042609543,1138.1804898874889,1138.191067738051,292.1708544748699,75.20975927859308,3.325850903094306
99.9233,10062410121.777082,99.9233,9984.66588289,2660246823.425467,16096620718.516571,14401909204.31614,10071666106.203606,10061402336.588482,10062410022.018782,10062410021.853783,10062400137.1112,7402163298.351616,6034210596.739489,4339499082.539057,9255984.426523209,1007785.1886005402,99.75830078125
74.9239,2392970706.0408163,74.9239,5613.59079121,34541327.19194649,44993903.96120907,41392978.37154466,2385454999.2304974,2392544425.6484213,2392970631.3542943,2392970631.116916,2392965092.450025,2358429378.84887,2347976802.079607,2351577727.6692715,7515706.810318947,426280.39239501953,74.68652200698853
38.1903,83423562.59220187,38.1903,1458.49901409,35753.552777967285,7961.1288665352295,7629.726739224519,81947732.55814677,83366365.43685009,83423524.45076197,83423524.40190187,83422104.09318778,83387809.03942391,83415601.46333534,83415932.86546265,1475830.034055099,57197.155351787806,38.14143989980221
29.8929,24695461.511049297,29.8929,893.5854704100001,6622.217545330755,1130.9176497769945,1093.8990577403845,24063467.12711526,24667825.967021123,24695431.413599953,24695431.618149295,24694567.92557889,24688839.293503966,24694330.59339952,24694367.611991554,631994.3839340359,27635.544028174132,30.097449343651533
22.7963,6438776.86371763,22.7963,519.67129369,1467.1647339026438,213.08057401671843,207.7406341695587,6202391.160727546,6426387.217415532,6438753.471421568,6438754.06741763,6438257.19242394,6437309.698983727,6438563.783143613,6438569.12308346,236385.70299008396,12389.646302097477,23.392296061851084
78.3765,2995753754.825006,78.3765,6142.875752249999,63718127.188087456,101349566.66551988,92880705.15795468,2988445398.603187,2995266076.4230027,2995753676.4001513,2995753676.448506,2995747611.9492536,2932035627.6369185,2894404188.1594863,2902873049.6670513,7308356.221818924,487678.40200328827,78.42485475540161
2.7509,245.72709061226325,2.7509,7.56745081,15.157170041663484,1.909820657143518,1.9039804238577471,157.91441813235704,214.8002087872218,243.18496003045084,242.97619061226325,238.15963980226326,230.56992057059978,243.81726995511974,243.8231101884055,87.81267247990621,30.92688182504145,2.5421305818124154
