Complexity,Loss,Equation
1,2889.8574,"x0"
2,1.4711572,"sin(x0)"
3,0.5570241,"cos(log(x0))"
5,0.30756044,"-0.9806185"
6,0.29733172,"(log(x0) - x0) / x0"
7,0.2889928,"(exp(cos(x0)) - x0) / x0"
9,0.28899276,"(exp(cos(x0)) - exp(log(x0))) / x0"
10,0.28757888,"(exp(cos(x0)) - (x0 - cos(x0))) / x0"
11,0.27717358,"(log(x0) - cos(x0)) * -0.26417372"
12,0.27074233,"-0.9920851 + sin((x0 * x0) - x0)"
13,0.068975076,"-0.99208915 + (sin(x0 * x0) * cos(x0))"
15,0.06802331,"(sin(x0 * x0) * cos(x0)) + (((x0 / x0) - x0) / x0)"
17,0.06631332,"((0.5578967 - x0) / x0) + (sin(x0 * x0) * cos(x0))"
18,0.06614475,"((log(x0) / x0) + -1.1105868) + (cos(x0) * sin(x0 * x0))"
20,0.06603864,"(-1.0513364 + (log(x0) / (x0 + x0))) + (sin(x0 * x0) * cos(x0))"
21,0.06573959,"(-1.0284164 + (0.7214122 / x0)) + (sin(x0 * x0) * cos(x0))"
22,0.06571343,"(cos(x0) * sin(x0 * x0)) + (-1.0293511 + sin(0.7441648 / x0))"
23,0.06568071,"((0.5578967 - x0) / x0) + (sin(x0 * x0) * (cos(x0) - 0.031885237))"
24,0.06527603,"(cos(x0) * sin(x0 * x0)) + (((0.4068945 ^ x0) / sin(x0)) + -0.99503356)"
25,0.065250285,"(sin(-1.584659) + ((0.40541837 ^ x0) / sin(x0))) + (sin(x0 * x0) * cos(x0))"
29,0.06514565,"((cos(x0) + (0.61291015 ^ x0)) * sin(x0 * x0)) + (-1.0296698 + (0.7264414 / x0))"
30,0.064654335,"(-0.99503356 + ((0.4068945 ^ x0) / sin(x0))) + ((-0.03517996 + cos(x0)) * sin(x0 * x0))"
32,0.0644631,"(((0.40368584 ^ x0) / sin(x0)) + -0.9924178) + (((-0.00073902 * x0) + cos(x0)) * sin(x0 * x0))"
36,0.063945614,"(sin(x0 * x0) * cos(x0)) + (((0.020280655 * 0.42959034) / cos(x0)) + ((0.714793 / x0) + -1.0265605))"
39,0.06334181,"(sin(x0 * x0) * (cos(x0) + sin(-0.024592062))) + (((0.39070356 ^ x0) / sin(x0)) + (-0.9349558 - (0.0013515477 * x0)))"
