complexity,loss,score,equation,sympy_format,lambda_format
1,2641.3909,0.0,x0,x0,PySRFunction(X=>x0)
2,0.53832203,8.498359242578994,sin(x0),sin(x0),PySRFunction(X=>sin(x0))
3,0.53298277,0.009967852674884582,sin(sin(x0)),sin(sin(x0)),PySRFunction(X=>sin(sin(x0)))
4,0.4986735,0.06653752420831895,sin(x1 * x1),sin(x1*x1),PySRFunction(X=>sin(x1*x1))
5,0.49812084,0.0011088747888142226,sin(sin(x1 * x1)),sin(sin(x1*x1)),PySRFunction(X=>sin(sin(x1*x1)))
7,0.08057242,0.9108431454302938,sin(x1 * x1) + sin(x0),sin(x0) + sin(x1*x1),PySRFunction(X=>sin(x0) + sin(x1*x1))
11,0.08055531,5.309452340794962e-05,sin((x1 * x0) / (x0 / x1)) + sin(x0),sin(x0) + sin(x0*x1/((x0/x1))),PySRFunction(X=>sin(x0) + sin(x0*x1/((x0/x1))))
12,0.07826668,0.02882205959437887,(cos(x1) / x0) + (sin(x1 * x1) + sin(x0)),sin(x0) + sin(x1*x1) + cos(x1)/x0,PySRFunction(X=>sin(x0) + sin(x1*x1) + cos(x1)/x0)
14,0.0757169,0.01656029222345776,(sin(x1 * x1) + sin(x0)) - (cos(x0 * x0) / x0),sin(x0) + sin(x1*x1) - cos(x0*x0)/x0,PySRFunction(X=>sin(x0) + sin(x1*x1) - cos(x0*x0)/x0)
16,0.07404528,0.01116229361505176,((cos(x1) / x0) / exp(sin(x1))) + (sin(x1 * x1) + sin(x0)),sin(x0) + sin(x1*x1) + cos(x1)/(x0*exp(sin(x1))),PySRFunction(X=>sin(x0) + sin(x1*x1) + cos(x1)/(x0*exp(sin(x1))))
17,0.07269819,0.018360310573320857,(sin(x1 * x1) + sin(x0)) - ((log(x0) / x0) * sin(x1 + x1)),sin(x0) + sin(x1**2) - log(x0)*sin(2*x1)/x0,PySRFunction(X=>sin(x0) + sin(x1**2) - log(x0)*sin(2*x1)/x0)
18,0.07170303,0.013783481266331938,(cos(x1 / 0.014718255) / x0) + (sin(x1 * x1) + sin(x0)),sin(x0) + sin(x1*x1) + cos(x1/0.014718255)/x0,PySRFunction(X=>sin(x0) + sin(x1*x1) + cos(x1/0.014718255)/x0)
19,0.071044214,0.009230590508572585,(cos(x1 / -0.06686223) / x0) + (sin(x1 * x1) + sin(sin(x0))),sin(x1*x1) + sin(sin(x0)) + cos(x1/(-0.06686223))/x0,PySRFunction(X=>sin(x1*x1) + sin(sin(x0)) + cos(x1/(-0.06686223))/x0)
21,0.06332587,0.05750424058756859,(cos(x1 / -0.06686223) / (x0 / log(x0))) + (sin(x1 * x1) + sin(x0)),sin(x0) + sin(x1**2) + log(x0)*cos(14.9561269494003*x1)/x0,PySRFunction(X=>sin(x0) + sin(x1**2) + log(x0)*cos(14.9561269494003*x1)/x0)
25,0.06284535,0.0019042469560492635,(sin(x1 * x1) + sin(x0)) + (cos(x1 / -0.06686223) / (2.0494144 + log(x0))),sin(x0) + sin(x1**2) + cos(14.9561269494003*x1)/(log(x0) + 2.0494144),PySRFunction(X=>sin(x0) + sin(x1**2) + cos(14.9561269494003*x1)/(log(x0) + 2.0494144))
26,0.06284156,6.030858744385268e-05,(cos(x1 / 0.066861965) / (exp(0.74751455) + log(x0))) + (sin(x1 * x1) + sin(x0)),sin(x0) + sin(x1**2) + cos(14.9561862263546*x1)/(log(x0) + 2.11174485235069),PySRFunction(X=>sin(x0) + sin(x1**2) + cos(14.9561862263546*x1)/(log(x0) + 2.11174485235069))
28,0.06259002,0.0020053987775623047,(cos(x1 / -0.06686223) / (x0 / log(x0))) + (sin(x1 * x1) + (sin(x0) * exp(-0.06347066))),0.938501654535264*sin(x0) + sin(x1**2) + log(x0)*cos(14.9561269494003*x1)/x0,PySRFunction(X=>0.938501654535264*sin(x0) + sin(x1**2) + log(x0)*cos(14.9561269494003*x1)/x0)
31,0.061191488,0.007532581866224148,(cos(x1 / -0.06686223) / (log(x0) + 2.0061283)) + ((sin(x0) * 0.93559766) + sin(x1 * x1)),0.93559766*sin(x0) + sin(x1**2) + cos(14.9561269494003*x1)/(log(x0) + 2.0061283),PySRFunction(X=>0.93559766*sin(x0) + sin(x1**2) + cos(14.9561269494003*x1)/(log(x0) + 2.0061283))
32,0.061173934,0.0002869111197184757,(sin(x1 * x1) + (sin(x0) * exp(-0.06347066))) + (cos(x1 / -0.06686105) / (log(x0) + 1.9129193)),0.938501654535264*sin(x0) + sin(x1**2) + cos(14.9563909032239*x1)/(log(x0) + 1.9129193),PySRFunction(X=>0.938501654535264*sin(x0) + sin(x1**2) + cos(14.9563909032239*x1)/(log(x0) + 1.9129193))
