x1,y,Model_1_Y_pred,Model_2_Y_pred,Model_3_Y_pred,Model_4_Y_pred,Model_5_Y_pred,Model_6_Y_pred,Model_7_Y_pred,Model_8_Y_pred,Model_9_Y_pred,Model_1_Residuals,Model_2_Residuals,Model_3_Residuals,Model_4_Residuals,Model_5_Residuals,Model_6_Residuals,Model_7_Residuals,Model_8_Residuals,Model_9_Residuals
85.9302,407341456010.0414,85.9302,239683142.53534308,35312835712.95234,20596020374.690536,24121956172.887505,406824639432.13446,406825857431.3903,407286290586.3041,407341448540.08777,407341455924.1112,407101772867.50604,372028620297.08905,386745435635.3508,383219499837.1539,516816577.9069214,515598578.651062,55165423.73730469,7469.95361328125
17.2516,27983982.39435215,17.2516,427.3682747155261,57438.33239779552,7372.786528082371,121.45173199231732,26538389.27515656,26538440.083458368,27889956.82103766,27983667.49947223,27983965.14275215,27983555.026077434,27926544.061954353,27976609.60782407,27983860.94262016,1445593.119195588,1445542.3108937815,94025.57331448793,314.8948799185455
71.1227,131280135607.02023,71.1227,17508858.211224582,5619844415.886442,1245277269.8994625,392025429.2796171,130734210820.68767,130734585606.11514,131254182908.0601,131280130477.46677,131280135535.89754,131262626748.809,125660291191.13379,130034858337.12077,130888110177.74062,545924786.3325653,545550000.9050903,25952698.960128784,5129.553466796875
44.457,7898076340.44371,44.457,122528.49356163292,79631707.00485875,5447249.238269514,235214.0586565782,7789374044.984561,7789393914.828643,7894080198.39177,7898074319.495027,7898076295.986711,7897953811.950149,7818444633.438851,7892629091.2054405,7897841126.385054,108702295.45914936,108682425.61506748,3996142.0519399643,2020.9486837387085
78.1593,230927869625.66272,78.1593,61318355.4008921,13931835018.38107,4792599735.284946,2776533557.0152864,230313723470.17685,230314398334.6103,230890067604.95813,230927863438.58353,230927869547.50342,230866551270.26184,216996034607.28165,226135269890.37778,228151336068.64743,614146155.4858704,613471291.0524292,37802020.704589844,6187.079193115234
60.9136,51936712263.34817,60.9136,2738134.790193608,1314982136.9003553,166789647.35593736,22898765.757418353,51578386245.208435,51578528736.05147,51922714911.2248,51936708491.97883,51936712202.43457,51933974128.557976,50621730126.447815,51769922615.99223,51913813497.59075,358326018.13973236,358183527.2966995,13997352.12336731,3771.369338989258
11.5423,2588874.165958913,11.5423,112.03499912069296,4578.035637718229,1293.1415703507741,24.807582406477763,2378172.942024524,2378176.8525737613,2569442.9216347462,2588729.4588023555,2588862.623658913,2588762.1309597925,2584296.130321195,2587581.0243885624,2588849.3583765067,210701.22393438919,210697.3133851518,19431.244324166793,144.70715655758977
34.506,1738360084.9533055,34.506,17057.380745943705,9633505.320807107,588581.9800195334,14762.018039617913,1702046728.4640143,1702050780.268526,1736900093.8946035,1738358859.7944534,1738360050.4473054,1738343027.5725596,1728726579.6324983,1737771502.973286,1738345322.9352658,36313356.48929119,36309304.684779406,1459991.058701992,1225.1588521003723
14.7245,10934207.729367038,14.7245,238.5987911036911,20393.912527625795,3513.2478996062996,60.12705189347431,10256056.978872962,10256075.522242393,10883776.795525063,10933976.194093008,10934193.004867038,10933969.130575934,10913813.816839412,10930694.481467431,10934147.602315145,678150.7504940759,678132.2071246449,50430.933841975406,231.53527403064072
14.0668,8340611.465737733,14.0668,204.51467774105978,15269.122237007829,2876.86706884794,50.073056629771415,7795831.787127014,7795845.642828744,8298461.571022826,8340399.498241482,8340597.398937733,8340406.951059992,8325342.343500725,8337734.598668885,8340561.392681103,544779.6786107188,544765.8229089892,42149.89471490681,211.96749625075608
