Model,MSE_Train,NMSE_Train
Model_1,3240.3093379852403,3335.887659906039
Model_2,0.49450168169890985,0.5090878325857207
Model_3,0.49450168169890973,0.5090878325857205
Model_4,0.48787755529794447,0.502268316541497
Model_5,0.0008546875536796329,0.0008798979868903352
Model_6,0.0008546875536796325,0.0008798979868903349
Model_7,0.0008546875536784386,0.0008798979868891057
Model_8,0.0008336140857908459,0.000858202921960102
Model_9,0.0008220758772166107,0.0008463243747025905
Model_10,0.0007986185258976238,0.0008221751097290976
Model_11,0.0007900510450171555,0.0008133549167275845
Model_12,0.0007900509054165747,0.000813354773009252
Model_13,0.000778046289530956,0.0008009960609797249
Model_14,0.0007780462895309561,0.000800996060979725
Model_15,0.0007766432224138815,0.0007995516080606777
Model_16,0.0007653000889012888,0.0007878738899287254
Model_17,0.0007580408205924344,0.0007804004974079632
