x1,y,Model_1_Y_pred,Model_2_Y_pred,Model_3_Y_pred,Model_4_Y_pred,Model_5_Y_pred,Model_6_Y_pred,Model_7_Y_pred,Model_8_Y_pred,Model_9_Y_pred,Model_10_Y_pred,Model_1_Residuals,Model_2_Residuals,Model_3_Residuals,Model_4_Residuals,Model_5_Residuals,Model_6_Residuals,Model_7_Residuals,Model_8_Residuals,Model_9_Residuals,Model_10_Residuals
2.3261,49.99216475904053,2.3261,5.410741209999999,12.585925128580998,0.8767519661024991,29.27612044159226,41.86204557017326,44.188145570173255,42.012273689693025,47.272786780173256,49.59888678017325,47.66606475904053,44.58142354904053,37.40623963045953,49.11541279293803,20.71604431744827,8.130119188867269,5.804019188867272,7.979891069347502,2.7193779788672714,0.39327797886727467
24.3142,364483.0810615637,24.3142,591.18032164,14374.076576419287,1087.684974186308,349494.1726943738,363868.24927079317,363892.5634707932,364039.82112362457,364459.42959243315,364483.7437924332,364458.76686156366,363891.9007399237,350109.0044851444,363395.3960873774,14988.90836718987,614.8317907705205,590.5175907704979,443.25993793911766,23.65146913053468,0.6627308694878593
40.8128,2844192.802688662,40.8128,1665.6846438400003,67981.25423211316,23101.521795398006,2774505.332724388,2842486.5869565015,2842527.3997565014,2843298.024803267,2844152.2716003414,2844193.0844003414,2844151.989888662,2842527.118044822,2776211.5484565487,2821091.280893264,69687.46996427374,1706.21573216049,1665.402932160534,894.7778853951022,40.5310883205384,0.28171167941763997
28.9688,729420.8794929697,28.9688,839.1913734400001,24310.367058908676,2879.0440314915004,704242.1612561137,728552.5283150224,728581.4971150224,728842.701718311,729391.7196884624,729420.6884884624,729391.9106929697,728581.6881195297,705110.512434061,726541.8354614782,25178.718236856046,868.3511779473629,839.3823779473314,578.1777746587759,29.159804507275112,0.1910045073600486
63.5888,16611410.185613016,63.5888,4043.53548544,257123.56927654706,484221.9361802349,16350179.222012496,16607302.79128904,16607366.38008904,16610371.869636642,16611346.326774482,16611409.915574482,16611346.596813016,16607366.650127575,16354286.616336469,16127188.24943278,261230.96360052004,4107.394323974848,4043.805523974821,1038.3159763738513,63.858838533982635,0.27003853395581245
10.932,15718.782124028556,10.932,119.50862400000001,1306.468277568,27.896666567812368,14282.311210373377,15588.77948794138,15599.71148794138,15604.373754596083,15708.28811194138,15719.22011194138,15707.850124028555,15599.273500028556,14412.313846460556,15690.885457460743,1436.4709136551792,130.00263608717614,119.07063608717544,114.40836943247268,10.494012087176088,0.43798791282461025
67.5037,21076187.15144473,67.5037,4556.74951369,307597.4521472756,751854.6156254702,20763966.130514048,21071563.582661327,21071631.086361326,21075235.127369642,21076120.332175016,21076187.835875016,21076119.64774473,21071630.40193104,20768589.699297454,20324332.53581926,312221.0209306814,4623.568783402443,4556.06508340314,952.0240750871599,66.81926971301436,0.6844302862882614
64.3002,17364269.21443829,64.3002,4134.515720040001,265850.1877017161,525282.7468717312,17094220.239257887,17360070.4269596,17360134.7271596,17363243.667970046,17364204.94267964,17364269.24287964,17364204.91423829,17360134.69871825,17098419.026736572,16838986.467566557,270048.9751804024,4198.787478689104,4134.487278688699,1025.546468243003,64.27175864949822,0.028441350907087326
59.1318,12436314.173427893,59.1318,3496.5697712399997,206758.46439900942,286285.55190723215,12226000.165149344,12432758.629548354,12432817.761348354,12435226.539931115,12436255.199319594,12436314.331119593,12436255.041627893,12432817.603656653,12229555.709028883,12150028.62152066,210314.00827854872,3555.5438795387745,3496.41207953915,1087.6334967780858,58.97410829924047,0.1576917003840208
96.4063,87287090.590105,96.4063,9294.17467969,896016.9924225982,12034336.23984762,86381682.97659072,87277699.96901333,87277796.37531333,87288395.00703828,87286994.14369301,87287090.54999302,87286994.183805,87277796.4154253,86391073.5976824,75252754.35025738,905407.6135142744,9390.621091663837,9294.214791670442,1304.4169332832098,96.44641198217869,0.0401119738817215
10.9577,15864.09446655821,10.9577,120.07118929000002,1315.7040708830334,28.145757528681905,14417.090497515017,15732.794568398049,15743.75226839805,15748.499075328922,15852.865757688049,15863.82345768805,15853.13676655821,15744.02327726821,14548.390395675176,15835.948709029528,1447.0039690431931,131.29989816016132,120.34219816016048,115.595391229288,11.228708870161427,0.2710088701605855
95.2038,83023873.40354803,95.2038,9063.76353444,862904.730780119,10867606.917883966,82151809.4082443,83014714.1390244,83014809.3428244,83025013.94247194,83023777.90255885,83023873.10635884,83023778.19974804,83014809.64001359,82160968.6727679,72156266.48566407,872063.9953037351,9159.264523625374,9064.060723632574,1140.5389239042997,95.50098918378353,0.2971891909837723
29.9338,830620.7827866332,29.9338,896.0323824400001,26821.65412948248,3477.7229314357514,802874.0303811027,829695.6845105852,829725.6183105852,830015.8331386055,830591.7168930251,830621.6506930252,830590.8489866332,829724.7504041932,803799.1286571508,827143.0598551974,27746.75240553054,925.0982760480838,895.1644760480849,604.949648027774,29.065893608145416,0.867906391969882
90.7269,68510586.51544788,90.7269,8231.37038361,746806.717656746,7369738.972573009,67755458.39217183,68502265.10982858,68502355.83672857,68511179.14417186,68510496.48021218,68510587.20711218,68510495.78854789,68502355.14506428,67763779.79779114,61140847.54287487,755128.1232760549,8321.405619308352,8230.678719311953,592.6287239789963,90.03523570299149,0.6916642934083939
13.5152,36029.4328419665,13.5152,182.66063104,2468.694960631808,65.10735101257761,33364.90613193101,35833.601092562814,35847.116292562816,35863.06792935191,36016.261723602816,36029.77692360282,36015.9176419665,35846.7722109265,33560.737881334695,35964.325490953925,2664.5267100354904,195.83174940368917,182.31654940368753,166.36491261459014,13.171118363687128,0.34408163631451316
6.2945,1865.2029502642129,6.2945,39.62073025,249.392686558625,4.686717377561854,1569.802265543265,1819.19495210189,1825.48945210189,1822.1717530871913,1858.8156823518902,1865.11018235189,1858.908450264213,1825.582220014213,1615.8102637055879,1860.516232886651,295.40068472094777,46.00799816232279,39.71349816232282,43.03119717702157,6.3872679123226135,0.09276791232286996
6.975,2761.207211352123,6.975,48.650625,339.338109375,6.235897682761441,2366.883312890625,2706.221422265625,2713.1964222656247,2710.2718298067466,2754.872047265625,2761.847047265625,2754.232211352123,2712.556586352123,2421.869101977123,2754.9713136693617,394.3238984614982,54.985789086498244,48.010789086498335,50.93538154537646,6.335164086498025,0.6398359135018836
74.4684,31171629.86144756,74.4684,5545.54259856,412967.68444660556,1573726.108428197,30753042.7124436,31166010.396890208,31166084.86529021,31170939.661765296,31171555.939488765,31171630.40788877,31171555.39304756,31166084.318849,30758662.177000955,29597903.753019363,418587.1490039602,5619.464557353407,5544.996157351881,690.1996822655201,73.92195879667997,0.5464412085711956
16.8794,86286.10459577115,16.8794,284.91414436,4809.179808310185,174.28868507603553,81176.06965639093,85985.2494647011,86002.12886470111,86042.65279672907,86270.16360906111,86287.0430090611,86269.22519577114,86001.19045141115,81476.92478746096,86111.8159106951,5110.034939380217,300.85513107004226,283.975731070037,243.4517990420718,15.94098671003303,0.9384132899576798
21.6945,232214.50468997812,21.6945,470.65133025000006,10210.545284108626,596.5910768941903,221512.6746660946,231723.21995020326,231744.91445020327,231845.09506082343,232193.87128045326,232215.56578045327,232192.8101899781,231743.85335972812,222003.95940586948,231617.91361308392,10701.830023883522,491.28473977485555,469.5902397748432,369.40962915468845,20.633409524860326,1.0610904751520138
8.3877,5617.989875072693,8.3877,70.35351129000001,590.1041466471331,10.983221035030223,4949.616550832159,5539.7206974792925,5548.108397479293,5546.764298594501,5610.074208769292,5618.461908769293,5609.602175072693,5547.6363637826935,5027.88572842556,5607.006654037663,668.3733242405342,78.26917759340085,69.88147759340063,71.22557647819212,7.91566630340094,0.47203369659928285
6.7804,2479.046415856592,6.7804,45.97382416,311.720917334464,5.75171507565003,2113.5925078945997,2425.313425229064,2432.093825229064,2429.0341884425516,2471.2872493890636,2478.0676493890637,2472.266015856592,2433.072591696592,2167.325498522128,2473.294700780942,365.4539079619922,53.732990627528125,46.952590627528025,50.01222741404035,7.759166467528303,0.9787664675282031
39.0417,2384423.978462785,39.0417,1524.2543388899999,59509.480622641706,17411.478848330684,2323351.2896249904,2382860.770247632,2382899.811947632,2383571.08731024,2384385.0245865225,2384424.066286522,2384384.936762785,2382899.724123895,2324914.4978401433,2367012.4996144543,61072.68883779459,1563.2082151528448,1524.1665151529014,852.8911525448784,38.953876262530684,0.08782373694702983
95.1488,82832692.99358882,95.1488,9053.29414144,861410.0736050461,10816785.184409766,81962134.81143181,82823544.88503687,82823640.03383687,82833826.84795742,82832598.17917831,82832693.32797831,82832597.84478882,82823639.69944738,81971282.91998377,72015907.80917905,870558.1821570098,9148.108551949263,9052.959751948714,1133.854368597269,94.81441050767899,0.33438949286937714
