x1,y,Model_1_Y_pred,Model_2_Y_pred,Model_3_Y_pred,Model_4_Y_pred,Model_5_Y_pred,Model_6_Y_pred,Model_7_Y_pred,Model_8_Y_pred,Model_9_Y_pred,Model_10_Y_pred,Model_11_Y_pred,Model_12_Y_pred,Model_13_Y_pred,Model_1_Residuals,Model_2_Residuals,Model_3_Residuals,Model_4_Residuals,Model_5_Residuals,Model_6_Residuals,Model_7_Residuals,Model_8_Residuals,Model_9_Residuals,Model_10_Residuals,Model_11_Residuals,Model_12_Residuals,Model_13_Residuals
50.653,17230215608.26713,50.653,402410.50240352016,248415017.15076655,1453043.8090931873,1590297.5980858353,17050263397.486027,17050118780.80925,17050121295.88266,17054433225.469553,17050227472.391058,17284927458.54619,17086461379.146568,17254683719.680893,17230215557.614132,17229813197.76473,16981800591.116365,17228762564.45804,17228625310.669044,179952210.78110504,180096827.45788193,180094312.3844719,175782382.7975788,179988135.87607384,54711850.27905655,143754229.1205635,24468111.41376114
82.814,326511669577.7146,82.814,139090427.727115,24524227197.452682,11881767033.690649,13771134024.54933,326013929220.5034,326010816701.3077,326010823476.6522,326027365900.57245,325985891228.9551,326221882971.9784,326164504979.8596,326338146352.5672,326511669494.9006,326372579149.9875,301987442380.2619,314629902544.0239,312740535553.1653,497740357.21118164,500852876.4069214,500846101.0623779,484303677.1421509,525778348.7595215,289786605.73620605,347164597.85498047,173523225.1473999
30.2746,796265549.8409677,30.2746,7167.965821458847,3404188.2804955966,4820.688344748271,5087.895381406105,776305917.5543296,776300224.7891886,776301111.0659938,776661079.3531873,776305389.4757433,1012220430.9546822,780089318.6440411,805620663.2776246,796265519.5663676,796258381.8751462,792861361.560472,796260729.1526229,796260461.9455862,19959632.28663802,19965325.05177903,19964438.77497387,19604470.487780333,19960160.36522436,215954881.11371458,16176231.196926594,9355113.436656952
13.9048,7787569.179940239,13.9048,196.86316009893451,14198.484093816092,49.160082059450424,50.39336301844613,7273410.766160257,7273383.28403945,7273562.72270249,7279080.3892772645,7273392.962621733,243239057.38426647,7365771.460268961,8169096.864284061,7787555.275140239,7787372.31678014,7773370.695846423,7787520.019858179,7787518.78657722,514158.41377998143,514185.8959007887,514006.45723774843,508488.7906629741,514176.217318506,235451488.2043262,421797.71967127733,381527.6843438223
89.474,518874478594.76624,89.474,443357651.5683049,52786294946.91128,76756453921.88815,90023866442.82361,518651339983.523,518646301550.8692,518646309466.9919,518656123613.7857,518539986571.1045,518841961196.1172,518785820071.4652,518756160407.628,518874478505.29224,518431120943.19794,466088183647.855,442118024672.87805,428850612151.9426,223138611.2432251,228177043.8970337,228169127.77435303,218354980.9805298,334492023.66174316,32517398.64904785,88658523.30102539,118318187.13824463
21.3726,99989648.93780269,21.3726,1074.5933895376543,252363.48121024072,398.2179030158767,413.6764109403135,96015827.91569543,96015213.71759573,96015649.13302648,96073589.8793191,96015744.33399898,331976127.0381674,96751219.24649863,102453349.21261582,99989627.56520268,99988574.34441315,99737285.45659244,99989250.71989967,99989235.26139174,3973821.0221072584,3974435.220206961,3973999.8047762066,3916059.0584835857,3973904.603803709,231986478.10036474,3238429.691304058,2463700.2748131305
68.3169,103174637245.42474,68.3169,10563410.349107224,3835865774.054612,204743983.3307036,231249447.72020394,102702607133.2674,102701669377.72046,102701673976.60239,102715014776.48946,102701214063.06612,102930133070.17563,102808201846.7094,103113570797.78427,103174637177.10785,103164073835.07564,99338771471.37013,102969893262.09404,102943387797.70454,472030112.15734863,472967867.70428467,472963268.8223572,459622468.9352875,473423182.3586273,244504175.249115,366435398.7153473,61066447.64047241
73.6346,161595764904.92468,73.6346,27449283.85739445,7832166596.732967,908124054.7982191,1035452149.5924293,161058056401.92023,161056559684.33966,161056565032.75937,161072520514.4676,161053866421.513,161280551839.63046,161186308500.55692,161484461326.81192,161595764831.29007,161568315621.0673,153763598308.1917,160687640850.12646,160560312755.33224,537708503.0044556,539205220.585022,539199872.1653137,523244390.4570923,541898483.4116821,315213065.29422,409456404.36776733,111303578.11276245
36.5208,2439491099.4693136,36.5208,25607.453359070267,15288883.729716364,27733.28835555505,29598.13433622082,2393316014.689751,2393297436.898344,2393298734.1463766,2394225218.570789,2393314089.645422,2629114510.664971,2402208454.086703,2456286766.695067,2439491062.9485135,2439465492.0159545,2424202215.7395973,2439463366.1809583,2439461501.3349776,46175084.77956247,46193662.57096958,46192365.32293701,45265880.89852476,46177009.82389164,189623411.19565725,37282645.3826108,16795667.225753307
78.7521,241614434766.51465,78.7521,68088993.857296,14994117705.395962,3808233176.024402,4381963471.50804,241064860961.2875,241062585692.98294,241062591816.12408,241079810866.5555,241052770404.26654,241280349688.97137,241209720798.6332,241458773898.14844,241614434687.76254,241546345772.65735,226620317061.11868,237806201590.49023,237232471295.00662,549573805.2271423,551849073.5317078,551842950.390564,534623899.95913696,561664362.2481079,334085077.5432739,404713967.8814392,155660868.36621094
13.3667,6164750.779910737,13.3667,173.3618881882744,11105.601140429162,42.28137564781226,43.30055104894304,5739229.787404316,5739210.98658766,5739376.288556551,5743797.27244319,5739213.861168164,241704959.3779216,5815434.777629593,6484047.024125988,6164737.413210737,6164577.418022549,6153645.178770307,6164708.498535089,6164707.479359688,425520.9925064212,425539.79332307633,425374.4913541861,420953.5074675465,425536.9187425729,235540208.59801087,349316.00228114333,319296.24421525095
31.548,1018169404.2843908,31.548,9323.99767198746,4706395.213078535,6886.947060110617,7285.1974918197975,994114585.2911259,994107199.5414128,994108163.2697169,994552447.6756661,994113897.8748918,1230013850.887066,998688842.3589063,1028925372.1161253,1018169372.7363908,1018160080.2867188,1013463009.0713123,1018162517.3373307,1018162119.086899,24054818.993264914,24062204.742977977,24061241.01467395,23616956.608724713,24055506.40949905,211844446.60267508,19480561.925484538,10755967.831734538
75.3759,185864026367.62183,75.3759,37433762.2556801,9807238834.941956,1479060899.068129,1691681031.9902637,185314900756.32864,185313169246.7932,185313174852.94363,185329751801.01703,185308891605.9794,185535283138.56082,185449634241.6749,185736297662.20914,185864026292.24594,185826592605.36615,176056787532.67987,184384965468.5537,184172345335.63156,549125611.2931824,550857120.8286133,550851514.6781921,534274566.60479736,555134761.6424255,328743229.06100464,414392125.94692993,127728705.41268921
71.9218,140360235012.12234,71.9218,20206864.618804373,6251947013.65681,562045558.4632387,638897017.9421223,139839404171.3092,139838111761.95447,139838116862.77795,139853324019.19562,139836465344.33893,140063738322.4515,139960712566.80084,140265466803.24176,140360234940.20053,140340028147.50354,134108287998.46553,139798189453.65912,139721337994.18024,520830840.81314087,522123250.1678772,522118149.34439087,506910992.9267273,523769667.78341675,296496689.6708374,399522445.3215027,94768208.88058472
