complexity,loss,score,equation,sympy_format,lambda_format
1,5.0302983e+22,0.0,x0,x0,PySRFunction(X=>x0)
5,5.0151626e+22,0.0007533607270192792,exp(x0 / log(x0)),exp(x0/log(x0)),PySRFunction(X=>exp(x0/log(x0)))
6,3.902412e+22,0.2508710201145567,x0 * (x0 ^ log(x0)),x0*x0**log(x0),PySRFunction(X=>x0*x0**log(x0))
7,3.7144393e+22,0.04936708539426028,exp(x0 / log(x0)) * x0,x0*exp(x0/log(x0)),PySRFunction(X=>x0*exp(x0/log(x0)))
8,2.191556e+22,0.5276159442870203,exp(x0 * 0.27820706),exp(x0*0.27820706),PySRFunction(X=>exp(x0*0.27820706))
9,1.0595855e+17,12.239659464881555,exp(log(x0) / 0.16659878),x0**6.00244491586313,PySRFunction(X=>x0**6.00244491586313)
12,1.0593446e+17,7.579296773024713e-05,exp(log(x0) / 0.16659889) - cos(x0),x0**6.0024409526378 - cos(x0),PySRFunction(X=>x0**6.0024409526378 - cos(x0))
14,4.9933994e+16,0.3760592938478606,exp(log(x0) / 0.16661777) / sin(log(log(x0))),x0**6.0017607965825/sin(log(log(x0))),PySRFunction(X=>x0**6.0017607965825/sin(log(log(x0))))
15,8807665000000000.0,1.7350796482108437,exp(log(x0) / 0.1670179) * 1.0708358,1.0708358*x0**5.98738219077117,PySRFunction(X=>1.0708358*x0**5.98738219077117)
19,2132104200000000.0,0.3546282464213865,((x0 * (x0 * x0)) * (x0 * x0)) + exp(log(x0) / 0.16666718),x0**5 + x0**5.99998152005692,PySRFunction(X=>x0**5 + x0**5.99998152005692)
21,349519980000000.0,0.9041519654830071,((x0 * (x0 * x0)) * (x0 + (x0 * x0))) + exp(log(x0) / 0.16666718),x0**3*(x0**2 + x0) + x0**5.99998152005692,PySRFunction(X=>x0**3*(x0**2 + x0) + x0**5.99998152005692)
27,71103410000000.0,0.2654042385239797,((x0 * (x0 * x0)) * ((x0 / 0.5244454) + (x0 * x0))) + exp(log(x0) / 0.16666718),x0**3*(x0**2 + 1.9067761868061*x0) + x0**5.99998152005692,PySRFunction(X=>x0**3*(x0**2 + 1.9067761868061*x0) + x0**5.99998152005692)
