x1,x2,y
2.0373,2.3232,-1.2207
1.85,2.9317,-1.8804
2.3473,2.896,-1.3839
2.1702,2.2314,-1.0133
2.5792,1.494,0.0818
2.2836,2.241,-0.9398
2.3865,1.5601,0.0147
1.3202,2.5329,-1.5895
1.8774,1.2645,0.5749
1.2109,2.2617,-1.1928
1.6857,1.4519,0.2357
1.3402,2.4258,-1.4692
2.8469,1.7017,-0.0758
2.2659,1.2513,0.4824
1.8457,2.4189,-1.4437
2.7005,2.1746,-0.4848
2.9076,1.5821,-0.0052
2.3904,2.5861,-1.1598
2.658,1.7836,-0.1964
2.5752,1.4113,0.1704
2.9274,1.1608,0.1695
2.3545,1.8841,-0.4366
2.7729,1.1219,0.3128
1.6925,2.0053,-0.8357
2.8867,2.2108,-0.3012
2.654,1.5878,-0.0159
2.283,2.9731,-1.4924
2.8818,1.8865,-0.1595
2.24,1.3445,0.352
2.6104,2.9296,-0.9904
1.8722,1.1873,0.7146
2.7208,1.7955,-0.182
1.5936,1.0203,1.0459
2.7737,1.0635,0.3494
1.6294,2.3399,-1.3886
2.8287,2.0406,-0.2787
2.0925,2.4797,-1.3678
1.2935,2.6883,-1.7293
2.1584,2.5358,-1.3683
2.7775,2.6178,-0.6167
