complexity,loss,score,equation,sympy_format,lambda_format
1,225919.72,0.0,x0,x0,PySRFunction(X=>x0)
2,217045.66,0.04007196877441328,exp(x0),exp(x0),PySRFunction(X=>exp(x0))
3,216997.64,0.00022126824764211439,x0 ^ x0,x0**x0,PySRFunction(X=>x0**x0)
4,91787.734,0.8604078057640603,exp(x0 + x0),exp(x0 + x0),PySRFunction(X=>exp(x0 + x0))
5,66169.82,0.3272542043869363,exp(exp(x0) / x0),exp(exp(x0)/x0),PySRFunction(X=>exp(exp(x0)/x0))
6,653.6609,4.617391031276679,exp(x0 + x0) * x0,x0*exp(x0 + x0),PySRFunction(X=>x0*exp(x0 + x0))
7,653.65967,1.8817113846553715e-06,(x0 * exp(x0)) * exp(x0),x0*exp(x0)*exp(x0),PySRFunction(X=>x0*exp(x0)*exp(x0))
8,248.77032,0.9660567726037668,exp((x0 + (x0 / x0)) + x0),exp(x0 + x0 + x0/x0),PySRFunction(X=>exp(x0 + x0 + x0/x0))
10,235.71413,0.026955151955779924,exp((x0 + x0) + (x0 / x0)) - x0,-x0 + exp(x0 + x0 + x0/x0),PySRFunction(X=>-x0 + exp(x0 + x0 + x0/x0))
11,20.00533,2.4666210191838602,x0 * ((10.150905 - x0) ^ x0),x0*(10.150905 - x0)**x0,PySRFunction(X=>x0*(10.150905 - x0)**x0)
13,8.158651,0.4484599506836199,x0 * (((10.181411 - x0) ^ x0) - x0),x0*(-x0 + (10.181411 - x0)**x0),PySRFunction(X=>x0*(-x0 + (10.181411 - x0)**x0))
14,7.141403,0.13316958103432244,(x0 * ((10.2135725 - x0) ^ x0)) - exp(x0),x0*(10.2135725 - x0)**x0 - exp(x0),PySRFunction(X=>x0*(10.2135725 - x0)**x0 - exp(x0))
15,7.022942,0.016727037083785454,(x0 * ((10.173696 - x0) ^ x0)) - (x0 + x0),x0*(10.173696 - x0)**x0 - (x0 + x0),PySRFunction(X=>x0*(10.173696 - x0)**x0 - (x0 + x0))
16,3.102153,0.817085832008411,(((10.164702 - x0) ^ x0) * x0) + (x0 / cos(x0)),x0*(10.164702 - x0)**x0 + x0/cos(x0),PySRFunction(X=>x0*(10.164702 - x0)**x0 + x0/cos(x0))
17,0.33666617,2.2207598196189697,(exp(x0) * cos(x0 * x0)) + ((13.417769 - x0) ^ x0),(13.417769 - x0)**x0 + exp(x0)*cos(x0*x0),PySRFunction(X=>(13.417769 - x0)**x0 + exp(x0)*cos(x0*x0))
18,0.33664775,5.471444881036678e-05,(exp(x0) * cos(x0 * x0)) + ((exp(2.5965822) - x0) ^ x0),(-x0 + exp(2.5965822))**x0 + exp(x0)*cos(x0*x0),PySRFunction(X=>(-x0 + exp(2.5965822))**x0 + exp(x0)*cos(x0*x0))
21,0.07108198,0.5184010908781062,(((13.4189 - x0) ^ x0) - cos(exp(x0))) + (cos(x0 * x0) * exp(x0)),(13.4189 - x0)**x0 + exp(x0)*cos(x0*x0) - cos(exp(x0)),PySRFunction(X=>(13.4189 - x0)**x0 + exp(x0)*cos(x0*x0) - cos(exp(x0)))
