complexity,loss,score,equation,sympy_format,lambda_format
1,0.48720866,0.0,x0,x0,PySRFunction(X=>x0)
3,0.20139009,0.441724358883004,x0 / x0,x0/x0,PySRFunction(X=>x0/x0)
4,0.008691715,3.1428735004274206,x0 - log(x0),x0 - log(x0),PySRFunction(X=>x0 - log(x0))
5,0.008691707,9.204171651847868e-07,log(exp(x0) / x0),log(exp(x0)/x0),PySRFunction(X=>log(exp(x0)/x0))
6,0.0020670483,1.4362477050427092,x0 ^ cos(x0 / x0),x0**cos(x0/x0),PySRFunction(X=>x0**cos(x0/x0))
8,0.0015020064,0.15965991665362164,(log(x0) ^ x0) + cos(cos(x0)),log(x0)**x0 + cos(cos(x0)),PySRFunction(X=>log(x0)**x0 + cos(cos(x0)))
9,0.00010774578,2.6347825298166345,x0 ^ sin(sin(0.5638042)),x0**sin(sin(0.5638042)),PySRFunction(X=>x0**sin(sin(0.5638042)))
12,6.892078e-05,0.14893894480616796,cos(cos(1.355365 / x0)) + log(x0),log(x0) + cos(cos(1.355365/x0)),PySRFunction(X=>log(x0) + cos(cos(1.355365/x0)))
14,1.8000419e-05,0.6712813468310987,log(x0 + 0.8532585) + 0.3709101,log(x0 + 0.8532585) + 0.3709101,PySRFunction(X=>log(x0 + 0.8532585) + 0.3709101)
16,4.783118e-07,1.813943746647231,log((1.3063118 ^ x0) + (0.41048956 + x0)),log(1.3063118**x0 + x0 + 0.41048956),PySRFunction(X=>log(1.3063118**x0 + x0 + 0.41048956))
17,4.776279e-07,0.001430843633086515,log((exp(0.26725867) ^ x0) + (0.41034055 + x0)),log(1.30637832351037**x0 + x0 + 0.41034055),PySRFunction(X=>log(1.30637832351037**x0 + x0 + 0.41034055))
21,2.1799377e-07,0.19609137326463216,log((x0 / x0) + x0) + (0.29785612 - (-0.002469982 * exp(x0))),0.002469982*exp(x0) + log(x0 + 1) + 0.29785612,PySRFunction(X=>0.002469982*exp(x0) + log(x0 + 1) + 0.29785612)
22,9.846055e-09,3.0973956170538908,-0.042915195 + log((0.50467324 + x0) + (1.3376231 ^ x0)),log(1.3376231**x0 + x0 + 0.50467324) - 0.042915195,PySRFunction(X=>log(1.3376231**x0 + x0 + 0.50467324) - 0.042915195)
23,9.843625e-09,0.00024682981260616487,sin(-0.042925544) + log((1.3376199 ^ x0) + (x0 + 0.504671)),log(1.3376199**x0 + x0 + 0.504671) - 0.0429123627632322,PySRFunction(X=>log(1.3376199**x0 + x0 + 0.504671) - 0.0429123627632322)
