Model,MSE_Train,NMSE_Train
Model_1,1675.9040859813713,5.196731923638757
Model_2,1158.8651352116121,3.5934702312152913
Model_3,495.90023830005464,1.537713656092015
Model_4,144.36887264596356,0.44766662694762144
Model_5,3.0617215935021616,0.009493948060237421
Model_6,2.0409616714950083,0.0063287217698800476
Model_7,1.2279966357800718,0.0038078368402225077
Model_8,0.3622893060586185,0.0011234058190658786
Model_9,0.11049519840556554,0.00034262934840137595
Model_10,0.05970173962753934,0.0001851263081308887
Model_11,0.011385157210985021,3.53036969292463e-05
Model_12,0.0033115830396856023,1.0268731632119272e-05
Model_13,0.003311588271045366,1.0268747853795988e-05
Model_14,0.002612003752731599,8.099439222105589e-06
Model_15,0.0007675887819733113,2.380179844941339e-06
Model_16,0.0007675888188392099,2.3801799592570647e-06
Model_17,0.0003590008586033959,1.1132088274762573e-06
Model_18,0.0002986808731755457,9.26165430107383e-07
