Model,MSE_Train,NMSE_Train
Model_1,6.781255533455733,542.589801030659
Model_2,0.5182062856306834,41.46333138841373
Model_3,0.514791702443078,41.190119738561435
Model_4,0.06067996195513118,4.855196551928832
Model_5,0.012739303344848334,1.019312136675669
Model_6,0.01249794147455498,1.0000000065645476
Model_7,0.011226453499183851,0.8982642138096735
Model_8,0.006038214139222573,0.483136698243798
Model_9,0.004950436107044279,0.396100121737682
Model_10,0.00012269027905515266,0.009816839045881957
Model_11,6.31974031103661e-05,0.005056625017319403
Model_12,4.972829058616549e-05,0.003978918529411654
Model_13,4.393641181740107e-05,0.0035154919068292566
Model_14,3.91960262362124e-05,0.0031361985950500103
Model_15,1.1932463516041306e-05,0.0009547543184344617
Model_16,6.230174750124806e-06,0.0004984960766304858
Model_17,4.585176951793289e-06,0.0003668745762034518
