Model,MSE_Train,NMSE_Train
Model_1,0.7279586914984806,145.71728865101252
Model_2,0.5243641398112564,104.96326455259613
Model_3,0.3304831864301766,66.1536354105787
Model_4,0.009642052652828631,1.9300734863242213
Model_5,0.005288953734840555,1.058702927847686
Model_6,0.003806491828488404,0.7619548677656292
Model_7,0.0014770723257901464,0.29566921443376215
Model_8,0.001080212571207848,0.21622881748843703
Model_9,0.0009418966179408015,0.18854177161257055
Model_10,0.0007645139438471275,0.1530346437707563
Model_11,0.0005689981565039795,0.11389776587804835
Model_12,0.00045414321257137284,0.0909069681672988
Model_13,1.0656349126586781e-05,0.002133107715835346
Model_14,1.3682951174397853e-06,0.0002738950120608051
Model_15,1.1170415736500254e-06,0.00022360096984030823
