x1,x2,y
1.0,1.0253,0.8780657787694326
1.0506,1.0759,0.8266938990732895
1.1013,1.1266,0.7571083941914589
1.1519,1.1772,0.7038412212018607
1.2025,1.2278,0.6371291249068288
1.2532,1.2785,0.5535720897385186
1.3038,1.3291,0.4606642526536951
1.3544,1.3797,0.36957241555769654
1.4051,1.4304,0.29161457133384616
1.4557,1.481,0.1854257417818591
1.5063,1.5316,0.07874860528694905
1.557,1.5823,-0.03882924139473576
1.6076,1.6329,-0.10582505189227247
1.6582,1.6835,-0.23392784451515716
1.7089,1.7342,-0.3263684356488118
1.7595,1.7848,-0.4229563085832133
1.8101,1.8354,-0.5252427311163075
1.8608,1.8861,-0.5948073026758339
1.9114,1.9367,-0.6648135284157021
1.962,1.9873,-0.7381178588446548
2.0127,2.038,-0.7969792988456318
2.0633,2.0886,-0.8723021333601625
2.1139,2.1392,-0.9268662468436105
2.1646,2.1899,-0.9529432017914401
2.2152,2.2405,-0.9927638532760983
2.2658,2.2911,-1.006403800862321
2.3165,2.3418,-1.0080183905223505
2.3671,2.3924,-1.0265840027967024
2.4177,2.443,-1.0151547437686732
2.4684,2.4937,-0.9884835928035288
2.519,2.5443,-0.957558667476839
2.5696,2.5949,-0.9244276168848365
2.6203,2.6456,-0.878505398019396
2.6709,2.6962,-0.8240386344581054
2.7215,2.7468,-0.7542280089198214
2.7722,2.7975,-0.6647265176750751
2.8228,2.8481,-0.5930874405070865
2.8734,2.8987,-0.5229936442131212
2.9241,2.9494,-0.41434293645178377
2.9747,3.0,-0.3300861494706012
