complexity,loss,score,equation,sympy_format,lambda_format
1,215.27362,0.0,x0,x0,PySRFunction(X=>x0)
2,65.84215,1.1846496593997118,exp(x0),exp(x0),PySRFunction(X=>exp(x0))
4,14.147597,0.768857712205298,x0 * exp(x0),x0*exp(x0),PySRFunction(X=>x0*exp(x0))
5,2.1320968,1.8924388776960723,exp(x0) + exp(x0),exp(x0) + exp(x0),PySRFunction(X=>exp(x0) + exp(x0))
7,2.1320958,2.3451098333842737e-07,exp(log(exp(x0) + exp(x0))),2*exp(x0),PySRFunction(X=>2*exp(x0))
8,0.39026672,1.6980303158018704,exp(x0 / 0.780597),exp(x0/0.780597),PySRFunction(X=>exp(x0/0.780597))
9,0.00017822455,7.6915414096882415,x0 + (x0 * (x0 + (x0 * x0))),x0*(x0 + x0*x0) + x0,PySRFunction(X=>x0*(x0 + x0*x0) + x0)
13,0.00016032909,0.026453939177809672,((x0 * (x0 + 1.0009689)) * x0) + x0,x0*x0*(x0 + 1.0009689) + x0,PySRFunction(X=>x0*x0*(x0 + 1.0009689) + x0)
15,0.00015307072,0.023164239284045235,x0 + ((x0 * 1.000342) * (x0 + (x0 * x0))),x0*1.000342*(x0 + x0*x0) + x0,PySRFunction(X=>x0*1.000342*(x0 + x0*x0) + x0)
17,0.0001479013,0.017177438710981142,x0 + ((x0 * (1.0002332 ^ x0)) * ((x0 * x0) + x0)),1.0002332**x0*x0*(x0*x0 + x0) + x0,PySRFunction(X=>1.0002332**x0*x0*(x0*x0 + x0) + x0)
19,8.78702e-05,0.2603422169030355,(((x0 + 0.98143977) * (x0 * 1.0058162)) * x0) + x0,(x0 + 0.98143977)*x0*1.0058162*x0 + x0,PySRFunction(X=>(x0 + 0.98143977)*x0*1.0058162*x0 + x0)
21,4.3293054e-05,0.35393425957937924,cos(cos(x0)) + ((x0 - 0.16072959) * (x0 * (x0 + 1.5515137))),x0*(x0 + 1.5515137)*(x0 - 1*0.16072959) + cos(cos(x0)),PySRFunction(X=>x0*(x0 + 1.5515137)*(x0 - 1*0.16072959) + cos(cos(x0)))
22,1.44539235e-05,1.0970263062418506,log(x0 / 0.3954736) + ((x0 / 0.9703697) * (x0 + (x0 * x0))),1.03053506307957*x0*(x0**2 + x0) + log(2.52861379368939*x0),PySRFunction(X=>1.03053506307957*x0*(x0**2 + x0) + log(2.52861379368939*x0))
23,6.0212267e-07,3.178259983861869,((x0 + (x0 * x0)) * x0) + (x0 + (-0.0024257905 / (2.4439034 - x0))),x0*(x0 + x0*x0) + x0 - 0.0024257905/(2.4439034 - x0),PySRFunction(X=>x0*(x0 + x0*x0) + x0 - 0.0024257905/(2.4439034 - x0))
25,2.7193266e-07,0.39745336659964914,((x0 + (x0 * x0)) * x0) + (x0 + ((-0.0055273343 / x0) / (2.4541655 - x0))),x0*(x0 + x0*x0) + x0 - 0.0055273343/(x0*(2.4541655 - x0)),PySRFunction(X=>x0*(x0 + x0*x0) + x0 - 0.0055273343/(x0*(2.4541655 - x0)))
