Complexity,Loss,Equation
1,3878.3884,"x0"
2,2766.205,"exp(x0)"
4,1090.3262,"x0 * exp(x0)"
5,538.7341,"(x0 + x0) ^ x0"
6,2.6748025,"(x0 + x0) * exp(x0)"
8,1.4030209,"((x0 + x0) * exp(x0)) + x0"
9,0.8638084,"((x0 + x0) * exp(x0)) + log(x0)"
10,0.4725619,"x0 * ((exp(x0) - cos(x0)) + exp(x0))"
11,0.3253036,"(x0 + x0) * (exp(x0) - (cos(x0) / x0))"
12,0.19506645,"(exp(x0) * (x0 + x0)) + exp(cos(x0 * x0))"
15,0.18079472,"((exp(x0) * (x0 + x0)) + log(x0)) - cos(x0 / cos(x0))"
16,0.024048498,"(cos(x0 * x0) + ((x0 + x0) * exp(x0))) + (x0 - log(x0))"
17,0.005527,"(((x0 + x0) * exp(x0)) + cos(x0 * x0)) - ((x0 / x0) - x0)"
18,0.0016746024,"((exp(x0) * (x0 + x0)) + cos(x0 * x0)) + (sin(log(x0)) - cos(x0))"
23,0.00024206648,"((x0 - -1.0508432) * x0) + (x0 * ((x0 - -0.99124515) * (x0 * x0)))"
25,0.00022180256,"(((x0 - -0.9941009) * (x0 * x0)) * x0) + ((x0 - -0.08012948) + (x0 * x0))"
