Complexity,Loss,Equation
1,0.02474139,"x0"
5,0.019998629,"x0 / cos(cos(x0))"
6,0.01887953,"x0 / cos(sin(cos(x0)))"
7,0.016703049,"sin(x0) / cos(cos(sin(x0)))"
8,0.007426769,"sin(exp(x0)) - (cos(x0) - x0)"
10,0.006965597,"((x0 / exp(x0)) * cos(x0)) + sin(x0)"
11,0.0014495183,"0.7423418 + (x0 - cos(sin(x0)))"
12,0.0013492388,"(exp(-0.32217225) - cos(sin(x0))) + x0"
13,0.0013124851,"x0 + (sin(exp(-0.19936416)) - cos(sin(x0)))"
14,0.00027766405,"(x0 + -0.8616884) + cos(cos(x0) * cos(x0))"
17,0.00016305811,"(0.7259452 + x0) + sin(sin(x0) - 1.5196629)"
18,3.937797e-5,"x0 - (0.5833268 * ((x0 - -1.4739071) - exp(x0)))"
24,1.1995823e-5,"sin(sin(x0) - -0.50322634) + (sin(-1.0246003 / x0) + (x0 - (x0 - x0)))"
