Complexity,Loss,Equation
1,0.043687865,"x0"
6,0.010886289,"x0 + cos(exp(exp(x0)))"
9,0.009239383,"sin(sin(sin(x0))) / cos(cos(exp(x0)))"
10,0.0026569427,"(x0 - cos(sin(x0))) + sin(cos(cos(x0)))"
12,0.0009274246,"sin(x0) / cos(sin(x0 / 0.006534438))"
13,0.0002909569,"sin(sin(x0)) / cos(sin(x0 / 0.08046643))"
19,0.00016905973,"(1.0099031 * sin(sin(x0))) / cos(sin(x0 / 0.080444805))"
20,0.00016710175,"(sin(sin(x0)) / cos(-0.15135375)) / cos(sin(x0 / 0.08043853))"
21,0.00016657141,"(sin(sin(x0)) / cos(sin(-0.15135375))) / cos(sin(x0 / -0.080445856))"
24,7.956957e-5,"sin(-0.025322635 + (x0 / 1.1364483)) / cos(sin(x0 / 0.25982657))"
