Complexity,Loss,Equation
1,0.04295788334047358,"1.3702473008997558"
3,3.2669579499716903e-7,"x0 ^ 0.4999949240746043"
5,3.265047678649162e-7,"(x0 - -5.8882852503189437e-5) ^ 0.49997905337125953"
7,2.620838517771766e-7,"(x0 ^ 0.4999806696703236) + (0.0012653430416648304 ^ x0)"
9,1.332375099499193e-7,"(-5.1761527496867924e-5 / (x0 - 1.1021490708824024)) + (x0 ^ 0.5000387502225537)"
10,1.3299526230396643e-7,"(-5.1761527496867924e-5 / sin(x0 - 1.1021490708824024)) + (x0 ^ 0.5000387502225537)"
11,1.3241871159436794e-7,"(-4.954535621907746e-5 / (x0 - 1.1022170412249765)) + ((-6.247267315611223e-5 + x0) ^ 0.5000517227094484)"
12,8.91424323884011e-8,"(x0 ^ 0.49998159323717667) + (sin(x0 / 0.36241127110735966) * (0.009701623360202813 ^ x0))"
14,6.7902402272191874e-9,"((x0 ^ 0.49771259112001326) + (0.009266642744567975 ^ x0)) + ((-0.011158135909847693 * cos(x0)) / x0)"
16,5.969928387978875e-9,"((0.009848323789777111 ^ x0) + ((x0 * x0) ^ 0.24876807625418934)) + (-0.012007931421030155 * (cos(x0) / x0))"
17,5.969928379481323e-9,"((cos(x0) * sin(-0.012008363364926106)) / x0) + ((0.009848429589692469 ^ x0) + ((x0 * x0) ^ 0.24876806201830523))"
18,5.949729952751198e-9,"((cos(x0) * -0.012050033309137823) / (x0 + 0.0098494502318768)) + ((0.00981184305782445 ^ x0) + ((x0 * x0) ^ 0.24876897131976777))"
19,5.736991893752633e-9,"(((0.009234340961375416 ^ x0) * 1.0732368425474805) + ((x0 * x0) ^ 0.24876875658346387)) + ((sin(-0.012017225341232918) * cos(x0)) / x0)"
20,5.71997447973833e-9,"((0.009701623360202813 ^ x0) + ((x0 * x0) ^ 0.24877739713625627)) + ((cos(x0) * -0.011918389077469733) / ((0.024315200902001094 ^ x0) + x0))"
21,5.645092324513846e-9,"((sin(-0.011834817537765076) * cos(x0)) / x0) + (((x0 * x0) ^ 0.2487871508298306) + ((0.009807521658869993 ^ x0) * (x0 ^ -0.06876739812782154)))"
23,5.5769121538498005e-9,"((sin(-0.023584411084706536) * cos(x0)) / (x0 + x0)) + (((0.009798257652372619 ^ x0) * (x0 ^ -0.08747851153950532)) + ((x0 * x0) ^ 0.2487921883528369))"
